title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Why Newegg and Pop Culture Group Stocks Are Tumbling Hard Today,They've just been deemed meme stocks and already are experiencing volatility.,2021-07-08 17:11:05+00:00,https://www.fool.com/investing/2021/07/08/why-newegg-and-pop-culture-group-are-tumbling-hard/,The Motley Fool,-0.2916666666666667,0.5416666666666666,negative,0.2916666666666667,False,False,False,False,False,False,False,False,0.0,142,"['NEGG', 'GME', 'CPOP']",CPOP,2021-07-08
Dennis Dick On Virgin Galactic's Stock: 'What Do We Have To Look Forward To?',"On Monday’s PreMarket Prep, Dennis Dick, and Spencer Israel discussed the large gap up in shares of Virgin Galactic Holdings, Inc. (NYSE: SPCE) at the open of the premarket session, and why the subsequent drop was not a good sign. 
“This stock traded almost $60 at 4:00 am. I think this is as good as it gets,” Dick said. “We often talk about ‘Is this trade now as good as it gets?’ I think it is. What do we have to look forward to? Everybody’s been looking forward to this event. Stocks always want something to look forward to. Now we look forward to people actually going into space and maybe they get some revenue and that's cool and everything. But the hype of that first blast is all kind of gone. So it's kind of like the hangover after the party now.""
Shares of Virgin Galactic opened at $49.55 and were trading down 15% from Friday’s close as of early Monday afternoon. 
“4:00 am trading, if you’re going in there and you’re buying stocks up 20%, you’re usually doing it backward.”
For the full discussion on SPCE, click here or watch it at 5:50 in the clip below. 
<img src=""http://feeds.feedburner.com/~r/benzinga/best-of-benzinga/~4/y3dOE0z4o_Y"" height=""1"" width=""1"" alt=""""/>",2021-07-12 18:31:03+00:00,https://www.benzinga.com/trading-ideas/long-ideas/21/07/21943017/dennis-dick-on-virgin-galactics-stock-what-do-we-have-to-look-forward-to,Benzinga,0.2072486772486773,0.4700529100529101,positive,0.2072486772486773,True,True,False,False,False,False,False,False,0.0,1267,"['ASTR', 'CLDX', 'JZXN', 'DISCA', 'MTSL', 'CPOP', 'CCL', 'MITQ', 'DIS', 'SNTG', 'GS', 'LVS', 'MAR', 'PEP', 'VAC', 'BABA', 'JD', 'VIAC', 'MAXR', 'TME', 'SPCE']",CPOP,2021-07-12
Opinion: This one signal says a stock market correction may be on the way,A frothy market for initial public offerings suggests stocks are overvalued.,2021-07-17 14:36:00+00:00,https://www.marketwatch.com/story/this-one-signal-says-a-stock-market-correction-may-be-on-the-way-11626274908,MarketWatch,0.0,0.03333333333333333,neutral,0.0,False,False,False,False,False,False,False,False,0.0,151,"['IPO', 'DIDI', 'APP', 'PATH', 'MQ', 'S', 'CPOP', 'EJH', 'MCW', 'DNUT', 'OTLY']",CPOP,2021-07-17
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-07-25 11:07:12+00:00,https://seekingalpha.com/article/4441236-wall-street-breakfast,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['AAPL', 'MSFT', 'GOOG', 'FB', 'INTC', 'LMT', 'HAS', 'FFIV', 'CNC', 'UPS', 'ADM', 'GE', 'AMD', 'CB', 'MAT', 'SBUX', 'V', 'MDLZ', 'MCD', 'SHOP', 'TLRY', 'F', 'QCOM', 'BA', 'PFE', 'PYPL', 'SPOT', 'MO', 'AMZN', 'FTNT', 'TMUS', 'MRK', 'ABBV', 'CAT', 'CVX', 'XOM', 'PG', 'DIDI', 'S', 'LZ', 'DNUT', 'XMTR', 'EVCM', 'INTA', 'CURV', 'CVRX', 'AVTE', 'DDL', 'CPOP', 'VRAR', 'RCRT', 'WAVE', 'SHLS', 'TIRX', 'XM', 'RMBL', 'XLNX', 'LGVN', 'ACIU', 'ALEC', 'SAVA', 'CRTX', 'WFC', 'WRI', 'WING', 'MSCI', 'SWKS', 'ROCC', 'SVAC', 'NEBC', 'DGNR', 'RTPZ', 'TWND', 'TSLA', 'MRIN', 'BBIG', 'MGI', 'AHT', 'BTU', 'BIOC', 'LOKB', 'AMC', 'CHUY', 'PETS', 'RL', 'HLT', 'HST', 'MGP', 'RCL', 'TNL', 'WH', 'AQUA', 'TRIP']",CPOP,2021-07-25
Wall Street Breakfast: The Week Ahead (Podcast),Tech heavyweights will be in the spotlight next week stepping into the earnings confessional.,2021-07-25 11:27:02+00:00,https://seekingalpha.com/article/4441241-wall-street-breakfast-the-week-ahead-podcast,Seeking Alpha,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,142,"['AAPL', 'MSFT', 'GOOG', 'FB', 'INTC', 'LMT', 'HAS', 'FFIV', 'CNC', 'UPS', 'ADM', 'GE', 'AMD', 'CB', 'MAT', 'SBUX', 'V', 'MDLZ', 'MCD', 'SHOP', 'TLRY', 'F', 'QCOM', 'BA', 'PFE', 'PYPL', 'SPOT', 'MO', 'AMZN', 'FTNT', 'TMUS', 'MRK', 'ABBV', 'CAT', 'CVX', 'XOM', 'PG', 'DIDI', 'S', 'LZ', 'DNUT', 'XMTR', 'EVCM', 'INTA', 'CURV', 'CVRX', 'AVTE', 'DDL', 'CPOP', 'VRAR', 'RCRT', 'WAVE', 'SHLS', 'TIRX', 'XM', 'RMBL', 'XLNX', 'LGVN', 'ACIU', 'ALEC', 'SAVA', 'CRTX', 'WFC', 'WRI', 'WING', 'MSCI', 'SWKS', 'ROCC', 'SVAC', 'NEBC', 'DGNR', 'RTPZ', 'TWND', 'TSLA', 'MRIN', 'BBIG', 'MGI', 'AHT', 'BTU', 'BIOC', 'LOKB', 'AMC', 'CHUY', 'PETS', 'RL', 'HLT', 'HST', 'MGP', 'RCL', 'TNL', 'WH', 'AQUA', 'TRIP']",CPOP,2021-07-25
Low Float Penny Stocks To Buy For Under $5 After RELI Surges 250%,"Low float penny stocks to add to your watch list this week
The post Low Float Penny Stocks To Buy For Under $5 After RELI Surges 250% appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-12-28 15:17:13+00:00,https://pennystocks.com/featured/2021/12/28/low-float-penny-stocks-to-buy-under-5-reli-250/,PennyStocks,0.0625,0.3083333333333333,neutral,0.0625,False,True,False,False,False,False,False,False,0.0,286,"['CELZ', 'CPOP', 'NES', 'PTPI', 'RELI', 'VEEE']",CPOP,2021-12-28
Top Penny Stocks to Buy Under $3? Check These 3 Out,"Are these $3 penny stocks worth buying in 2022?
The post Top Penny Stocks to Buy Under $3? Check These 3 Out appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-12-29 15:33:20+00:00,https://pennystocks.com/featured/2021/12/29/top-penny-stocks-buy-3-check-3/,PennyStocks,0.3875,0.35833333333333334,positive,0.3875,False,True,False,False,False,False,False,False,0.0,247,"['CPOP', 'ORTX', 'SEAC']",CPOP,2021-12-29
Is the Stock Market Open Today? 3 Penny Stocks to Watch on NYE,"Here are three penny stocks for your NYE watchlist 
The post Is the Stock Market Open Today? 3 Penny Stocks to Watch on NYE appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-12-31 15:46:06+00:00,https://pennystocks.com/featured/2021/12/31/is-stock-market-open-today-3-penny-stocks-watch-nye/,PennyStocks,0.08333333333333333,0.4444444444444444,neutral,0.08333333333333333,False,True,False,False,False,False,False,False,0.0,273,"['CPOP', 'MDRR', 'XERS']",CPOP,2021-12-31
How World Events Impact Penny Stocks in 2022,"How to take advantage of world events for trading penny stocks
The post How World Events Impact Penny Stocks in 2022 appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2022-08-06 15:30:00+00:00,https://pennystocks.com/?p=34907,PennyStocks,0.25,0.3333333333333333,positive,0.25,False,True,False,False,False,False,False,False,0.0,248,"['ALTO', 'CPOP', 'ONCT']",CPOP,2022-08-06
Why Quoin Pharmaceuticals Plunged Over 62%; Here Are 120 Biggest Movers From Friday,"Gainers

Cooper-Standard Holdings Inc. (NYSE: CPS) jumped 69.6% to close at $8.53 on Friday following better-than-expected Q2 results.
Intelligent Living Application Group Inc. (NASDAQ: ILAG) surged 64.4% to settle at $3.60 amid volatility in several recent small-cap IPOs.
Marker Therapeutics, Inc. (NASDAQ: MRKR) shares gained 63.6% to close at $0.54. The U.S. Food and Drug Administration (FDA) announced clearance to Marker Therapeutics’ Investigational New Drug (IND) application for MT-601 for the treatment of patients with relapsed/refractory non-Hodgkin lymphoma.
Athenex, Inc. (NASDAQ: ATNX) jumped 51.6% to close at $0.9550 as India's Intas Pharmaceuticals and Dr Reddy's Laboratories Ltd are reportedly in talks to acquire Athenex.
Bonso Electronics International Inc. (NASDAQ: BNSO) gained 46.2% to settle at $4.78.
Liberty TripAdvisor Holdings, Inc. (NASDAQ: LTRPA) rose 45.8% to settle at $0.91.
Pineapple Energy Inc. (NASDAQ: PEGY) shares jumped 45.8% to close at $3.63.
Heritage Insurance Holdings, Inc. (NASDAQ: HRTG) jumped 44% to close at $3.50 following Q2 earnings.
AlerisLife Inc. (NASDAQ: ALR) gained 43.7% to settle at $1.71. AlerisLife recently posted a Q2 loss of $0.28 per share.
Carvana Co. (NYSE: CVNA) jumped 40.1% to close at $46.98 after the company reported Q2 earnings results.
Progyny, Inc. (NASDAQ: PGNY) jumped 38.2% to close at $41.15 after the company reported better-than-expected Q2 results.
Boqii Holding Limited (NYSE: BQ) gained 34.9% to settle at $2.71.
Global Blood Therapeutics, Inc. (NASDAQ: GBT) rose 33% to settle at $63.84 following reports suggesting Pfizer is in talks to acquire the company.
Bed Bath & Beyond Inc. (NASDAQ: BBBY) gained 32.7% to settle at $8.16.
Sientra, Inc. (NASDAQ: SIEN) rose 31.1% to settle at $1.39.
Sensus Healthcare, Inc. (NASDAQ: SRTS) surged 30.7% to close at $14.55 following strong quarterly results.
GH Research PLC (NASDAQ: GHRS) gained 29.8% to close at $15.80.
Elite Education Group International Limited (NASDAQ: EEIQ) gained 29.2% to close at $1.99.
Q&K International Group Limited (NASDAQ: QK) gained 29.2% to close at $3.05 amid volatility in small-cap Chinese stocks.
Vroom, Inc. (NASDAQ: VRM) gained 28.9% to close at $2.32.
Pagaya Technologies Ltd. (NASDAQ: PGY) climbed 28.7% to close at $22.76 after dipping 34% on Thursday. Pagaya Technologies is expected to announce its Q2 earnings on August 16, 2022.
Incannex Healthcare Limited (NASDAQ: IXHL) gained 28.7% to close at $4.89.
Four Seasons Education (Cayman) Inc. (NYSE: FEDU) rose 28.7% to settle at $16.50.
Redbox Entertainment Inc. (NASDAQ: RDBX) gained 27.4% to close at $5.02.
Helbiz, Inc. (NASDAQ: HLBZ) jumped 27.2% to settle at $0.7501.
Cloudflare, Inc. (NYSE: NET) shares gained 27.1% to close at $74.24 after the company reported better-than-expected Q2 sales and raised FY22 sales guidance.
Satsuma Pharmaceuticals, Inc. (NASDAQ: STSA) surged 26.6% to settle at $6.10.
ATIF Holdings Limited (NASDAQ: ATIF) jumped 26.1% to settle at $2.3831.
Selecta Biosciences, Inc. (NASDAQ: SELB) climbed 25.5% to close at $2.36. Selecta Biosciences reported Q2 sales results up year over year.
Altisource Asset Management Corporation (NASDAQ: AAMC) gained 25.3% to close at $21.86.
Unico American Corporation (NASDAQ: UNAM) jumped 25% to close at $2.25.
Aemetis, Inc. (NASDAQ: AMTX) jumped 24.8% to close at $10.18. The company yesterday reported Q2 results.
Highway Holdings Limited (NASDAQ: HIHO) gained 24.4% to close at $2.24.
G1 Therapeutics, Inc. (NASDAQ: GTHX) rose 24% to settle at $13.01. The company recently posted upbeat Q2 results.
Atlas Corp. (NYSE: ATCO) gained 22.9% to close at $14.22 after the company said it received a non-binding proposal from Poseidon Acquisition Corp. to acquire all outstanding common shares of Atlas for $14.45 per share.
ORIC Pharmaceuticals, Inc. (NASDAQ: ORIC) jumped 22.8% to close at $4.63.
Quaker Chemical Corporation (NYSE: KWR) gained 22.2% to close at $186.96 following better-than-expected Q2 results.
bluebird bio, Inc. (NASDAQ: BLUE) jumped 22.1% to settle at $5.59 after Barclays upgraded the stock from Underweight to Equal-Weight and raised its price target from $3 to $5.
Beyond Meat, Inc. (NASDAQ: BYND) rose 21.9% to close at $38.26 following Q2 results.
Opendoor Technologies Inc. (NASDAQ: OPEN) rose 21.7% to close at $5.72 following Q2 results.
Scholar Rock Holding Corporation (NASDAQ: SRRK) jumped 21.3% to settle at $8.50.
Assure Holdings Corp. (NASDAQ: IONM) shares gained 21% to close at $2.54 after jumping around 104% on Thursday.
Aerie Pharmaceuticals, Inc. (NASDAQ: AERI) gained 20.9% ...",2022-08-08 07:05:40+00:00,https://www.benzinga.com/news/22/08/28391297/why-quoin-pharmaceuticals-plunged-over-62-here-are-120-biggest-movers-from-friday,Benzinga,0.13438783438783436,0.3441031191031191,positive,0.13438783438783436,True,True,True,False,False,False,True,False,0.0,4692,"['KSPN', 'STSA', 'SELB', 'QNRX', 'GDOT', 'ATIF', 'ACMR', 'AAMC', 'BQ', 'TEAM', 'FND', 'USER', 'ALR', 'PTON', 'ACOR', 'AMC', 'TTCF', 'UNAM', 'CVNA', 'BBAI', 'CPS', 'GNLN', 'AMTD', 'PCTY', 'MOBQ', 'RIDE', 'AMN', 'GTHX', 'IXHL', 'YELP', 'HCAT', 'ATCO', 'HRTG', 'CNEY', 'BGS', 'ATNX', 'PEGY', 'TRIP', 'NET', 'BBBY', 'SIEN', 'ASTR', 'CNK', 'BHF', 'PGY', 'DH', 'XGN', 'BNSO', 'LTRPA', 'EEIQ', 'FLR', 'RHE', 'HSCS', 'CERE', 'PGNY', 'CLMT', 'NEWR', 'HLBZ', 'KWR', 'FNKO', 'ILAG', 'INTZ', 'QK', 'CLNE', 'CVCO', 'GBT', 'DOCS', 'MWA', 'FEDU', 'AMTX', 'SPCE', 'DRRX', 'PEN', 'GHRS', 'RGA', 'EVFM', 'STAF', 'NLOK', 'FOLD', 'HSDT', 'CPOP', 'TDC', 'TALO', 'PROF', 'ORIC', 'HIHO', 'LYFT', 'HYZN', 'TPC', 'SRRK', 'TMC', 'DKNG', 'IRBT', 'HKD', 'IONM', 'VHI', 'HYRE', 'BLUE', 'FUBO', 'WETG', 'LOPE', 'MAX', 'CGTX', 'WBD', 'TWST', 'FOXF', 'HSTO', 'NNBR', 'SRTS', 'WBEV', 'WPP', 'MRKR', 'AERI', 'VRM', 'OPEN', 'TWLO', 'RDBX', 'WW', 'BYND', 'MRTX']",CPOP,2022-08-08
