date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-11-06,0.1366,0.0997,6,0.1366,0.0,3,2,4,0,1,0,1,0,1050.6667,CREV
2023-11-08,0.1466,,1,0.1466,0.0,1,1,1,1,0,1,0,0,2671.0,CREV
2023-11-10,0.132,,1,0.132,0.0,1,1,1,1,0,0,0,0,2738.0,CREV
2023-11-13,0.0647,0.1013,2,0.0717,0.0,1,0,1,0,0,0,1,0,1012.0,CREV
2023-11-28,0.1225,0.118,2,0.1225,0.0,0,2,2,0,2,0,0,0,1421.0,CREV
2023-11-30,0.0352,,1,0.0352,0.0,1,1,1,0,0,0,0,0,1658.0,CREV
2023-12-04,-0.0069,,1,0.0069,0.0,0,0,0,0,0,0,0,0,233.0,CREV
2023-12-05,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,1,0,472.0,CREV
2023-12-12,0.2,,1,0.2,0.0,1,0,1,0,0,0,0,0,162.0,CREV
2024-01-03,0.1666,0.0442,2,0.1666,0.0,0,0,1,0,0,0,0,0,1461.5,CREV
2024-01-09,0.1667,,1,0.1667,0.0,0,0,0,0,1,0,0,0,196.0,CREV
2024-02-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,184.0,CREV
2024-02-28,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,274.0,CREV
2024-02-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,CREV
2024-03-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,195.0,CREV
2024-03-06,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,409.0,CREV
2024-03-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,170.0,CREV
2024-03-19,0.65,,1,0.65,0.0,0,0,0,0,0,0,0,0,196.0,CREV
2024-03-20,0.65,,1,0.65,0.0,0,0,0,0,0,0,0,0,205.0,CREV
2024-03-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,210.0,CREV
2024-03-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,173.0,CREV
2024-04-03,0.0944,,1,0.0944,0.0,1,0,0,0,1,0,0,0,530.0,CREV
2024-04-09,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,623.0,CREV
2024-04-30,0.15,,1,0.15,0.0,0,0,0,0,1,0,0,0,195.0,CREV
2024-05-24,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,252.0,CREV
2024-06-04,0.0,,1,0.0,0.0,1,0,0,1,0,0,0,0,250.0,CREV
2024-06-24,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,165.0,CREV
2024-07-26,0.2557,,1,0.2557,0.0,0,0,0,0,0,0,0,0,365.0,CREV
2024-12-23,0.1364,,1,0.1364,0.0,0,0,1,0,0,0,0,0,394.0,CREV
2024-12-24,0.069,,1,0.069,0.0,0,0,0,0,0,0,0,0,396.0,CREV
