title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Carbon Revolution Receives Initial Funding of $70 million from the OIC Structured Equity Facility,Carbon Revolution Receives Initial Funding of $70 million from the OIC Structured Equity Facility,2023-11-06 11:30:00+00:00,https://www.globenewswire.com/news-release/2023/11/06/2773885/0/en/Carbon-Revolution-Receives-Initial-Funding-of-70-million-from-the-OIC-Structured-Equity-Facility.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,196,['CREV'],CREV,2023-11-06
Why BEST Shares Are Trading Higher By Around 12%; Here Are 20 Stocks Moving Premarket,"Gainers

Carbon Revolution Public Limited  (NASDAQ: CREV) shares surged 358% to $134.37 in pre-market trading after gaining 100% on Friday. The company’s stock began trading on Friday following merger with Twin Ridge Capital Acquisition Corp.
Sensei Biotherapeutics, Inc.  (NASDAQ: SNSE) shares rose 25.8% to $0.8686 in pre-market trading. Sensei Biotherapeutics reported clinical data for SNS-101 at 2023 SITC Annual Meeting.
Digital Brands Group, Inc.  (NASDAQ: DBGI) shares gained 21.7% to $5.28 in pre-market trading after falling around 4% on Friday.
Warrantee Inc.  (NASDAQ: WRNT) rose 21.4% to $0.45 in pre-market trading after gaining 11% on Friday.
RiceBran Technologies  (NASDAQ: RIBT) shares climbed 21% to $0.4744 in pre-market trading after gaining 7% on Friday.
POSCO Holdings Inc. (NYSE: PKX) shares jumped 18.1% to $98.51 in pre-market trading. Shares of South Korea ...",2023-11-06 13:08:25+00:00,https://www.benzinga.com/news/23/11/35618299/why-best-shares-are-trading-higher-by-around-12-here-are-20-stocks-moving-premarket,Benzinga,0.29732142857142857,0.3761904761904762,positive,0.29732142857142857,False,True,False,False,False,False,False,False,0.0,973,"['BHIL', 'ACXP', 'ROI', 'WRNT', 'ADCT', 'MGRX', 'BEST', 'CAUD', 'MF', 'CREV', 'PKX', 'SLS', 'RIBT', 'AFMD', 'NIR', 'OLB', 'MNPR', 'ASTR', 'SNSE', 'DBGI']",CREV,2023-11-06
US Stocks Rise; Nasdaq Gains 50 Points,"U.S. stocks traded higher this morning, with the Nasdaq Composite gaining around 50 points on Monday
Following the market opening Monday, the Dow traded up 0.21% to 34,133.62 while the NASDAQ rose 0.37% to 13,528.32. The S&P 500 also rose, gaining, 0.19% to 4,366.66.
Check This Out:  Top 5 Health Care Stocks That May Fall Off A Cliff This Month
 
Leading and Lagging Sectors
 
Consumer discretionary shares jumped by 0.6% on Monday.
In trading on Monday, real estate shares fell by 1.1%.
 
Top Headline
 
DISH Network Corp (NASDAQ: DISH) reported third-quarter revenue of $3.70 billion, missing the consensus of $3.72 billion. EPS of $0.26 loss, down from $0.65 Y/Y, missing the consensus of $0.04.
On Nov. 3, 2023, W. Erik Carlson notified DISH that he intends to resign as the CEO effective Nov. 12, 2023.
 
Equities Trading UP
 
Carbon Revolution Public Limited  (NASDAQ: CREV) shares shot up 546% to $189.51 after gaining 100% on Friday. The company’s stock began trading on Friday following ...",2023-11-06 14:48:30+00:00,https://www.benzinga.com/news/earnings/23/11/35621168/us-stocks-rise-nasdaq-gains-50-points,Benzinga,0.1873582766439909,0.37845804988662124,positive,0.1873582766439909,True,False,True,False,False,False,True,False,0.0,1041,"['DISH', 'SATS', 'MLTX', 'VERB', 'BVH', 'CREV']",CREV,2023-11-06
Crude Oil Moves Higher; BioNTech Lowers 2023 Sales Outlook,"U.S. stocks traded higher midway through trading, with the Dow Jones gaining around 40 points on Monday
The Dow traded up 0.13% to 34,106.99 while the NASDAQ rose 0.16% to 13,499.42. The S&P 500 also rose, gaining, 0.09% to 4,362.35.
Check This Out:  Top 5 Health Care Stocks That May Fall Off A Cliff This Month
 
Leading and Lagging Sectors
 
Health care shares jumped by 0.5% on Monday.
In trading on Monday, real estate shares fell by 1.4%.
 
Top Headline
 
BioNTech SE (NASDAQ: BNTX) reported better-than-expected earnings for its third quarter on Monday.
The company posted third-quarter revenues of €895.3 million ($974.49 million), sharply down from €3.461 billion a year ago. Analysts estimated $1.06 billion in sales. The company reported an EPS of €0.67 (around $0.73, beating the consensus of $0.62), a steep decline from €6.98 a year ago.
BioNTech lowers its FY23 Covid-19 vaccine revenue guidance to around €4 billion, down from prior guidance of approximately €5 billion.
 
Equities Trading UP
 
Carbon Revolution Public Limited  (NASDAQ: CREV) shares shot up ...",2023-11-06 17:14:57+00:00,https://www.benzinga.com/news/earnings/23/11/35625214/crude-oil-moves-higher-biontech-lowers-2023-sales-outlook,Benzinga,0.0944973544973545,0.43915343915343913,neutral,0.0944973544973545,True,False,True,False,False,False,False,False,0.0,1138,"['DISH', 'SATS', 'MLTX', 'VERB', 'BNTX', 'BVH', 'CREV']",CREV,2023-11-06
Why Bluegreen Vacations Shares Are Trading Higher By Around 105%? Here Are Other Stocks Moving In Monday's Mid-Day Session,"Gainers

Carbon Revolution Public Limited  (NASDAQ: CREV) shares jumped 396.2% to $145.49 after gaining 100% on Friday. The company’s stock began trading on Friday following merger with Twin Ridge Capital Acquisition Corp.
Bluegreen Vacations Holding Corporation  (NYSE: BVH) gained 105.8% to $73.11 after the company announced it would be acquired by Hilton Grand Vacations at $75 per share.
Verb Technology Company, Inc.  (NASDAQ: VERB) shares climbed 59.5% to $0.4086 amid the company announcing new technology integrations for its MARKET.live platform.
MSP Recovery, Inc. (NASDAQ: LIFW) jumped 34.7% to $3.69.
Digital Brands Group, Inc.  (NASDAQ: DBGI) shares gained 34.3% to $5.87 after the company announced review of strategic alternatives.
Cardio Diagnostics Holdings, Inc. (NASDAQ: CDIO) jumped 32.7% to $0.4971.
Organigram Holdings Inc. (NASDAQ: OGI) gained 28.8% to $1.48 after the company announced a C$124.6 million investment from BAT and the creation of ""Jupiter"" strategic investment pool.
Cheetah Net Supply Chain Service Inc. (NASDAQ: CTNT) rose 26% to $1.45.
Celldex Therapeutics, Inc. (NASDAQ: CLDX) gained 23.5% to $32.09 after the company announced data from its phase 2 trial treating urticaria refractory.
RiskOn International, Inc. (NASDAQ: ROI) climbed 23.2% to $0.8499.
Napco Security Technologies, Inc. (NASDAQ: NSSC) surged 20.8% to $22.72 following strong quarterly sales.
Freshpet, Inc. (NASDAQ: FRPT) gained 20.2% to $69.99. Freshpet reported third-quarter FY23 sales growth of 32.6% year-on-year to $200.60 million, beating the analyst consensus estimate of $194.11 million.
reAlpha Tech Corp. (NASDAQ: AIRE) gained 20% to $10.79.
PainReform Ltd. (NASDAQ: PRFX) climbed 18.7% to $2.79
Indaptus Therapeutics, Inc. (NASDAQ:",2023-11-06 18:36:30+00:00,https://www.benzinga.com/news/23/11/35627018/why-bluegreen-vacations-shares-are-trading-higher-by-around-105-here-are-other-stocks-moving-in-mond,Benzinga,0.13255910755910755,0.34018481518481514,positive,0.13255910755910755,False,True,True,False,False,False,False,False,0.0,1878,"['OGI', 'BHIL', 'NIR', 'ACXP', 'CNFR', 'CRBU', 'GMM', 'BGNE', 'PROC', 'ROI', 'PRME', 'INDP', 'BEST', 'MLTX', 'LICY', 'CLDX', 'HGV', 'GDEV', 'DISH', 'DOGZ', 'CDIO', 'FRPT', 'VERB', 'BANL', 'HOLI', 'KXIN', 'LIFW', 'NSSC', 'AFIB', 'CTNT', 'RYAAY', 'PRFX', 'AIRE', 'SATS', 'AMWL', 'GYRE', 'PKX', 'BVH', 'CAUD', 'GNE', 'ASTR', 'CREV', 'WHLR', 'DBGI', 'TGLS']",CREV,2023-11-06
Dow Turns Lower; EchoStar Shares Plunge,"U.S. stocks turned lower toward the end of trading, with the Dow Jones falling around 50 points on Monday
The Dow traded down 0.16% to 34,007.81 while the NASDAQ fell 0.08% to 13,467.42. The S&P 500 also fell, dropping, 0.13% to 4,352.49.
Check This Out:  Top 5 Health Care Stocks That May Fall Off A Cliff This Month
 
Leading and Lagging Sectors
 
Health care shares jumped by 0.7% on Monday.
In trading on Monday, real estate shares fell by 1.7%.
 
Top Headline
 
Kosmos Energy Ltd  (NYSE: KOS) reported better-than-expected earnings for its third quarter on Monday.
Kosmos Energy reported third-quarter (Q3) 2023 revenue of $526.5 million, beating the consensus of $457.4 million. Adjusted EPS of 26 cents, surpassing the consensus of $0.21.
For FY23, the company now expects capital expenditure of ~$800 million (vs. $700 million - $750 million earlier) and production of ~63,000 boe per day (vs. 65,000 - 69,000 boe per day prior).
 
Equities Trading UP
 
Carbon Revolution Public Limited  (NASDAQ: CREV) shares shot up 204% to ...",2023-11-06 19:28:23+00:00,https://www.benzinga.com/news/earnings/23/11/35627895/dow-turns-lower-echostar-shares-plunge,Benzinga,0.10811287477954146,0.2553791887125221,positive,0.10811287477954146,True,False,True,False,True,False,False,False,0.0,1078,"['DISH', 'SATS', 'KOS', 'MLTX', 'BVH', 'DBGI', 'CREV']",CREV,2023-11-06
Why Toast Shares Are Trading Lower By Around 17%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,"Gainers

Heart Test Laboratories, Inc. (NASDAQ: HSCS) shares climbed 96% to $0.2921 after falling over 7% on Tuesday.
GAN Limited  (NASDAQ: GAN) shares surged 83.9% to $1.64 as the company agreed to be acquired by Sega Sammy Creation for $1.97 per share in cash.
MSP Recovery, Inc.  (NASDAQ: LIFW) shares climbed 54% to $9.55.
Novo Integrated Sciences, Inc. (NASDAQ: NVOS) gained 37.3% to $2.0592. Novo Integrated Sciences recently announced a 1-for-10 reverse stock split of its common stock.
Pineapple Energy Inc. (NASDAQ: PEGY) jumped 29% to $0.96. Pineapple Energy is expected to report third-quarter results on Nov. 10.
Blade Air Mobility, Inc. (NASDAQ: BLDE) surged 27.3% to $2.89 as the company reported third-quarter FY23 revenue growth of 56.3% year-over-year to $71.44 million, beating the consensus of $66.94 million.
ContextLogic Inc. (NASDAQ: WISH) rose 26% to $5.31 following strong quarterly sales.
The RealReal, Inc.  (NASDAQ: REAL) climbed 25.5% to $2.02 following strong third-quarter results.
American Public Education, Inc. (NASDAQ: APEI) rose 22.3% to $5.26 following upbeat third-quarter results.
Roblox Corporation (NYSE: RBLX) climbed 19% to $41.72 after the company reported third-quarter financial results.
Agiliti, Inc. (NYSE: AGTI) gained 18.6% to $7.25 following strong sales.
AvidXchange Holdings, Inc. (NASDAQ: AVDX) climbed 16.9% to $9.39 following upbeat results.
GoPro, Inc. (NASDAQ: GPRO) rose 16.4% to $3.12 after the company reported third-quarter financial results.
Wearable Devices Ltd. (NASDAQ: WLDS) gained 16.1% to $1.08.
Nuvei Corporation (NASDAQ: NVEI) climbed 15.4% to $18.16 following strong sales.
Society Pass Incorporated (NASDAQ: SOPA) rose 15.3% to $0.3399. NusaTrip, the online travel arm of Society Pass, disclosed a strategic partnership with China-based Guangzhou Junwei International Travel Service Co. Ltd. to enhance travel options and experience for customers in both SEA and the People’s Republic of China.
National CineMedia, Inc. (NASDAQ: NCMI) rose 15.2% to $4.48 following third-quarter results.
Turtle Beach Corporation (NASDAQ: HEAR) climbed 15.1% to $10.02 following upbeat quarterly results.
James Hardie Industries plc (NYSE: JHX) climbed 15.1% to $30.53 after the company reported a year-over-year increase in second-quarter financial results.
Clear Secure, Inc. (NYSE: YOU) surged 14.4% to $20.28 following upbeat results.
Enovix Corporation (NASDAQ: ENVX) gained 14.3% to $11.70 after the company reported better-than-expected third-quarter financial results.
Target Hospitality Corp. ...",2023-11-08 18:41:58+00:00,https://www.benzinga.com/news/23/11/35681359/why-toast-shares-are-trading-lower-by-around-17-here-are-other-stocks-moving-in-wednesdays-mid-day-s,Benzinga,0.14657287157287155,0.3515512265512264,positive,0.14657287157287155,True,True,True,True,False,True,False,False,0.0,2671,"['NVOS', 'FTCI', 'ADNT', 'MOBV', 'SNBR', 'FLYW', 'SHLS', 'WLDS', 'LIFW', 'EOLS', 'AIP', 'YOU', 'TH', 'LQR', 'AGS', 'GAN', 'KIND', 'AGTI', 'CAUD', 'ESTA', 'ROI', 'HOOD', 'UPST', 'CREV', 'UPWK', 'APEI', 'ENVX', 'PRCH', 'LUMO', 'ARRY', 'NRDY', 'MGIC', 'VRM', 'DRRX', 'WRBY', 'LEJU', 'HEAR', 'PCT', 'EBAY', 'TOST', 'GPRO', 'MRVI', 'INSP', 'NVEI', 'MQ', 'RBLX', 'MRCY', 'SOPA', 'RILY', 'PBLA', 'NCMI', 'KD', 'AVDX', 'BLDE', 'JHX', 'EXFY', 'WISH', 'OSCR', 'SPR', 'PEGY', 'THAR', 'CPNG', 'WBD', 'JGGC', 'UONE', 'CTOS', 'REAL', 'HSCS']",CREV,2023-11-08
Why Wynn Resorts Shares Are Trading Lower By Around 8%? Here Are Other Stocks Moving In Friday's Mid-Day Session,"Shares of Wynn Resorts, Limited (NASDAQ: WYNN) fell sharply on Friday after the company reported third-quarter financial results.
Wynn Resorts reported third quarter operating revenue of $1.67 billion, which was up from a total of $889.7 million reported in the prior year's period. The revenue total beat a Street consensus estimate of $1.585 billion. The company reported adjusted earnings per share of 99 cents, which beat a Street consensus estimate of 75 cents per share.
Wynn Resorts shares declined 8.1% to $83.29 on Friday.
Here are some other stocks moving in today’s mid-day session.
Gainers

INVO Bioscience, Inc. (NASDAQ: INVO) shares jumped 112% to $1.49. NAYA Biosciences and INVO Bioscience named Dr. Peter Kash, Ed.D., MBA as Vice Chairman following closing of their pending merger.
Marpai, Inc.  (NASDAQ: MRAI) shares climbed 76% to $0.6740 after the company filed to withdraw the registration statement on Form S-1. The company confirmed no securities have been sold in connection with the offering contemplated by the Registration Statement.
TRACON Pharmaceuticals, Inc. (NASDAQ: TCON) shares gained 56.2% to $0.2499 after the company reported third-quarter financial results.
GlucoTrack, Inc. (NASDAQ: GCTK) rose 47% to $0.2371.
Direct Digital Holdings, Inc. (NASDAQ: DRCT) shares jumped 43% to $3.7250 trading after the company reported better-than-expected third-quarter financial results.
Synchronoss Technologies, Inc. (NASDAQ: SNCR) rose 28.6% to $0.4479. The company recently reported third-quarter results.
Blink Charging Co. (NASDAQ: BLNK) climbed 26.4% to $3.1100 after the company reported strong third-quarter revenue and raised 2023 revenue target.
Ouster, Inc. (NYSE: OUST) gained 24.8% to $5.14 following upbeat quarterly results.
VIZIO Holding Corp. (NYSE: VZIO) rose 22.4% to $6.46 after the company reported third-quarter financial results.
Yoshitsu Co., Ltd (NASDAQ: TKLF) gained 20.9% to $0.62.
Sunrise New Energy Co., Ltd. (NASDAQ: EPOW) jumped 20.5% to $1.35. Sunrise New Energy Chairman announced purchase of 200,000 shares in 30 days.
Intelligent Bio Solutions Inc. (NASDAQ: INBS) shares gained 19.6% to $0.5226 after jumping over 92% on Thursday. The company reported first-quarter financial results on Wednesday.
AVITA Medical, Inc. (NASDAQ: RCEL) climbed 18.3% to $11.70 after the company reported better-than-expected third-quarter sales.
The Joint Corp. (NASDAQ: JYNT) climbed 17.5% to $8.66 following upbeat sales.
Cardio Diagnostics Holdings, Inc. (NASDAQ: CDIO) gained 17.4% to $1.0683.
Nemaura Medical Inc. (NASDAQ: NMRD) rose 17.4% to $0.27.
Virios Therapeutics, Inc. ...",2023-11-10 18:34:32+00:00,https://www.benzinga.com/news/23/11/35731734/why-wynn-resorts-shares-are-trading-lower-by-around-8-here-are-other-stocks-moving-in-fridays-mid-da,Benzinga,0.1319877344877345,0.38117604617604617,positive,0.1319877344877345,True,True,True,True,False,False,False,False,0.0,2738,"['MPW', 'CDIO', 'EVA', 'TSHA', 'PAR', 'INBS', 'SVV', 'TARS', 'GDOT', 'SPRY', 'FBIO', 'AERT', 'AFRM', 'GRPN', 'SHCO', 'LILA', 'CUTR', 'VIRI', 'VUZI', 'INDV', 'RILY', 'CWCO', 'MNTK', 'MVST', 'BIOL', 'CREV', 'ACB', 'ILMN', 'OUST', 'KRT', 'VZIO', 'PLUG', 'TMCI', 'WHLR', 'APVO', 'PRPL', 'LYEL', 'IPDN', 'NMRD', 'SNCR', 'DOCS', 'AAOI', 'TTD', 'SYNA', 'WEST', 'LOCL', 'COMM', 'MTEM', 'WYNN', 'MRAI', 'TWOU', 'BLNK', 'BW', 'TKLF', 'ADPT', 'RCEL', 'DEO', 'DRCT', 'JYNT', 'PGEN', 'FLO', 'GCTK', 'NIR', 'INVO', 'HE', 'EPOW', 'TCON', 'GBIO']",CREV,2023-11-10
Carbon Revolution Issues Investor Presentation Ahead of Appearance at 14th Annual Craig-Hallum Alpha Select Conference,Management to Meet with Investors on November 16 in New York City Company Provides Share Count and Cash Position,2023-11-13 11:30:00+00:00,https://www.globenewswire.com/news-release/2023/11/13/2778853/0/en/Carbon-Revolution-Issues-Investor-Presentation-Ahead-of-Appearance-at-14th-Annual-Craig-Hallum-Alpha-Select-Conference.html,GlobeNewswire Inc.,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,True,False,0.0,232,['CREV'],CREV,2023-11-13
Why Edible Garden Shares Are Trading Lower By Around 18%? Here Are Other Stocks Moving In Monday's Mid-Day Session,"Edible Garden AG Incorporated (NASDAQ: EDBL) shares fell on Monday following third-quarter results.
Edible Garden posted a quarterly loss of 69 cents per share, compared to a year-ago loss of $7.20 per share, according to Benzinga Pro. The company’s quarterly sales came in at $3.29 million.
Edible Garden shares fell on Monday fell 17.6% to $0.5315 during Monday’s session.
Gainers

Tenax Therapeutics, Inc (NASDAQ: TENX) shares jumped 130% to $0.3588 after the company announced FDA clearance of IND for TNX-103 for the treatment of pulmonary hypertension with heart failure with preserved ejection fraction.
Tivic Health Systems, Inc.  (NASDAQ: TIVC) gained 81.3% to $2.1750. BestGrowthStocks.Com issued comprehensive analysis of Tivic Health Systems.
MSP Recovery, Inc. (NASDAQ: LIFW) jumped 40.6% to $7.47.
ZyVersa Therapeutics, Inc.  (NASDAQ: ZVSA) shares climbed 35.8% to $0.09.
Xos, Inc. (NASDAQ: XOS) gained 26% to $0.42.
Collective Audience, Inc. (NASDAQ: CAUD) shares climbed 23.9% to $3.6801 after jumping around 30% on Friday.
Montauk Renewables, Inc. (NASDAQ: MNTK) gained 23% to $7.91. Scotiabank upgraded Montauk Renewables from Sector Perform to Sector Outperform and announced a $9 price target.
Near Intelligence, Inc. (NASDAQ: NIR) shares climbed 21% to $0.23 after dipping 31% on Friday.
Cingulate Inc. (NASDAQ: CING) gained 20.5% to $0.3798.
INVO Bioscience, Inc. (NASDAQ: INVO) rose 18% to $1.5400.
Cyngn Inc. (NASDAQ: CYN) climbed 18% to $0.2011.
TETRA Technologies, Inc. (NYSE: TTI) gained 16.6% to $5.01. Exxon Mobil Corp is reportedly planning to unveil its long-awaited lithium strategy today. The company aims to produce at least 10,000 metric ...",2023-11-13 18:08:54+00:00,https://www.benzinga.com/news/23/11/35758121/why-edible-garden-shares-are-trading-lower-by-around-18-here-are-other-stocks-moving-in-mondays-mid,Benzinga,-0.0069444444444444475,0.42083333333333334,neutral,0.0069444444444444475,True,False,True,False,False,False,False,False,0.0,1792,"['XOS', 'CREV', 'RILY', 'EFTR', 'PEN', 'CZOO', 'BWEN', 'ACRS', 'CING', 'COMS', 'SNES', 'MYNZ', 'LWAY', 'AREB', 'TIVC', 'CYN', 'STNE', 'GCTK', 'TTI', 'BYND', 'TNON', 'WW', 'ALEC', 'EDBL', 'BEAM', 'MNPR', 'CDIO', 'VUZI', 'INVO', 'WETG', 'ZVSA', 'KRT', 'NLSP', 'LIFW', 'INTZ', 'RLX', 'CTNT', 'APLD', 'MNTK', 'LQR', 'NIR', 'MNDY', 'SGD', 'TCON', 'VERV', 'CAUD', 'TENX']",CREV,2023-11-13
