title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Will Curis (CRIS) Report Negative Q1 Earnings? What You Should Know,Curis (CRIS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-05-04 19:00:35+00:00,http://www.zacks.com/stock/news/1500202/will-curis-cris-report-negative-q1-earnings-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1500202,Zacks Investment Research,-0.002857142857142858,0.7871428571428571,neutral,0.002857142857142858,True,False,False,False,False,False,False,False,0.0,237,['CRIS'],CRIS,2021-05-04
"Earnings Scheduled For May 12, 2021","Companies Reporting Before The Bell
• PolyPid (NASDAQ:PYPD) is estimated to report earnings for its first quarter.
• Boyd Gaming (NYSE:BYD) is projected to report quarterly earnings at $1.01 per share on revenue of $570.79 million.
• Zealand Pharma (NASDAQ:ZEAL) is likely to report quarterly loss at $1.01 per share on revenue of $9.89 million.
• American Well (NYSE:AMWL) is likely to report quarterly loss at $0.19 per share on revenue of $58.75 million.
• Crescent Point Energy (NYSE:CPG) is projected to report quarterly earnings at $0.03 per share on revenue of $492.10 million.
• TORM (NASDAQ:TRMD) is expected to report quarterly loss at $0.21 per share on revenue of $130.30 million.
• Dream Finders Homes (NASDAQ:DFH) is likely to report quarterly earnings at $0.19 per share on revenue of $350.23 million.
• Radius Global Infr (NASDAQ:RADI) is estimated to report quarterly loss at $0.29 per share on revenue of $21.18 million.
• Toyota Motor (NYSE:TM) is likely to report earnings for its fourth quarter.
• SFL Corp (NYSE:SFL) is projected to report quarterly earnings at $0.13 per share on revenue of $106.92 million.
• Kamada (NASDAQ:KMDA) is expected to report quarterly earnings at $0.09 per share on revenue of $27.17 million.
• IMV (NASDAQ:IMV) is likely to report quarterly loss at $0.16 per share on revenue of $40.00 thousand.
• OneSpaWorld Holdings (NASDAQ:OSW) is likely to report quarterly loss at $0.20 per share on revenue of $3.80 million.
• Comstock Mining (AMEX:LODE) is likely to report quarterly loss at $0.04 per share on revenue of $310.00 thousand.
• Strongbridge Biopharma (NASDAQ:SBBP) is expected to report quarterly loss at $0.10 per share on revenue of $8.31 million.
• Greenland Technologies (NASDAQ:GTEC) is likely to report earnings for its first quarter.
• Aemetis (NASDAQ:AMTX) is estimated to report quarterly loss at $0.53 per share on revenue of $49.04 million.
• China Automotive Systems (NASDAQ:CAAS) is estimated to report quarterly earnings at $0.03 per share on revenue of $116.78 million.
• Arcos Dorados Holdings (NYSE:ARCO) is projected to report quarterly loss at $0.01 per share on revenue of $546.08 million.
• Lumentum Holdings (NASDAQ:LITE) is estimated to report quarterly earnings at $1.40 per share on revenue of $433.49 million.
• BRF (NYSE:BRFS) is expected to report quarterly earnings at $0.03 per share on revenue of $1.97 billion.
• Wendy's (NASDAQ:WEN) is projected to report quarterly earnings at $0.14 per share on revenue of $444.31 million.
• Wolverine World Wide (NYSE:WWW) is estimated to report quarterly earnings at $0.40 per share on revenue of $511.78 million.
• Eos Energy Enterprises (NASDAQ:EOSE) is expected to report quarterly loss at $0.16 per share on revenue of $1.31 million.
• Superior Drilling (AMEX:SDPI) is expected to report quarterly loss at $0.05 per share on revenue of $2.07 million.
• Dynatrace (NYSE:DT) is estimated to report quarterly earnings at $0.14 per share on revenue of $191.81 million.
• GEO Group (NYSE:GEO) is estimated to report quarterly earnings at $0.04 per share on revenue of $26.35 million.
• IT Tech Packaging (AMEX:ITP) is estimated to report quarterly earnings at $0.36 per share on revenue of $314.95 million.
• Apyx Medical (NASDAQ:APYX) is expected to report earnings for its first quarter.
• Tower Semiconductor (NASDAQ:TSEM) is estimated to report quarterly earnings at $0.31 per share on revenue of $345.20 million.
• Veru (NASDAQ:VERU) is projected to report quarterly loss at $0.04 per share on revenue of $14.29 million.
• HOOKIPA Pharma (NASDAQ:HOOK) is projected to report quarterly loss at $0.53 per share on revenue of $3.97 million.
• Wix.com (NASDAQ:WIX) is estimated to report quarterly loss at $0.64 per share on revenue of $295.05 million.
• Summit Wireless (NASDAQ:WISA) is projected to report quarterly loss at $0.30 per share on revenue of $1.26 million.
• LiqTech International (NASDAQ:LIQT) is estimated to report quarterly loss at $0.14 per share on revenue of $4.19 million.
• APi Gr (NYSE:APG) is projected to report quarterly earnings at $0.14 per share on revenue of $771.37 million.
• Sotherly Hotels (NASDAQ:SOHO) is expected to report quarterly loss at $0.78 per share on revenue of $17.10 million.
• Minerva Neurosciences (NASDAQ:Full story available on Benzinga.com",2021-05-12 08:22:39+00:00,https://www.benzinga.com/news/earnings/21/05/21076023/earnings-scheduled-for-may-12-2021,Benzinga,0.03518518518518518,0.514814814814815,neutral,0.03518518518518518,True,False,False,False,False,False,False,False,0.0,4357,"['APP', 'COMP', 'CHRA', 'MNKD', 'BIOC', 'RADI', 'SFL', 'SBBP', 'AXU', 'PCOM', 'WISA', 'PAAS', 'EVOK', 'TTCF', 'SPG', 'RLMD', 'WISH', 'EAR', 'VIEW', 'PRTH', 'RNWK', 'WIX', 'PLBY', 'TM', 'SSKN', 'GRN', 'WATT', 'MRKR', 'SONO', 'NVEE', 'EOSE', 'TOT', 'GRWG', 'IVA', 'SLRX', 'APYX', 'STKL', 'CCAP', 'MDVL', 'WEN', 'METC', 'PEY', 'LIQT', 'OSW', 'TRMD', 'FLXN', 'PBLA', 'WWW', 'IFS', 'PRN', 'AMTX', 'ZVO', 'TSEM', 'AMRK', 'POSH', 'YPF', 'AREC', 'CAAS', 'STEP', 'YCBD', 'BYD', 'SDPI', 'BTRS', 'BRFS', 'SPB', 'UONEK', 'CRESY', 'MBCN', 'KRMD', 'CIR', 'RESN', 'DFH', 'GTEC', 'VERU', 'CRIS', 'PROF', 'ONEM', 'DOX', 'NERV', 'BMBL', 'LODE', 'ZEAL', 'CYCC', 'ALTO', 'APG', 'DT', 'BOOT', 'ONTF', 'PAM', 'EYEN', 'FOSL', 'TRQ', 'VRM', 'EGY', 'ADMA', 'BVS', 'ARCO', 'CEPU', 'FTEK', 'LAND', 'PYPD', 'GEO', 'BLBD', 'CPNG', 'TDUP', 'CPG', 'EOLS', 'HOOK', 'IMV', 'AFIB', 'ITP', 'MCFT', 'CTOS', 'ASM', 'GOCO', 'ISSC', 'KMDA', 'KBNT', 'MEG', 'SFT', 'EGLX', 'TIG', 'LGO', 'JACK', 'SOHO', 'AMWL', 'MSP', 'LITE']",CRIS,2021-05-12
Do Options Traders Know Something About Curis (CRIS) Stock We Don't?,Investors need to pay close attention to Curis (CRIS) stock based on the movements in the options market lately.,2021-05-12 12:45:00+00:00,http://www.zacks.com/stock/news/1540574/do-options-traders-know-something-about-curis-cris-stock-we-dont?cid=CS-ZC-FT-tale_of_the_tape|options-1540574,Zacks Investment Research,-0.3,0.6,negative,0.3,False,False,False,False,False,False,False,False,0.0,182,['CRIS'],CRIS,2021-05-12
12 Health Care Stocks Moving In Wednesday's Intraday Session,"Gainers

Curis (NASDAQ:CRIS) shares moved upwards by 57.23% to $15.46 during Wednesday's regular session. Trading volume for Curis's stock is 28.8 million as of 12:30 EST. This is 1541.41% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $1.4 billion. The company's, Q1 earnings came out today.
Second Sight Medical (NASDAQ:EYES) shares moved upwards by 43.24% to $7.16. As of 12:30 EST, Second Sight Medical's stock is trading at a volume of 68.8 million, which is 280.96% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $199.8 million.
Autolus Therapeutics (NASDAQ:AUTL) stock increased by 30.46% to $6.51. Trading volume for this security as of 12:30 EST is 7.1 million, which is 871.85% of its average full-day volume over the last 100 days. The company's market cap stands at $459.0 million. As per the press release, Q1 earnings came out 4 days ago.
Minerva Neurosciences (NASDAQ:NERV) shares moved upwards by 20.62% to $2.69. Minerva Neurosciences's stock is trading at a volume of 45.2 million shares as of 12:30 EST. This ...Full story available on Benzinga.com",2021-05-12 16:48:09+00:00,https://www.benzinga.com/intraday-update/21/05/21087771/12-health-care-stocks-moving-in-wednesdays-intraday-session,Benzinga,0.06785714285714285,0.2590659340659341,neutral,0.06785714285714285,True,False,True,False,True,False,False,False,0.0,1247,"['CRIS', 'RIGL', 'EYES', 'REPH', 'NERV', 'PLSE', 'LLIT', 'GTBP', 'AUTL', 'GRAY', 'ALGS', 'GMTX']",CRIS,2021-05-12
Curis (CRIS) Q1 2021 Earnings Call Transcript,"CRIS earnings call for the period ending March 31, 2021.",2021-05-13 06:30:56+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/13/curis-cris-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,103,['CRIS'],CRIS,2021-05-13
62 Biggest Movers From Yesterday,"Gainers

Curis, Inc. (NASDAQ: CRIS) shares surged 65.5% to settle at $16.27 on Wednesday in reaction to updated data from its ongoing open-label, single-arm, Phase 1/2 study of CA-4948 in patients with acute myeloid leukemia (AML) or high-risk myelodysplastic syndromes (MDS). The company also released quarterly results after the closing bell on Wednesday.
Lucira Health, Inc. (NASDAQ: LHDX) jumped 44.2% to close at $7.34 on Wednesday. Lucira said its Lucira CHECK IT COVID-19 test kit is now available on Amazon, Inc. in the US.
Autolus Therapeutics plc (NASDAQ: AUTL) jumped 35.5% to close at $6.76.
Summit Wireless Technologies, Inc. (NASDAQ: WISA) gained 31% to settle at $3.38 after the company issued Q2 sales guidance up 250%.
Second Sight Medical Products, Inc. (NASDAQ: EYES) jumped 27.6% to settle at $6.38 after the company disclosed two-year results of Orion study.
ShotSpotter, Inc. (NASDAQ: SSTI) jumped 25.4% to close at $38.67 following Q1 results. Craig-Hallum upgraded ShotSpotter from Hold to Buy and raised the price target from $40 to $45.
Barnwell Industries, Inc. (NYSE: BRN) rose 24% to close at $3.31 following Q2 results.
Larimar Therapeutics, Inc. (NASDAQ: LRMR) jumped 23.7% to settle at $10.34, rebounding after the stock fell on Tuesday due to safety concerns from the non-human primate studies for its CTI-1601 program.
Ra Medical Systems, Inc. (NASDAQ: RMED) shares gained 18.1% to $3.92 after the company reported better-than-expected Q1 results.
Mesa Royalty Trust (NYSE: MTR) gained 18.1% to settle at $5.07.
Harrow Health, Inc. (NASDAQ: HROW) jumped 16.4% to close at $9.08 after the company reported better-than-expected Q1 results.
Minerva Neurosciences, Inc. (NASDAQ: NERV) climbed 15.7% to settle at $2.58 after the company announced results from the 40-week open-label extension of its phase 3 trial of roluperidone for the treatment of negative symptoms of schizophrenia.
Lightbridge Corporation (NASDAQ: LTBR) rose 15.2% to close at $5.24 after the company posted a narrower quarterly loss.
Wheeler Real Estate Investment Trust, Inc. (NASDAQ: WHLR) surged 15% to close at $4.21.
iPower, Inc. (NASDAQ: IPW) gained 14.8% to settle at $5.74 after the company priced its IPO at $5 per share.
Rigel Pharmaceuticals, Inc. (NASDAQ: RIGL) surged 14.6% to close at $3.69 in sympathy with Curis after the company reported an updated data in 2 abstracts for CA-4948 accepted for ...Full story available on Benzinga.com",2021-05-13 09:12:10+00:00,https://www.benzinga.com/news/21/05/21099596/62-biggest-movers-from-yesterday,Benzinga,0.18269230769230768,0.375,positive,0.18269230769230768,True,True,True,False,True,False,False,False,0.0,2486,"['HROW', 'NM', 'LITE', 'BRN', 'PAYS', 'SD', 'VRME', 'GBR', 'XGN', 'GTEC', 'FUTU', 'IHT', 'FUBO', 'LEDS', 'GMBL', 'IPW', 'SLQT', 'LTBR', 'NMRD', 'ARRY', 'LRMR', 'EGAN', 'OBLN', 'BRID', 'CHCI', 'LMND', 'AMTX', 'LLIT', 'CRIS', 'GRAY', 'BMRA', 'RMED', 'HCKT', 'KRBP', 'EYES', 'BEDU', 'OPEN', 'CURI', 'WHLR', 'IFRX', 'PANL', 'PRAX', 'WIX', 'DXF', 'RIGL', 'OLMA', 'IPWR', 'AUTL', 'SSTI', 'LHDX', 'BNR', 'WISA', 'CVI', 'FTCI', 'NERV', 'HFFG', 'HOV', 'GO', 'RVLV', 'MTR', 'STKS', 'SONM']",CRIS,2021-05-13
26 Stocks Moving in Thursday's Pre-Market Session,"Gainers

Fuel Tech, Inc. (NASDAQ: FTEK) shares rose 26.3% to $2.45 in pre-market trading after the company reported upbeat results for its first quarter on Wednesday.
Celyad Oncology SA (NASDAQ: CYAD) rose 15.6% to $6.14 in pre-market trading. Celyad Oncology will present data from Phase 1 IMMUNICY-1 trial of non-gene edited allogeneic CAR T candidate CYAD-211 in relapsed/refractory multiple myeloma at the European Hematology Association Virtual Congress.
A-Mark Precious Metals, Inc. (NASDAQ: AMRK) rose 14.5% to $44.99 in pre-market trading after the company reported a sharp rise in Q3 earnings.
Silvergate Capital Corporation (NYSE: SI) shares rose 11.2% to $89.89 in pre-market trading after Diem announced a partnership with the company to become the exclusive issuer of the Diem USD stablecoin.
Sonos, Inc. (NASDAQ: SONO) shares rose 10.9% to $34.91 in pre-market trading after the company swung to a profit in the second quarter and raised FY21 sales guidance.
Predictive Oncology Inc. (NASDAQ: POAI) rose 10% to $0.9678 in pre-market trading after the company reported a narrower Q1 loss.
InnSuites Hospitality ...Full story available on Benzinga.com",2021-05-13 11:01:06+00:00,https://www.benzinga.com/news/21/05/21101195/26-stocks-moving-in-thursdays-pre-market-session,Benzinga,0.33035714285714285,0.5845238095238096,positive,0.33035714285714285,True,False,True,True,False,False,False,False,0.0,1214,"['LLIT', 'IHT', 'METC', 'CRIS', 'SLNO', 'FTEK', 'FUV', 'NCTY', 'RIOT', 'SONO', 'GRIN', 'SI', 'CAN', 'POAI', 'MARA', 'ONEM', 'EVOK', 'VRM', 'AMC', 'LHDX', 'AMRK', 'CYAD', 'BNTC', 'TLGT', 'WISH', 'GRWG']",CRIS,2021-05-13
12 Health Care Stocks Moving In Thursday's Pre-Market Session,"Gainers

Palisade Bio (NASDAQ:PALI) shares moved upwards by 35.23% to $7.1 during Thursday's pre-market session.
Lianluo Smart (NASDAQ:LLIT) shares rose 19.37% to $7.21. The market value of their outstanding shares is at $35.0 million.
Celyad Oncology (NASDAQ:CYAD) shares increased by 18.83% to $6.31. The market value of their outstanding shares is at $94.6 million.
Heron Therapeutics (NASDAQ:HRTX) stock rose 18.03% to $20.55. The market value of their outstanding shares is at $2.0 billion. As per the press release, Q1 earnings came out 3 days ago.
Immuron (NASDAQ:IMRN) ...Full story available on Benzinga.com",2021-05-13 12:07:25+00:00,https://www.benzinga.com/pre-market-outlook/21/05/21102875/12-health-care-stocks-moving-in-thursdays-pre-market-session,Benzinga,0.473469387755102,0.7954081632653062,positive,0.473469387755102,True,False,False,False,True,False,False,False,0.0,679,"['CRIS', 'HAE', 'BIOC', 'EVOK', 'FLXN', 'HRTX', 'CYAD', 'AZRX', 'LLIT', 'IMRN', 'ONEM', 'PALI']",CRIS,2021-05-13
44 Stocks Moving In Thursday's Mid-Day Session,"Gainers

Reliance Global Group, Inc. (NASDAQ: RELI) jumped 38.7% to $4.0901 after the company said it has acquired a premier health insurance agency, J.P. Kush and Associates, Inc.
InnSuites Hospitality Trust (NYSE: IHT) shares climbed 33% to $7.49 after dropping around 15% on Wednesday.
Trinity Biotech plc (NASDAQ: TRIB) gained 23.9% to $3.6301.
Mesa Royalty Trust (NYSE: MTR) shares jumped 23.9% to $6.28 after gaining 18% on Wednesday.
Flux Power Holdings, Inc. (NASDAQ: FLUX) gained 19.6% to $9.20 after the company reported better-than-expected Q3 results.
Moxian, Inc. (NASDAQ: MOXC) rose 19.3% to $9.18.
Comstock Holding Companies, Inc.  (NASDAQ: CHCI) gained 19% to $7.34 after gaining 8% on Wednesday.
Silvergate Capital Corporation (NYSE: SI) shares climbed 18.5% to $95.75 after Diem announced a partnership with the company to become the exclusive issuer of the Diem USD stablecoin.
Ramaco Resources, Inc. (NASDAQ: METC) rose 17.8% to $4.9110 after the company reported an increase in quarterly earnings.
MultiPlan Corporation (NYSE: MPLN) gained 17.4% to $7.22 after the company reported better-than-expected Q1 results.
Funko, Inc. (NASDAQ: FNKO) jumped 16.3% to $24.65 after B of A Securities upgraded the stock from Underperform to Buy and raised the price from $12 to $30 per share.
Verso Corporation (NYSE: VRS) gained 15.6% to $17.36. Verso reported commencement of $55m modified Dutch auction tender offer for its class A common stock.
AMC Entertainment Holdings, Inc.  (NYSE: AMC) shares rose 15.6% to $11.93.
Applied UV, Inc. (NASDAQ: ...Full story available on Benzinga.com",2021-05-13 16:05:58+00:00,https://www.benzinga.com/news/21/05/21109805/44-stocks-moving-in-thursdays-mid-day-session,Benzinga,0.31666666666666665,0.6249999999999999,positive,0.31666666666666665,True,True,True,True,False,False,False,False,0.0,1646,"['EAR', 'VRS', 'DXF', 'IHT', 'LEDS', 'BHR', 'ARRY', 'FLUX', 'RELI', 'CHCI', 'SQBG', 'ZVO', 'CRIS', 'MARA', 'YCBD', 'FARM', 'EVOK', 'VRM', 'FTEK', 'AMC', 'AUVI', 'PTIX', 'AMRK', 'AMWL', 'MPLN', 'SONO', 'CYAD', 'MASS', 'TRIB', 'MOXC', 'POSH', 'BW', 'BNTC', 'LHDX', 'FLR', 'WISH', 'GCI', 'LLIT', 'HAE', 'METC', 'MTR', 'URGN', 'SI', 'FNKO']",CRIS,2021-05-13
12 Health Care Stocks Moving In Thursday's Intraday Session,"Gainers

MultiPlan (NYSE:MPLN) stock increased by 17.31% to $7.21 during Thursday's regular session. Trading volume for MultiPlan's stock is 4.0 million as of 12:30 EST. This is 179.61% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $4.8 billion. The company's, Q1 earnings came out today.
GlycoMimetics (NASDAQ:GLYC) shares increased by 13.77% to $2.56. GlycoMimetics's stock is trading at a volume of 4.8 million shares as of 12:30 EST. This is 603.82% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $131.9 million.
Larimar Therapeutics (NASDAQ:LRMR) stock moved upwards by 12.57% to $11.64. Trading volume for Larimar Therapeutics's stock is 144.5K as of 12:30 EST. This is 135.25% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $178.8 million. As per the news, the Q1 earnings report came out 3 days ago.
Allena Pharmaceuticals (NASDAQ:ALNA) stock rose 12.42% to $1.21. Trading volume for Allena Pharmaceuticals's stock is 1.1 million as of 12:30 EST. This is 124.05% of its average full-day volume over the ...Full story available on Benzinga.com",2021-05-13 16:33:57+00:00,https://www.benzinga.com/intraday-update/21/05/21110384/12-health-care-stocks-moving-in-thursdays-intraday-session,Benzinga,0.14615384615384613,0.4501479289940829,positive,0.14615384615384613,True,False,False,False,False,False,False,False,0.0,1289,"['AHPI', 'CRIS', 'PTIX', 'EYES', 'EVOK', 'GLYC', 'OBLN', 'ALNA', 'KRMD', 'LRMR', 'AMWL', 'MPLN']",CRIS,2021-05-13
