title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Dow Surges 2% and Retakes 26K,Dow Surges 2% and Retakes 26K,2020-06-04 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25551,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,60,"['OXM', 'CIEN', 'BJ', 'GES', 'MU', 'APPS', 'CSIQ', 'REGI']",CSIQ,2020-06-04
"Stocks Advance on ""Optimistic"" Turn in Stimulus Talks","Stocks Advance on ""Optimistic"" Turn in Stimulus Talks",2020-10-21 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27045,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,108,"['CMRE', 'ISEE', 'WGO', 'SNBR', 'TAL', 'ALC', 'GOOS', 'COP', 'STNE', 'TWTR', 'CSIQ', 'APOG', 'NFLX', 'SNAP', 'TSLA', 'ABT', 'CSX', 'LRCX', 'BIIB']",CSIQ,2020-10-21
NASDAQ Drops 1.9% as Stocks Take a Step Back,NASDAQ Drops 1.9% as Stocks Take a Step Back,2020-12-10 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27610,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,90,"['KEYS', 'UNFI', 'CSIQ', 'DFIN', 'EDIT', 'NFLX', 'AMZN', 'AAPL', 'FB']",CSIQ,2020-12-10
Canadian Solar (CSIQ) Outpaces Stock Market Gains: What You Should Know,"In the latest trading session, Canadian Solar (CSIQ) closed at $46.26, marking a +1.11% move from the previous day.",2021-04-26 21:45:18+00:00,http://www.zacks.com/stock/news/1458000/canadian-solar-csiq-outpaces-stock-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6-1458000,Zacks Investment Research,0.07777777777777779,0.3888888888888889,neutral,0.07777777777777779,False,False,False,False,False,False,False,False,0.0,188,['CSIQ'],CSIQ,2021-04-26
3 Bargain Renewable Stocks You Can Buy Right Now,These stocks are cheap and could have a lot of growth on the horizon.,2021-04-29 21:15:00+00:00,https://www.fool.com/investing/2021/04/29/3-bargain-renewable-stocks-you-can-buy-right-now/?source=iedfolrf0000001,The Motley Fool,0.34285714285714286,0.6178571428571429,positive,0.34285714285714286,False,True,False,False,False,False,False,False,0.0,119,"['FSLR', 'CSIQ', 'BEP', 'AY', 'NEP']",CSIQ,2021-04-29
Canadian Solar (CSIQ) Dips More Than Broader Markets: What You Should Know,"Canadian Solar (CSIQ) closed the most recent trading day at $39.20, moving -5.15% from the previous trading session.",2021-05-04 21:50:20+00:00,http://www.zacks.com/stock/news/1500835/canadian-solar-csiq-dips-more-than-broader-markets-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1500835,Zacks Investment Research,0.14666666666666667,0.30333333333333334,positive,0.14666666666666667,False,False,False,False,False,False,False,False,0.0,192,['CSIQ'],CSIQ,2021-05-04
Canadian Solar (CSIQ) Gains As Market Dips: What You Should Know,"In the latest trading session, Canadian Solar (CSIQ) closed at $38.11, marking a +1.95% move from the previous day.",2021-05-11 22:57:24+00:00,http://www.zacks.com/stock/news/1537544/canadian-solar-csiq-gains-as-market-dips-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1537544,Zacks Investment Research,0.07777777777777779,0.3888888888888889,neutral,0.07777777777777779,False,False,False,False,False,False,False,False,0.0,181,['CSIQ'],CSIQ,2021-05-11
Earnings Preview: Canadian Solar (CSIQ) Q1 Earnings Expected to Decline,Canadian Solar (CSIQ) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-05-13 21:30:18+00:00,http://www.zacks.com/stock/news/1547647/earnings-preview-canadian-solar-csiq-q1-earnings-expected-to-decline?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1547647,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,False,False,False,False,False,False,False,0.0,250,['CSIQ'],CSIQ,2021-05-13
Canadian Solar (CSIQ) to Post Q1 Earnings: What's in Store?,"Canadian Solar's (CSIQ) Q1 results are expected to reflect project monetization benefits. However, appreciation of the Chinese currency might have hurt its earnings performance.",2021-05-18 13:44:00+00:00,http://www.zacks.com/stock/news/1571027/canadian-solar-csiq-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1571027,Zacks Investment Research,-0.05,0.2,neutral,0.05,True,False,False,False,False,False,False,False,0.0,238,"['CSIQ', 'FSLR', 'ENPH', 'SEDG']",CSIQ,2021-05-18
"Earnings Scheduled For May 20, 2021","Companies Reporting Before The Bell
• Meten EdtechX Education (NASDAQ:METX) is expected to report earnings for its first quarter.
• Golar LNG (NASDAQ:GLNG) is projected to report quarterly earnings at $0.05 per share on revenue of $107.77 million.
• Chindata Group Holdings (NASDAQ:CD) is estimated to report quarterly earnings at $0.02 per share on revenue of $94.24 million.
• Advanced Drainage Systems (NYSE:WMS) is expected to report quarterly earnings at $0.32 per share on revenue of $402.37 million.
• Brady (NYSE:BRC) is likely to report quarterly earnings at $0.66 per share on revenue of $277.48 million.
• Petco Health and Wellness (NASDAQ:WOOF) is estimated to report quarterly earnings at $0.09 per share on revenue of $1.27 billion.
• BrainsWay (NASDAQ:BWAY) is expected to report quarterly loss at $0.06 per share on revenue of $5.84 million.
• Chipotle Mexican Grill (NYSE:CMG) is expected to report quarterly earnings at $0.07 per share on revenue of $16.06 million.
• Golden Ocean Group (NASDAQ:GOGL) is likely to report quarterly earnings at $0.07 per share on revenue of $115.91 million.
• EuroDry (NASDAQ:EDRY) is estimated to report quarterly earnings at $0.27 per share on revenue of $7.25 million.
• Children's Place (NASDAQ:PLCE) is likely to report quarterly earnings at $0.02 per share on revenue of $354.78 million.
• CSW Industrials (NASDAQ:CSWI) ...Full story available on Benzinga.com",2021-05-20 08:08:03+00:00,https://www.benzinga.com/news/earnings/21/05/21210728/earnings-scheduled-for-may-20-2021,Benzinga,0.07916666666666668,0.5361111111111111,neutral,0.07916666666666668,True,False,False,False,False,False,False,False,0.0,1452,"['BWAY', 'ATA', 'CMG', 'IGIC', 'SVM', 'FLO', 'METX', 'AINV', 'HRL', 'MAXN', 'AMAT', 'KSS', 'LSPD', 'CSIQ', 'TGI', 'KUKE', 'DECK', 'CD', 'PANW', 'OLK', 'ELTK', 'CSWI', 'VALN', 'GLNG', 'QIWI', 'HWKN', 'WMS', 'MNRO', 'XNET', 'PLCE', 'GOGL', 'PLUS', 'NNDM', 'ROST', 'REDU', 'WOOF', 'EDRY', 'BJ', 'GENI', 'BRC']",CSIQ,2021-05-20
