date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-05-11,-0.4167,,1,0.4167,0.0,0,0,0,0,0,0,0,0,130.0,DXCM
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,164.0,DXCM
2021-04-26,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,133.0,DXCM
2021-04-27,0.0231,0.0991,3,0.0647,0.0,0,0,0,0,0,0,0,0,165.0,DXCM
2021-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,DXCM
2021-04-30,0.0989,0.1103,5,0.0989,0.0,3,2,0,0,0,2,0,0,688.0,DXCM
2021-05-03,0.0369,,1,0.0369,0.0,0,1,0,0,0,1,0,0,2367.0,DXCM
2021-05-13,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,98.0,DXCM
2021-05-20,0.3929,,1,0.3929,0.0,0,1,0,0,0,0,0,0,135.0,DXCM
2021-05-24,0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,78.0,DXCM
2021-05-27,0.75,,1,0.75,0.0,0,0,0,0,0,0,0,0,117.0,DXCM
2021-05-28,0.0344,,1,0.0344,0.0,0,1,0,0,0,0,0,0,2778.0,DXCM
2021-06-03,0.1172,,1,0.1172,0.0,0,0,0,0,0,0,0,0,581.0,DXCM
2021-06-10,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,109.0,DXCM
2021-06-13,0.5833,0.5893,2,0.5833,0.0,0,0,1,0,0,0,0,0,161.0,DXCM
2021-06-15,0.2167,,1,0.2167,0.0,0,1,0,0,0,0,0,0,148.0,DXCM
2021-06-25,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,202.0,DXCM
2021-07-06,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,137.0,DXCM
2021-07-13,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,142.0,DXCM
2021-07-18,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,113.0,DXCM
2021-07-19,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,207.0,DXCM
2021-07-22,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,256.0,DXCM
2021-07-23,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,165.0,DXCM
2021-07-25,0.1089,,1,0.1089,0.0,1,0,1,0,0,0,0,0,2891.0,DXCM
2021-07-29,0.0923,0.1205,3,0.0923,0.0,1,0,2,0,1,0,1,0,1572.3333,DXCM
2021-07-30,0.1765,0.1638,5,0.1765,0.0,2,1,2,0,2,0,0,0,833.0,DXCM
2021-08-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,211.0,DXCM
2021-08-02,-0.2375,,1,0.2375,0.0,1,0,0,0,0,0,0,0,231.0,DXCM
2021-08-03,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,123.0,DXCM
2021-08-05,0.0741,,1,0.0741,0.0,0,1,1,0,1,0,1,0,4037.0,DXCM
2021-08-10,0.4964,0.4293,2,0.4964,0.0,0,1,0,0,0,0,0,0,164.0,DXCM
2021-08-16,0.0312,,1,0.0312,0.0,0,0,0,0,1,0,0,0,535.0,DXCM
2021-08-27,0.1289,0.1393,2,0.1289,0.0,0,1,0,0,0,0,0,0,982.5,DXCM
2021-08-31,-0.0312,,1,0.0312,0.0,0,0,0,0,0,0,0,0,237.0,DXCM
2021-09-01,0.0931,0.0138,2,0.0931,0.0,0,0,1,0,1,0,0,0,1299.5,DXCM
2021-09-02,0.0639,,1,0.0639,0.0,0,1,1,0,0,0,0,0,2772.0,DXCM
2021-09-03,0.0331,0.0468,2,0.0331,0.0,0,1,0,0,0,0,1,1,1018.5,DXCM
2021-09-05,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,141.0,DXCM
