date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-02-12,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,100.0,FAST
2021-04-23,0.0088,,1,0.0088,0.0,1,0,1,0,0,0,0,0,211.0,FAST
2021-04-29,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,237.0,FAST
2021-05-07,0.2124,0.1472,3,0.2124,0.0,2,0,0,0,0,0,1,0,187.6667,FAST
2021-05-10,0.3583,0.2003,2,0.3583,0.0,1,1,0,0,0,0,0,0,171.0,FAST
2021-05-12,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,135.0,FAST
2021-05-13,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,196.0,FAST
2021-05-22,0.4625,,1,0.4625,0.0,0,0,0,0,0,0,0,0,217.0,FAST
2021-05-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,187.0,FAST
2021-06-05,0.0,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,79.3333,FAST
2021-06-07,0.5167,,1,0.5167,0.0,1,0,0,0,0,0,0,0,594.0,FAST
2021-06-11,0.1042,,1,0.1042,0.0,0,0,0,0,0,0,0,0,159.0,FAST
2021-06-15,0.2083,0.2527,3,0.2083,0.0,0,1,0,0,0,0,0,0,3045.3333,FAST
2021-06-18,0.1667,0.2887,3,0.1667,0.0,0,0,0,0,0,0,0,0,89.0,FAST
2021-06-21,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,177.0,FAST
2021-06-22,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,126.0,FAST
2021-06-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,208.0,FAST
2021-06-28,0.5667,,1,0.5667,0.0,0,1,0,0,0,1,0,0,234.0,FAST
2021-06-30,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,156.0,FAST
2021-07-06,0.4667,,1,0.4667,0.0,0,0,0,0,1,0,0,0,252.0,FAST
2021-07-07,0.1615,0.0356,2,0.1615,0.0,0,0,0,0,0,0,0,0,125.5,FAST
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,214.0,FAST
2021-07-09,0.0542,0.0766,2,0.0542,0.0,2,0,0,0,0,0,0,0,104.0,FAST
2021-07-10,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,167.0,FAST
2021-07-11,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,FAST
2021-07-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,FAST
2021-07-13,0.2428,0.1045,2,0.2428,0.0,1,0,1,0,1,0,0,0,200.5,FAST
2021-07-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,208.0,FAST
2021-07-31,0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,236.0,FAST
2021-08-06,0.1167,0.165,2,0.1167,0.0,2,1,1,0,0,0,1,0,208.0,FAST
2021-08-12,-0.0304,0.1844,2,0.1304,0.0,1,0,0,0,0,0,0,0,193.5,FAST
2021-08-16,0.3958,,1,0.3958,0.0,0,0,0,0,0,1,0,0,163.0,FAST
2021-08-21,0.1873,,1,0.1873,0.0,0,0,0,0,0,0,0,0,214.0,FAST
2021-08-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,FAST
2021-09-02,0.1389,,1,0.1389,0.0,0,0,0,0,0,0,0,0,182.0,FAST
2021-09-03,0.1417,0.2003,2,0.1417,0.0,1,2,0,0,1,0,0,0,213.0,FAST
2021-09-08,0.3778,,1,0.3778,0.0,0,1,0,0,0,0,0,0,235.0,FAST
2021-09-09,0.0143,,1,0.0143,0.0,0,0,0,0,0,0,0,0,140.0,FAST
2021-09-16,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,201.0,FAST
2021-09-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,74.0,FAST
2021-10-02,0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,235.0,FAST
2021-10-07,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,264.0,FAST
2021-10-08,0.0854,0.0206,2,0.0854,0.0,2,0,0,0,0,0,0,0,161.5,FAST
2021-10-10,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,FAST
2021-10-11,0.0076,0.1071,4,0.0685,0.0,2,1,0,0,0,0,0,0,229.75,FAST
2021-10-12,0.101,0.0793,8,0.1147,0.025,7,2,1,0,3,1,0,0,635.0,FAST
2021-10-13,0.02,0.0283,2,0.02,0.0,0,0,0,0,1,0,0,0,152.0,FAST
2021-10-15,-0.0136,,1,0.0136,0.0,0,0,0,0,0,0,0,0,255.0,FAST
2021-10-16,0.08,,1,0.08,0.0,0,0,0,0,0,0,1,0,233.0,FAST
2021-10-17,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,207.0,FAST
2021-10-18,0.2946,,1,0.2946,0.0,1,0,0,0,0,0,0,0,131.0,FAST
2021-10-21,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,233.0,FAST
2021-10-28,0.1068,,1,0.1068,0.0,0,0,0,0,1,0,0,0,283.0,FAST
2021-10-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,178.0,FAST
2021-10-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,291.0,FAST
2021-11-05,0.0,,1,0.0,0.0,1,1,0,0,0,0,1,0,210.0,FAST
2021-11-06,0.03,,1,0.03,0.0,0,0,0,0,0,0,0,0,244.0,FAST
2021-11-11,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,186.0,FAST
2021-11-15,0.0074,,1,0.0074,0.0,1,0,0,0,0,0,0,0,224.0,FAST
2021-11-16,0.2167,0.3064,2,0.2167,0.0,2,0,0,0,0,0,0,0,223.0,FAST
