title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Still Making New Highs Despite Slower Pace,Stocks Still Making New Highs Despite Slower Pace,2021-02-12 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28301,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,False,False,0.0,100,"['HBI', 'CDE', 'OFC', 'ICLK', 'BDC', 'JKHY', 'FAST', 'UNH', 'AVID', 'AOSL', 'REKR', 'EXPI', 'CVA']",FAST,2021-02-12
"Construction Stock Q1 Earnings Due on Apr 26: PCH, LII, OTIS, SSD",The sector's Q1 results are likely to reflect a solid housing market. High labor/material costs and the COVID-19 pandemic might have been risks.,2021-04-23 14:22:00+00:00,http://www.zacks.com/stock/news/1441748/construction-stock-q1-earnings-due-on-apr-26-pch-lii-otis-ssd?cid=CS-ZC-FT-analyst_blog:_earnings_preview_-_esp|earnings_preview_-_esp-1441748,Zacks Investment Research,0.00875,0.50375,neutral,0.00875,True,False,True,False,False,False,False,False,0.0,211,"['FAST', 'LII', 'NVR', 'PCH', 'DHI', 'SSD', 'OTIS']",FAST,2021-04-23
5 Construction Stocks Displaying Earnings Beat Potential,"SUM, EXP, MLM, FND & ACM from the Zacks Construction sector are set to beat analysts' Q1 expectations on the back of solid residential, non-residential and infrastructural demand.",2021-04-29 14:36:00+00:00,http://www.zacks.com/stock/news/1473603/5-construction-stocks-displaying-earnings-beat-potential?cid=CS-ZC-FT-earnings_esp-1473603,Zacks Investment Research,0.0,0.3666666666666667,neutral,0.0,True,False,True,False,False,False,False,False,0.0,237,"['FAST', 'ACM', 'EXP', 'URI', 'MLM', 'LEN', 'SUM', 'FND']",FAST,2021-04-29
Beacon's (BECN) Q2 Earnings and Revenues Trump Estimates,"Beacon Roofing Supply (BECN) sees earnings improvement in FYQ2 on solid demand in the housing market & cost-control moves. Yet, soft demand in the nonresidential market somewhat hurts its performance.",2021-05-07 12:32:00+00:00,http://www.zacks.com/stock/news/1515380/beacons-becn-q2-earnings-and-revenues-trump-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1515380,Zacks Investment Research,0.05,0.22499999999999998,neutral,0.05,True,False,False,False,False,False,False,False,0.0,258,"['FAST', 'BECN', 'LL', 'BLDR']",FAST,2021-05-07
Builders FirstSource (BLDR) Up as Q1 Earnings Top Estimates,Builders FirstSource's (BLDR) first-quarter results reflect solid demand in residential housing markets and disciplined cost management.,2021-05-07 14:09:00+00:00,http://www.zacks.com/stock/news/1516273/builders-firstsource-bldr-up-as-q1-earnings-top-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1516273,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,True,False,0.0,197,"['FAST', 'BECN', 'LL', 'BLDR']",FAST,2021-05-07
LL or FAST: Which Is the Better Value Stock Right Now?,LL vs. FAST: Which Stock Is the Better Value Option?,2021-05-07 15:40:08+00:00,http://www.zacks.com/stock/news/1516418/ll-or-fast-which-is-the-better-value-stock-right-now?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_3-1516418,Zacks Investment Research,0.33714285714285713,0.5471428571428572,positive,0.33714285714285713,False,False,False,False,False,False,False,False,0.0,108,"['LL', 'FAST']",FAST,2021-05-07
"Tecnoglass (TGLS) Q1 Earnings & Revenues Beat, Guidance Up",Strong single-family residential revenues help Tecnoglass (TGLS) to post solid results for first-quarter 2021.,2021-05-10 14:27:00+00:00,http://www.zacks.com/stock/news/1530255/tecnoglass-tgls-q1-earnings-revenues-beat-guidance-up?cid=CS-ZC-FT-analyst_blog|earnings_article-1530255,Zacks Investment Research,0.21666666666666665,0.41666666666666663,positive,0.21666666666666665,True,False,False,False,False,False,False,False,0.0,170,"['FAST', 'BECN', 'LL', 'TGLS']",FAST,2021-05-10
"Builders FirstSource (BLDR) Buys John's Lumber, Boosts Presence",Builders FirstSource (BLDR) adds another top 50 MSA to its portfolio with the acquisition of John's Lumber.,2021-05-10 14:45:00+00:00,http://www.zacks.com/stock/news/1530336/builders-firstsource-bldr-buys-johns-lumber-boosts-presence?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1530336,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,172,"['FAST', 'BECN', 'LL', 'BLDR']",FAST,2021-05-10
"GMS to Acquire Westside, Enhance Presence in California",GMS is set to expand footprint in California with the acquisition of Westside.,2021-05-12 14:26:00+00:00,http://www.zacks.com/stock/news/1540823/gms-to-acquire-westside-enhance-presence-in-california?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1540823,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,135,"['FAST', 'BECN', 'LL', 'GMS']",FAST,2021-05-12
Fastenal (FAST) Up 3.9% Since Last Earnings Report: Can It Continue?,Fastenal (FAST) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2021-05-13 15:25:12+00:00,http://www.zacks.com/stock/news/1546306/fastenal-fast-up-39-since-last-earnings-report-can-it-continue?cid=CS-ZC-FT-realtime_blog-1546306,Zacks Investment Research,0.1,0.31666666666666665,neutral,0.1,True,False,False,False,False,False,False,False,0.0,196,['FAST'],FAST,2021-05-13
Retirement: The Near-Perfect Portfolio Revisited,"We introduced the concept of the Near Perfect Portfolio a year ago, last year. Since then, the market has made a remarkable comeback. It's probably time to revisit it.",2021-05-22 13:09:00+00:00,https://seekingalpha.com/article/4430456-retirement-the-near-perfect-portfolio-revisited?source=feed,Seeking Alpha,0.4625,0.5541666666666667,positive,0.4625,False,False,False,False,False,False,False,False,0.0,217,"['ADP', 'AMGN', 'BBN', 'CHI', 'CLX', 'CNI', 'DLR', 'DNP', 'EFV', 'EPD', 'FAST', 'HD', 'JNJ', 'JPC', 'KMB', 'MCD', 'MO', 'NEE', 'NLY', 'PCI', 'RQI', 'SHY', 'STK', 'TLT', 'TXN', 'USB', 'UTF', 'VIG', 'VYM', 'VZ']",FAST,2021-05-22
Builders FirstSource (BLDR) Expands Reach in Arizona With Alliance,Builders FirstSource (BLDR) adds another building materials supplier to its portfolio with the acquisition of Alliance.,2021-05-25 14:59:00+00:00,http://www.zacks.com/stock/news/1603850/builders-firstsource-bldr-expands-reach-in-arizona-with-alliance?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1603850,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,187,"['FAST', 'BECN', 'LL', 'BLDR']",FAST,2021-05-25
Stocks Rise for the Week as Jobs Report Threads the Needle,,2021-06-05 01:15:00+00:00,https://www.investing.com/analysis/stocks-rise-for-the-week-as-jobs-report-threads-the-needle-200584361,Investing.com,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,60,"['DLTR', 'MNRO', 'NSC', 'UNH', 'FAST', 'CMG', 'WY', 'PERI', 'CALX', 'DIOD', 'CLFD', 'SAVA']",FAST,2021-06-05
