date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,97.0,IQ
2021-04-24,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,91.0,IQ
2021-04-25,0.1339,,1,0.1339,0.0,1,1,0,0,0,0,0,0,246.0,IQ
2021-04-27,-0.125,,1,0.125,0.2,0,0,0,0,0,0,0,0,189.0,IQ
2021-05-06,0.0104,,1,0.0104,0.0,0,0,0,0,0,0,0,0,2500.0,IQ
2021-05-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,126.0,IQ
2021-05-10,-0.0053,,1,0.0053,0.0,0,0,0,0,0,0,0,0,2902.0,IQ
2021-05-11,0.0021,,1,0.0021,0.0,0,0,0,0,0,0,0,0,6048.0,IQ
2021-05-16,0.0307,0.1082,2,0.0765,0.0,0,0,0,0,0,0,0,0,186.5,IQ
2021-05-18,0.1194,0.2096,4,0.1194,0.0,4,0,1,1,0,0,0,0,845.25,IQ
2021-05-19,-0.0101,,1,0.0101,0.0,1,0,1,0,0,0,1,0,2400.0,IQ
2021-05-21,-0.0312,0.0442,2,0.0312,0.0,0,1,0,0,0,0,0,0,114.0,IQ
2021-06-02,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,550.0,IQ
2021-06-05,0.2667,,1,0.2667,0.0,0,1,0,0,0,0,0,0,306.0,IQ
2021-06-13,0.2402,,1,0.2402,0.0,0,1,0,0,0,0,0,0,111.0,IQ
2021-06-15,0.0571,,1,0.0571,0.0,0,0,0,0,0,0,0,0,211.0,IQ
2021-06-23,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,92.0,IQ
2021-06-30,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,0,0,147.0,IQ
2021-07-06,0.1505,,1,0.1505,0.0,0,0,0,0,0,0,0,0,260.0,IQ
2021-07-08,0.1736,,1,0.1736,0.0,0,0,0,0,0,0,0,0,433.0,IQ
2021-07-09,-0.0625,,1,0.0625,0.0,0,0,0,0,0,0,0,0,152.0,IQ
2021-07-24,-0.075,0.1061,2,0.075,0.0,0,0,0,0,0,0,0,0,196.0,IQ
