date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-22,0.1182,,1,0.1182,0.0,0,0,0,0,0,0,0,0,184.0,QCOM
2021-04-25,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,QCOM
2021-04-26,0.1333,0.0771,4,0.1333,0.0,2,1,1,0,0,0,0,0,519.0,QCOM
2021-04-27,0.1773,,1,0.1773,0.0,1,0,0,0,0,0,0,0,193.0,QCOM
2021-04-28,0.1058,0.1723,9,0.1058,0.0,5,1,2,0,0,0,0,0,1151.2222,QCOM
2021-04-29,0.2051,0.1476,11,0.2051,0.0,7,1,4,0,2,0,0,0,676.7273,QCOM
2021-04-30,0.1842,0.0395,2,0.1842,0.0,1,1,0,0,0,0,0,0,1693.5,QCOM
2021-05-02,0.0202,,1,0.0202,0.0,0,0,0,0,0,0,0,0,267.0,QCOM
2021-05-03,0.425,0.3889,2,0.425,0.0,0,0,0,0,0,0,0,0,189.0,QCOM
2021-05-04,0.3417,0.2239,2,0.3417,0.0,0,0,0,0,0,0,0,0,147.0,QCOM
2021-05-06,0.1875,0.4419,2,0.3125,0.0,0,0,0,0,0,0,1,0,142.0,QCOM
2021-05-07,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,223.0,QCOM
2021-05-08,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,248.0,QCOM
2021-05-10,-0.5,0.7071,2,0.5,0.0,0,0,1,0,0,0,0,0,176.5,QCOM
2021-05-11,0.1775,0.2157,2,0.1775,0.0,0,0,0,0,0,0,0,0,184.5,QCOM
2021-05-12,0.0955,0.0497,5,0.0955,0.08,0,1,0,0,2,0,0,0,369.8,QCOM
2021-05-13,0.0591,0.0129,2,0.0591,0.0,0,0,0,0,0,0,0,0,392.5,QCOM
2021-05-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,164.0,QCOM
2021-05-18,0.2593,0.1046,2,0.2593,0.0,0,1,0,0,0,0,0,0,834.5,QCOM
2021-05-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,133.0,QCOM
