title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Higher for Fifth Straight Day as Stocks Rally in Final Hour,NASDAQ Higher for Fifth Straight Day as Stocks Rally in Final Hour,2020-06-19 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25719,Zacks Investment Research,0.15,0.6333333333333333,positive,0.15,False,False,False,False,False,False,False,False,0.0,134,"['SPOT', 'TDOC', 'UNFI', 'ZS', 'ACMR', 'ESTC', 'CRUS', 'EVOP', 'CMC', 'SCHN', 'CVET', 'XOM', 'UNG', 'WEAT', 'FVRR', 'SPTN', 'DSPG', 'ALNY', 'AVXL', 'EDIT']",ZS,2020-06-19
NASDAQ Strikes Back with a New Closing High,NASDAQ Strikes Back with a New Closing High,2020-07-09 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25921,Zacks Investment Research,0.0987878787878788,0.3315151515151515,neutral,0.0987878787878788,False,False,False,False,False,False,False,False,0.0,88,"['LEN', 'TDOC', 'ZS', 'HTLD', 'LEVI', 'GTLS', 'AMZN', 'AAPL', 'NFLX', 'RCL', 'CCL']",ZS,2020-07-09
Stocks Jump More Than 1% on Revived Stimulus Hopes,Stocks Jump More Than 1% on Revived Stimulus Hopes,2020-10-08 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26906,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,102,"['WSO', 'EGAN', 'ZS', 'MODN', 'G', 'NTLA', 'QDEL', 'AAL', 'UAL', 'CCL', 'RCL', 'NFLX', 'AMZN', 'AAPL']",ZS,2020-10-08
Investing in These Stocks Now Could Make You a Millionaire Retiree,"These are fast growers, with very promising futures.",2021-04-28 09:31:00+00:00,https://www.fool.com/investing/2021/04/28/investing-in-these-stocks-now-could-make-you-a-mil/?source=iedfolrf0000001,The Motley Fool,0.23,0.625,positive,0.23,False,False,False,False,False,False,False,False,0.0,120,"['PANW', 'ZS', 'DDOG']",ZS,2021-04-28
What Sets Zscaler Apart From Its Competition?,It's one of many in the crowded cybersecurity space.,2021-04-30 11:51:00+00:00,https://www.fool.com/investing/2021/04/30/what-sets-zscaler-apart-from-its-competition/?source=iedfolrf0000001,The Motley Fool,0.5,0.5,positive,0.5,False,False,True,False,False,False,False,False,0.0,99,"['ZS', 'CRWD']",ZS,2021-04-30
The Anatomy Of My High-Growth Portfolio,I operate two main portfolios: my safe portfolio and my high growth portfolio. This article will dissect and focus on my high-growth holdings.,2021-05-03 11:32:39+00:00,https://seekingalpha.com/article/4423712-anatomy-of-high-growth-portfolio?source=feed,Seeking Alpha,0.27555555555555555,0.4577777777777777,positive,0.27555555555555555,False,False,True,False,False,False,False,False,0.0,183,"['ABCL', 'ADPT', 'AI', 'AMRC', 'AMZN', 'AONE', 'ARRY', 'ASTS', 'ASTSW', 'AYX', 'BABA', 'BEAM', 'BLI', 'CAPA', 'CAPAW', 'CHPT', 'CMII', 'CMIIU', 'CMIIW', 'COUP', 'CRSP', 'CRWD', 'CYBR', 'DDOG', 'DESP', 'DM', 'DT', 'EDIT', 'ENPH', 'ESTC', 'FB', 'FSLR', 'GNCA', 'GOOG', 'GOOGL', 'HASI', 'IIVI', 'IIVIP', 'KLR', 'LILA', 'LILAK', 'MELI', 'MP', 'MSFT', 'NFLX', 'NTLA', 'NVDA', 'OKTA', 'PACB', 'PATH', 'PLTR', 'PROF', 'QS', 'RLAY', 'ROCK', 'SAIL', 'SDGR', 'SEDG', 'SNOW', 'SPCE', 'SPFR', 'SPLK', 'SRAC', 'SRACU', 'TLS', 'TTD', 'TWST', 'U', 'Z', 'ZG', 'ZS']",ZS,2021-05-03
4 Best-Performing Stocks of the Best ETF of April,We have seen years' worth of digital transformation in months in the wake of the COVID-19 pandemic that has further increased the risk of security breaches and threats.,2021-05-03 15:18:00+00:00,http://www.zacks.com/stock/news/1493840/4-best-performing-stocks-of-the-best-etf-of-april?cid=CS-ZC-FT-etf_news_and_commentary-1493840,Zacks Investment Research,0.325,0.225,positive,0.325,False,False,True,False,False,False,False,False,0.0,219,"['OKTA', 'ZS', 'CRWD', 'NET', 'VCLO']",ZS,2021-05-03
3 Security Stocks to Watch Post Cyberattack on U.S Pipeline,Massive cyberattacks make companies providing cyber security solutions the frontrunners in this increasingly digital world.,2021-05-11 14:25:00+00:00,http://www.zacks.com/stock/news/1535885/3-security-stocks-to-watch-post-cyberattack-on-us-pipeline?cid=CS-ZC-FT-analyst_blog|investment_ideas-1535885,Zacks Investment Research,0.0,0.5,neutral,0.0,False,False,True,False,False,False,False,False,0.0,184,"['FTNT', 'QLYS', 'ZS']",ZS,2021-05-11
3 Cybersecurity Growth Stocks Down Big From Recent Highs,Here are a few reasons why you should keep an eye on them.,2021-05-11 16:15:00+00:00,https://www.fool.com/investing/2021/05/11/3-cybersecurity-growth-stocks-down-big-from-recent/?source=iedfolrf0000001,The Motley Fool,-0.0888888888888889,0.18472222222222223,neutral,0.0888888888888889,False,False,True,False,False,False,False,False,0.0,116,"['CRWD', 'OKTA', 'ZS']",ZS,2021-05-11
Should Tech Stock KnowBe4 Be on Your Watch List?,Today we explore this newly public company in the cybersecurity industry.,2021-05-11 19:13:00+00:00,https://www.fool.com/investing/2021/05/11/should-tech-stock-knowbe4-be-on-your-watch-list/?source=iedfolrf0000001,The Motley Fool,0.0,0.06666666666666667,neutral,0.0,False,False,True,False,False,False,False,False,0.0,123,"['KNBE', 'PANW', 'WIX', 'SHOP', 'ZS', 'ZM', 'CRWD']",ZS,2021-05-11
