title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Is a Surprise Coming for Albertsons (ACI) This Earnings Season?,Albertsons (ACI) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-04-23 12:46:00+00:00,http://www.zacks.com/stock/news/1441276/is-a-surprise-coming-for-albertsons-aci-this-earnings-season?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1441276,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,False,False,False,False,False,False,False,0.0,205,['ACI'],ACI,2021-04-23
"Stocks To Watch: Apple, Tesla And Microsoft Lead Huge Earnings Week",Welcome to Seeking Alpha's Stocks to Watch - a preview of key events scheduled for the next week,2021-04-24 13:34:19+00:00,https://seekingalpha.com/article/4421064-stocks-to-watch-apple-tesla-and-microsoft-lead-huge-earnings-week?source=feed,Seeking Alpha,0.30000000000000004,0.7,positive,0.30000000000000004,True,False,False,False,False,False,False,False,0.0,165,"['AAPL', 'ABBV', 'ACI', 'AMD', 'BA', 'BDSX', 'BP', 'CAG', 'CAT', 'CLGX', 'DKNG', 'EA', 'F', 'GD', 'GE', 'GIS', 'HPE', 'HUM', 'MRK', 'MRNA', 'MSFT', 'PEP', 'PFE', 'RBLX', 'ROOT', 'RPRX', 'SBUX', 'SEE', 'SJM', 'SONY', 'SQZ', 'SRE', 'TEAM', 'TSLA', 'TTI', 'ULCC', 'UPS', 'W', 'X', 'XOM']",ACI,2021-04-24
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-04-25 11:01:58+00:00,https://seekingalpha.com/article/4421118-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['TSLA', 'BA', 'AMD', 'ACI', 'NXPI', 'BP', 'UPS', 'GE', 'GOOG', 'SBUX', 'HUM', 'AAPL', 'F', 'QCOM', 'GD', 'CMCSA', 'MRK', 'CAT', 'NOC', 'AMZN', 'NIO', 'X', 'XOM', 'CVX', 'ABBV', 'MSFT', 'ROOT', 'MAX', 'GATO', 'BDSX', 'LESL', 'ALGM', 'LU', 'AVIR', 'SQZ', 'GLTO', 'ULCC', 'COUR', 'COMP', 'KARO', 'EM', 'MAS', 'JOE', 'TTI', 'AWK', 'FIX', 'AMP', 'IVZ', 'HPE', 'GOLD', 'EWBC', 'RPRX', 'SEE', 'AEP', 'SRE', 'PNM', 'AGR', 'CLGX', 'CTB', 'GT', 'FDS', 'IMAB', 'FB', 'TWTR', 'TEAM', 'W', 'PEP', 'DKNG', 'ATVI', 'EA', 'PLTK', 'NTES', 'RBLX', 'SONY', 'HSY', 'MDLZ', 'CAG', 'SJM', 'TWNK', 'KHC', 'GIS', 'K', 'CPB', 'PRGO', 'MRNA']",ACI,2021-04-25
"Earnings Scheduled For April 26, 2021","Companies Reporting Before The Bell
• Albertsons Companies (NYSE:ACI) is projected to report quarterly earnings at $0.51 per share on revenue of $15.63 billion.
• Ebix (NASDAQ:EBIX) is estimated to report quarterly earnings at $0.79 per share on revenue of $187.53 million.
• Lennox International (NYSE:LII) is expected to report quarterly earnings at $1.29 per share on revenue of $788.00 million.
• Alliance Resource (NASDAQ:ARLP) is expected to report quarterly earnings at $0.23 per share on revenue of $353.40 million.
• Brainstorm Cell (NASDAQ:BCLI) is estimated to report earnings for its first quarter.
• Dorman Products (NASDAQ:DORM) is likely to report quarterly earnings at $1.04 per share on revenue of $291.99 million.
• First BanCorp (NYSE:FBP) is projected to report quarterly earnings at $0.24 per share on revenue of $179.48 million.
• HBT Financial (NASDAQ:HBT) is expected to report earnings for its first quarter.
• Nam Tai Property (NYSE:NTP) is estimated to report earnings for its first quarter.
• Bank of Hawaii (NYSE:BOH) is estimated to report quarterly earnings at $1.15 per share on revenue of $164.69 million.
• Community Bank System (NYSE:CBU) is estimated to report quarterly earnings at $0.80 per share on revenue of $153.79 million.
• None (None:CMMC) is expected to report quarterly earnings at $0.14 per share on revenue of $104.14 million.
• Otis Worldwide (NYSE:OTIS) is likely to report quarterly earnings at $0.63 per share on revenue of $3.18 billion.
• Check Point Software (NASDAQ:CHKP) is expected to report quarterly earnings at $1.49 per share on revenue of $502.36 million.
• Canon (NYSE:CAJ) is estimated to report quarterly earnings at $0.27 per share on revenue of $7.79 billion.
• Koninklijke Philips (NYSE:PHG) is estimated to report earnings for its first quarter.
 
Companies Reporting After The Bell
• Gorman-Rupp (NYSE:GRC) is estimated to report earnings for its fourth quarter.
• Independent Bank Gr (NASDAQ:IBTX) is projected to report quarterly earnings at $1.34 per share on revenue of $152.24 million.
• Encore Wire (NASDAQ:WIRE) is projected to report quarterly earnings at $0.87 per share on revenue of $384.57 million.
• Brown & Brown (NYSE:BRO) is projected to report quarterly earnings at $0.58 per share on revenue of $755.81 million.
• NXP Semiconductors (NASDAQ:NXPI) is estimated to report quarterly earnings at $2.21 per share on revenue of $2.56 billion.
• Packaging Corp of America (NYSE:PKG) is projected to report quarterly earnings ...Full story available on Benzinga.com",2021-04-26 08:24:04+00:00,https://www.benzinga.com/news/earnings/21/04/20785386/earnings-scheduled-for-april-26-2021,Benzinga,0.06764705882352941,0.36421568627450984,neutral,0.06764705882352941,True,False,False,False,True,False,False,False,0.0,2586,"['ILPT', 'FBP', 'GRC', 'TSLA', 'HTLF', 'HBT', 'HLX', 'AGNC', 'NXPI', 'JJSF', 'OTIS', 'JBT', 'AMKR', 'BCLI', 'MASI', 'CVLG', 'KOF', 'ARLP', 'HMST', 'MKSI', 'LU', 'LII', 'CATY', 'FRBA', 'NBTB', 'PCH', 'CDNS', 'MEDS', 'SBAC', 'WIRE', 'PHG', 'CHKP', 'LXFR', 'ACI', 'PKG', 'DGICA', 'IBTX', 'AIN', 'RRC', 'DGICB', 'TNET', 'AMP', 'SSD', 'DHIL', 'NTP', 'ARE', 'SUI', 'DORM', 'AXTA', 'BOH', 'TBI', 'EBIX', 'OMF', 'BRO', 'UHS', 'EFSC', 'MEDP', 'CAJ', 'VALE', 'FLXS', 'FBK', 'CBU', 'WRI', 'HSII', 'KREF', 'CNI', 'SSNC', 'HSTM', 'RBB']",ACI,2021-04-26
"5 Stocks To Watch For April 26, 2021","Some of the stocks that may grab investor focus today are:

Wall Street expects  Lennox International Inc. (NYSE: LII) to report quarterly earnings at $1.29 per share on revenue of $788.00 million before the opening bell. Lennox shares fell 0.2% to close at $334.46 on Friday.
Analysts are expecting  Tesla Inc (NASDAQ: TSLA) to have earned $0.78 per share on revenue of $10.24 billion for the latest quarter. The company will release earnings after the markets close. Tesla ...Full story available on Benzinga.com",2021-04-26 09:24:49+00:00,https://www.benzinga.com/news/earnings/21/04/20786136/5-stocks-to-watch-for-april-26-2021,Benzinga,0.3,0.43333333333333335,positive,0.3,True,False,False,False,True,False,False,False,0.0,552,"['ACI', 'JNJ', 'LII', 'TSLA', 'NXPI']",ACI,2021-04-26
A Peek Into The Markets: US Stock Futures Mixed; Tesla Earnings In Focus,"Pre-open movers
U.S. stock futures traded mixed in early pre-market trade after the Dow Jones climbed more than 200 points in the previous session. Investors are awaiting earnings results from  Tesla Inc (NASDAQ: TSLA),  Lennox International Inc. (NYSE: LII),  NXP Semiconductors NV (NASDAQ: NXPI) and  Albertsons Companies Inc (NYSE: ACI).
Data on durable goods orders for March will be released at 8:30 a.m. ET, while the Dallas Fed manufacturing index for April is scheduled for release at 10:30 a.m. ET.
Futures for the Dow Jones Industrial Average gained 31 points to 33,972.00 while the Standard & Poor’s 500 index futures fell 0.75 points at 4,170.75. Futures for the Nasdaq 100 index fell 19.50 points to 13,907.50.
The U.S. has the highest number of COVID-19 cases and deaths in the world, with total infections in the country exceeding 32,077,290 with around 572,200 deaths. India reported a total ...Full story available on Benzinga.com",2021-04-26 10:08:37+00:00,https://www.benzinga.com/news/earnings/21/04/20786593/a-peek-into-the-markets-us-stock-futures-mixed-tesla-earnings-in-focus,Benzinga,0.02361111111111111,0.36388888888888893,neutral,0.02361111111111111,True,False,False,False,True,False,False,False,0.0,1021,"['AAPL', 'ACI', 'AZN', 'JNJ', 'LII', 'TSLA', 'NXPI', 'ETSY', 'OCGN']",ACI,2021-04-26
38 Stocks Moving In Monday's Mid-Day Session,"Gainers

Reviva Pharmaceuticals Holdings, Inc. (NASDAQ: RVPH) surged 46.9% to $6.25 after the company announced the full details of its Phase 2 trial evaluating its lead drug candidate, RP5063 (brilaroxazine), for Acute Schizophrenia. Brilaroxazine demonstrated high affinity and selectivity for key serotonin receptors (5-HT1A/2A/2B/7) through its combination of potent affinity and selectivity for target receptors implicated for schizophrenia and its comorbid symptoms.
Proofpoint, Inc.  (NASDAQ: PFPT) shares climbed 31.5% to $173.22. Private equity investment firm Thoma Bravo Advantage inked an agreement to acquire cybersecurity and compliance company Proofpoint in an all-cash transaction valuing Proofpoint at $12.3 billion.
MicroVision, Inc. (NASDAQ: MVIS) jumped 30% to $23.35 on continued momentum from Friday after investors showed interest in the stock on the r/wallstreetbets group on Reddit. Microvision closed over 36% higher on Friday.
Casper Sleep Inc. (NYSE: CSPR) shares gained 25.2% to $8.81 after Wedbush upgraded the stock from Neutral to Outperform and raised its price target from $10 to $10.50per share.
Jiayin Group Inc. (NASDAQ: JFIN) surged 24.7% to $7.16.
Ocugen, Inc. (NASDAQ: OCGN) shares rose 23.3% to $11.88. Ocugen’s COVID-19 vaccine partner, India-based Bharat Biotech International Ltd., will charge as much as double its main rival AstraZeneca for its vaccines in India.
Aeterna Zentaris Inc.  (NASDAQ: AEZS) rose 18.1% to $1.1050.
Intrusion Inc. (NASDAQ: INTZ) surged 15.1% to $17.87.
Puxin Limited (NYSE: NEW) gained 15% to $4.3806.
Intellicheck, Inc. (NYSE: IDN) shares rose 14.8% to $9.70.
Treace Medical Concepts, Inc. (NASDAQ: TMCI) gained 13.7% to $29.03. Treace Medical Concepts shares gained 50% on Friday after the company priced its IPO at $17 per share.
PHX Minerals Inc. (NYSE: PHX) rose 13.5% to $2.5999.
Voyager Therapeutics, Inc. (NASDAQ: Full story available on Benzinga.com",2021-04-26 16:09:58+00:00,https://www.benzinga.com/news/21/04/20795518/38-stocks-moving-in-mondays-mid-day-session,Benzinga,0.19746094485224921,0.48024938829286656,positive,0.19746094485224921,False,True,True,False,False,False,False,False,0.0,1976,"['INTZ', 'CCIV', 'BGI', 'MDXG', 'SEAH', 'IDN', 'CASI', 'LAZR', 'ITI', 'AEZS', 'QURE', 'ARLP', 'AGE', 'VYNT', 'MVIS', 'MICT', 'TMCI', 'SYPR', 'NAKD', 'ACI', 'AXSM', 'GRA', 'VYGR', 'PHG', 'FTFT', 'PHX', 'ZKIN', 'ACRX', 'UXIN', 'SJ', 'JFIN', 'FSM', 'BWAY', 'NEW', 'OCGN', 'PFPT', 'CSPR']",ACI,2021-04-26
Mid-Day Market Update: Proofpoint Jumps Following Acquisition News; Fortuna Silver Mines Shares Slide,"Midway through trading Monday, the Dow traded up 0.14% to 34,092.01 while the NASDAQ rose 0.59% to 14,099.52. The S&P also rose, gaining 0.31% to 4,193.06.
The U.S. has the highest number of coronavirus cases and deaths in the world, reporting a total of 32,077,470 cases with around 572,200 deaths. India confirmed a total of at least 17,313,160 cases and 195,120 deaths, while Brazil reported over 14,340,780 COVID-19 cases with 390,790 deaths. In total, there were at least 147,238,540 cases of COVID-19 worldwide with more than 3,110,510 deaths, according to data compiled by Johns Hopkins University.

Leading and Lagging Sectors

Financial shares climbed by 1.1% on Monday. Meanwhile, top gainers in the sector included  Jiayin Group Inc. (NASDAQ: JFIN), up 27%, and  Flagstar Bancorp, Inc. (NYSE: FBC), up 8%.

In trading on Monday, consumer staples shares fell 0.9%.

Top Headline
Lennox International Inc.  (NYSE: LII) reported  stronger-than-expected  results for its first quarter.
Lennox reported quarterly earnings of $2.27 per share, beating analysts’ estimates of $1.31 per share. The company’s quarterly sales came in at ...Full story available on Benzinga.com",2021-04-26 16:19:04+00:00,https://www.benzinga.com/news/earnings/21/04/20795776/mid-day-market-update-proofpoint-jumps-following-acquisition-news-fortuna-silver-mines-shares-slide,Benzinga,0.196875,0.5177083333333333,positive,0.196875,True,True,True,False,False,False,False,False,0.0,1279,"['ARLP', 'ACI', 'FBC', 'LII', 'FSM', 'PFPT', 'JFIN', 'OCGN']",ACI,2021-04-26
"Albertsons Companies, Inc. (ACI) Q4 2020 Earnings Call Transcript","ACI earnings call for the period ending March 31, 2021.",2021-04-26 16:30:38+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/26/albertsons-companies-inc-aci-q4-2020-earnings-call/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,122,['ACI'],ACI,2021-04-26
Mid-Afternoon Market Update: Nasdaq Surges Over 100 Points; Reviva Pharmaceuticals Shares Spike Higher,"Toward the end of trading Monday, the Dow traded down 0.08% to 34,015.96 while the NASDAQ rose 0.83% to 14,133.38. The S&P also rose, gaining 0.24% to 4,190.04.
The U.S. has the highest number of coronavirus cases and deaths in the world, reporting a total of 32,077,470 cases with around 572,200 deaths. India confirmed a total of at least 17,313,160 cases and 195,120 deaths, while Brazil reported over 14,340,780 COVID-19 cases with 390,790 deaths. In total, there were at least 147,238,540 cases of COVID-19 worldwide with more than 3,110,510 deaths, according to data compiled by Johns Hopkins University.

Leading and Lagging Sectors

Energy shares climbed by 0.9% on Monday. Meanwhile, top gainers in the sector included  Tellurian Inc. (NASDAQ: TELL), up 15%, and  Torchlight Energy Resources, Inc. (NASDAQ: TRCH), up 9%.

In trading on Monday, consumer staples shares fell 1.1%.

Top Headline
Lennox International Inc.  (NYSE: LII) reported  stronger-than-expected  results for its first quarter.
Lennox reported quarterly earnings of $2.27 per share, beating analysts’ estimates of $1.31 per share. The company’s ...Full story available on Benzinga.com",2021-04-26 18:30:13+00:00,https://www.benzinga.com/news/earnings/21/04/20798112/mid-afternoon-market-update-nasdaq-surges-over-100-points-reviva-pharmaceuticals-shares-spike-highe,Benzinga,0.20277777777777775,0.5607638888888891,positive,0.20277777777777775,True,False,True,False,False,False,False,False,0.0,1266,"['ARLP', 'ACI', 'LII', 'FSM', 'PFPT', 'TRCH', 'TELL', 'OCGN']",ACI,2021-04-26
