date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-06-27,0.0,,1,0.0,0.2,0,0,0,0,0,0,1,0,97.0,ACN
2021-04-28,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,ACN
2021-05-07,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,186.0,ACN
2021-05-12,0.2583,0.0589,2,0.2583,0.0,0,1,1,0,0,0,0,0,248.5,ACN
2021-05-14,0.0527,0.0745,2,0.0527,0.0,0,1,0,0,0,0,0,0,212.0,ACN
2021-05-20,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,200.0,ACN
2021-05-21,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,161.0,ACN
2021-05-25,0.1111,0.3469,3,0.2222,0.0,0,1,0,1,1,0,0,0,168.0,ACN
2021-05-27,0.04,0.0566,2,0.04,0.0,0,0,2,0,1,1,0,0,223.5,ACN
2021-05-31,0.2792,0.0884,2,0.2792,0.0,1,1,0,0,0,0,0,0,185.0,ACN
2021-06-02,-0.05,0.05,3,0.05,0.0,0,3,1,0,0,0,0,0,151.0,ACN
2021-06-03,-0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,245.0,ACN
2021-06-04,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,1,0,222.0,ACN
2021-06-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,225.0,ACN
2021-06-11,-0.0169,0.1476,2,0.1044,0.0,1,0,2,0,0,0,0,0,197.0,ACN
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,ACN
2021-06-15,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,236.0,ACN
2021-06-16,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,120.0,ACN
2021-06-17,0.0286,0.0404,2,0.0286,0.0,1,0,0,0,0,0,0,0,218.5,ACN
2021-06-18,0.3048,0.1692,3,0.3048,0.0,2,0,0,0,0,0,0,0,207.3333,ACN
2021-06-19,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,140.0,ACN
2021-06-20,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,ACN
2021-06-21,0.0253,0.0282,5,0.0253,0.0,0,2,1,0,0,0,0,0,1004.4,ACN
2021-06-22,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,171.0,ACN
2021-06-23,0.268,0.3474,2,0.268,0.0,1,1,1,0,0,0,0,0,2018.0,ACN
2021-06-24,0.2274,0.2201,6,0.2274,0.0,5,0,0,0,1,0,0,0,389.6667,ACN
2021-06-25,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,163.0,ACN
2021-06-26,0.2167,,1,0.2167,0.0,0,1,0,0,0,0,0,0,115.0,ACN
2021-06-28,0.0938,,1,0.0938,0.0,1,0,0,0,0,0,0,0,181.0,ACN
2021-06-29,-0.0188,0.1951,4,0.1188,0.0,2,3,1,0,0,0,0,0,171.0,ACN
2021-06-30,0.525,,1,0.525,0.0,0,0,1,0,0,0,0,0,176.0,ACN
2021-07-01,0.3014,0.1947,3,0.3014,0.0,1,1,0,0,0,0,0,0,189.3333,ACN
2021-07-02,0.3167,0.1414,2,0.3167,0.0,0,1,0,0,0,0,0,0,157.0,ACN
2021-07-05,-0.075,,1,0.075,0.0,0,1,0,0,0,0,0,0,191.0,ACN
2021-07-06,0.0278,0.3246,4,0.2278,0.0,0,0,0,0,0,1,2,0,229.5,ACN
2021-07-07,0.3371,0.1683,4,0.3371,0.0,0,1,0,0,0,0,0,0,196.5,ACN
