date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.1761,0.0723,2,0.1761,0.0,2,0,0,0,0,0,0,0,204.0,ADM
2021-04-26,-0.0004,0.1373,3,0.0915,0.0,3,1,0,0,0,0,0,0,214.0,ADM
2021-04-27,0.0842,0.183,4,0.095,0.0,4,0,0,0,1,0,0,0,228.0,ADM
2021-04-28,0.0302,0.0427,2,0.0302,0.0,0,0,0,0,0,1,0,0,421.5,ADM
2021-04-30,0.1588,,1,0.1588,0.0,1,1,0,0,0,0,0,0,192.0,ADM
2021-05-04,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,192.0,ADM
2021-05-05,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,222.0,ADM
2021-05-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,246.0,ADM
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,ADM
2021-05-11,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,247.0,ADM
2021-05-13,0.1944,,1,0.1944,0.0,0,0,0,0,0,0,0,0,206.0,ADM
2021-05-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,268.0,ADM
2021-05-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,120.0,ADM
2021-05-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,212.0,ADM
2021-05-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,174.0,ADM
2021-06-07,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,192.0,ADM
2021-06-09,0.2611,,1,0.2611,0.0,1,0,0,0,0,0,0,0,254.0,ADM
2021-06-10,0.0535,,1,0.0535,0.0,0,0,0,0,0,0,0,0,250.0,ADM
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,ADM
2021-06-14,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,232.0,ADM
2021-06-15,0.25,0.3536,2,0.25,0.0,0,0,0,0,0,0,0,0,219.5,ADM
2021-06-16,0.5667,,1,0.5667,0.0,0,0,0,0,0,0,0,0,255.0,ADM
2021-06-17,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,237.0,ADM
2021-06-21,0.3904,0.3593,2,0.3904,0.0,0,0,0,0,0,0,0,0,232.0,ADM
2021-06-29,0.2167,0.2021,3,0.2167,0.0,0,0,0,0,0,0,0,0,192.6667,ADM
2021-06-30,-0.0087,0.14,3,0.1024,0.0,2,0,0,0,0,0,0,0,275.0,ADM
2021-07-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,168.0,ADM
2021-07-05,0.2958,0.2416,2,0.2958,0.0,1,0,0,0,1,0,0,0,206.0,ADM
