date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-05,0.0303,,1,0.0303,0.0,1,0,1,0,1,0,0,0,13244.0,ADT
2021-05-06,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,168.5,ADT
2021-06-28,0.2127,,1,0.2127,0.0,1,1,1,1,1,0,0,0,749.0,ADT
2021-07-16,-0.125,,1,0.125,0.0,0,0,1,0,0,1,0,0,206.0,ADT
2021-07-22,0.1071,,1,0.1071,0.0,0,0,0,0,0,0,0,0,103.0,ADT
2021-07-29,0.0439,0.0873,2,0.0618,0.0,0,0,2,0,1,0,1,0,532.5,ADT
2021-08-04,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,194.0,ADT
2021-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,102.0,ADT
2021-08-17,0.1309,,1,0.1309,0.0,0,1,1,0,0,0,0,0,1596.0,ADT
2021-09-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,219.0,ADT
2021-09-16,0.0161,,1,0.0161,0.0,0,0,1,0,0,0,0,0,494.0,ADT
2021-09-29,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,198.0,ADT
2021-09-30,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,209.0,ADT
2021-10-29,-0.0208,,1,0.0208,0.0,0,0,0,0,1,0,1,0,429.0,ADT
2021-11-09,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,93.5,ADT
2021-11-15,0.0161,,1,0.0161,0.0,0,0,1,0,0,0,0,0,553.0,ADT
2021-12-09,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,164.0,ADT
2021-12-13,0.15,,1,0.15,0.0,0,1,0,0,0,0,0,0,244.0,ADT
2022-01-18,0.2496,0.1773,2,0.2496,0.0,0,0,1,1,1,0,0,0,273.5,ADT
2022-02-04,0.06,,1,0.06,0.0,1,0,0,0,1,0,0,0,408.0,ADT
2022-02-18,-0.1,,1,0.1,0.0,1,0,0,1,0,0,0,0,205.0,ADT
2022-02-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,ADT
2022-02-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,212.0,ADT
2022-03-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,ADT
2022-03-25,0.0986,,1,0.0986,0.0,0,0,1,1,0,0,0,0,779.0,ADT
2022-04-07,0.5073,,1,0.5073,0.0,0,0,1,0,0,0,0,0,281.0,ADT
2022-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,ADT
2022-04-28,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,231.0,ADT
2022-05-03,0.0734,0.0464,2,0.0734,0.0,0,0,1,0,0,0,0,0,240.0,ADT
2022-05-05,0.0625,0.0884,2,0.0625,0.0,2,0,0,0,0,0,0,0,241.5,ADT
2022-06-02,0.0964,,1,0.0964,0.0,0,0,0,0,0,0,0,0,218.0,ADT
2022-06-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,256.0,ADT
2022-06-16,0.1548,,1,0.1548,0.0,0,0,1,0,0,0,1,0,385.0,ADT
2022-07-13,0.3182,,1,0.3182,0.0,0,0,0,0,0,0,0,0,147.0,ADT
2022-07-21,0.0,,1,0.0,0.0,0,0,1,0,1,0,1,0,402.0,ADT
2022-08-04,0.04,0.0566,2,0.04,0.0,2,0,1,0,0,0,0,0,221.5,ADT
2022-08-12,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,190.0,ADT
2022-08-30,0.4333,0.0943,2,0.4333,0.0,0,0,1,0,0,0,0,0,217.0,ADT
2022-09-02,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,308.0,ADT
2022-09-06,0.0203,0.0823,3,0.0536,0.0,1,1,2,0,0,0,0,0,857.6667,ADT
2022-09-07,0.0919,0.0847,3,0.0919,0.0,1,2,3,0,0,0,0,0,1520.6667,ADT
2022-09-08,0.0,,1,0.0,0.0,0,1,0,0,0,0,1,0,423.0,ADT
2022-09-09,0.0625,,1,0.0625,0.0,0,0,1,0,0,0,0,0,125.0,ADT
2022-09-12,0.1364,,1,0.1364,0.0,0,0,1,0,1,0,0,0,159.0,ADT
2022-09-13,-0.0125,,1,0.0125,0.0,0,0,1,0,1,0,0,0,164.0,ADT
2022-10-04,0.1753,,1,0.1753,0.0,0,0,1,0,0,0,0,0,167.0,ADT
2022-10-10,0.2182,,1,0.2182,0.0,0,0,1,0,0,0,0,0,248.0,ADT
2022-10-13,0.2143,,1,0.2143,0.0,0,0,1,1,0,0,0,0,255.0,ADT
2022-10-20,0.0569,0.0805,2,0.0569,0.0,0,0,1,0,2,0,1,0,292.5,ADT
2022-10-21,-0.1576,,1,0.1576,0.0,0,0,0,0,0,0,0,0,607.0,ADT
2022-10-26,-0.1051,,1,0.1051,0.0,0,0,0,0,0,0,0,0,595.0,ADT
2022-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,128.0,ADT
2022-11-14,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,281.0,ADT
2022-11-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,148.0,ADT
2022-12-02,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,306.0,ADT
2022-12-16,-0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,558.0,ADT
2022-12-22,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,153.0,ADT
2022-12-28,0.2111,0.0,2,0.2111,0.0,0,2,0,0,0,0,0,0,144.5,ADT
2022-12-29,0.2,0.2828,2,0.2,0.0,1,0,0,0,0,0,0,0,120.0,ADT
2022-12-30,-0.0125,,1,0.0125,0.0,0,0,1,0,1,0,0,0,199.0,ADT
2023-01-03,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,263.0,ADT
2023-01-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,215.0,ADT
2023-01-09,0.2682,,1,0.2682,0.0,0,0,0,0,1,0,0,0,384.0,ADT
2023-01-11,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,159.0,ADT
2023-01-16,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,163.0,ADT
2023-01-17,0.4,,1,0.4,0.0,1,1,0,0,0,0,0,0,239.0,ADT
2023-01-20,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,157.0,ADT
2023-01-25,0.0217,,1,0.0217,0.0,0,0,0,0,0,0,0,0,152.0,ADT
