date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-09-26,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,226.0,AGM
2021-12-15,0.3111,,1,0.3111,0.0,0,0,0,0,0,1,0,0,109.0,AGM
2021-12-26,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,AGM
2022-02-14,0.3111,,1,0.3111,0.0,0,0,0,0,0,1,0,0,109.0,AGM
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,AGM
2022-03-27,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,AGM
2022-04-02,-0.0792,,1,0.0792,0.0,0,0,0,0,0,1,0,0,202.0,AGM
2022-09-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,238.0,AGM
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,AGM
2022-12-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,224.0,AGM
2023-01-23,-0.0152,,1,0.0152,0.0,0,1,1,0,0,0,0,0,7219.0,AGM
2023-03-14,0.2222,,1,0.2222,0.0,0,0,0,0,0,1,0,0,305.0,AGM
2023-03-20,0.2222,,1,0.2222,0.0,0,0,0,0,0,1,0,0,305.0,AGM
2023-03-27,0.0833,,1,0.0833,0.0,0,0,0,0,0,1,0,0,319.0,AGM
2023-03-28,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,144.0,AGM
2023-03-29,-0.0269,,1,0.0269,0.0,0,1,1,0,0,0,0,0,6629.0,AGM
2023-04-20,0.34,,1,0.34,0.0,0,0,0,0,0,0,0,0,313.0,AGM
2023-04-21,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,280.0,AGM
2023-04-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,240.0,AGM
2023-04-25,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,222.0,AGM
2023-05-05,0.2222,,1,0.2222,0.0,0,0,0,0,0,1,0,0,305.0,AGM
2023-05-11,-0.0486,,1,0.0486,0.0,0,0,0,0,0,1,0,0,298.0,AGM
2023-05-12,-0.025,0.1768,2,0.125,0.0,1,1,1,0,0,0,0,0,213.0,AGM
