date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-02,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,160.0,AG
2021-05-12,0.22,,1,0.22,0.0,1,0,0,0,0,0,0,0,183.0,AG
2021-05-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,33.0,AG
2021-06-10,0.375,,1,0.375,0.0,0,1,0,0,0,0,0,0,156.0,AG
2021-06-20,0.2,,1,0.2,0.0,1,0,0,0,1,0,0,0,252.0,AG
2021-06-23,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,140.0,AG
2021-07-01,-0.4,,1,0.4,0.0,1,1,0,0,0,0,0,0,112.0,AG
2021-07-05,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,243.0,AG
2021-07-14,0.1875,0.0884,2,0.1875,0.0,1,0,0,0,1,0,0,0,176.0,AG
2021-07-15,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,140.0,AG
2021-08-09,0.5167,,1,0.5167,0.0,0,1,0,0,1,0,0,0,197.0,AG
2021-08-17,0.32,,1,0.32,0.0,1,0,0,0,1,0,0,0,215.0,AG
2021-08-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,73.0,AG
2021-08-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,113.0,AG
2021-10-13,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,222.0,AG
2021-11-08,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,74.0,AG
2021-11-23,0.3417,,1,0.3417,0.0,0,0,0,0,0,0,0,0,289.0,AG
2021-12-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,263.0,AG
2021-12-14,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,204.0,AG
2021-12-30,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,105.0,AG
2022-01-19,0.0208,0.2062,2,0.1458,0.0,0,0,0,0,0,0,0,0,140.5,AG
2022-01-26,0.0375,0.2298,2,0.1625,0.0,0,0,0,0,1,0,0,0,204.5,AG
