date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-04,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,194.0,AHH
2021-05-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,180.0,AHH
2021-05-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,AHH
2021-06-05,0.1417,,1,0.1417,0.0,0,0,1,0,0,0,0,0,211.0,AHH
2021-06-12,-0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,222.0,AHH
2021-06-19,-1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,170.0,AHH
2021-06-26,-0.1125,,1,0.1125,0.0,0,0,0,0,0,1,0,0,211.0,AHH
2021-07-09,-0.0833,,1,0.0833,0.0,0,0,1,0,0,0,0,0,173.0,AHH
2021-07-15,0.3121,,1,0.3121,0.0,0,1,0,0,0,0,0,0,190.0,AHH
2021-08-03,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,193.5,AHH
2021-08-18,0.0444,,1,0.0444,0.0,0,1,0,0,0,0,0,0,153.0,AHH
2021-08-20,0.0181,0.0216,2,0.0181,0.0,1,2,0,0,0,0,0,0,218.5,AHH
2021-08-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,519.0,AHH
2021-08-27,0.2458,,1,0.2458,0.0,1,0,0,0,0,0,0,0,210.0,AHH
2021-09-02,-0.1,,1,0.1,0.0,0,0,0,0,0,1,1,0,394.0,AHH
2021-09-09,0.0444,,1,0.0444,0.0,0,1,0,0,0,0,0,0,157.0,AHH
2021-09-21,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,0,159.0,AHH
2021-09-25,0.3288,,1,0.3288,0.0,0,0,0,0,0,0,0,0,160.0,AHH
2021-09-30,-0.105,,1,0.105,0.0,1,0,0,0,0,0,1,0,449.0,AHH
2021-10-08,0.0444,0.0,2,0.0444,0.0,0,2,0,0,0,0,0,0,154.5,AHH
2021-10-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,196.0,AHH
2021-10-12,0.0756,0.044,2,0.0756,0.0,0,1,0,0,0,0,0,0,186.5,AHH
2021-10-25,-0.15,,1,0.15,0.0,0,0,0,0,0,1,0,0,254.0,AHH
2021-10-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,481.0,AHH
2021-11-02,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,183.0,AHH
2021-11-06,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,197.0,AHH
2021-11-18,-0.0365,,1,0.0365,0.0,1,1,0,0,0,0,0,0,696.0,AHH
2021-12-07,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,315.0,AHH
