date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,-0.0125,,1,0.0125,0.0,1,0,0,0,0,0,0,0,196.0,AIT
2021-04-26,0.224,,1,0.224,0.0,0,0,0,0,0,0,0,0,252.0,AIT
2021-04-27,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,199.0,AIT
2021-04-28,0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,253.0,AIT
2021-04-29,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,243.3333,AIT
2021-04-30,0.0833,0.1443,3,0.0833,0.0,3,0,0,0,0,0,0,0,189.3333,AIT
2021-05-03,0.5,0.0,2,0.5,0.0,2,0,0,0,0,1,0,0,241.0,AIT
2021-05-04,0.1667,0.2887,3,0.1667,0.0,3,0,0,0,1,0,0,0,224.3333,AIT
2021-05-05,0.5,0.0,2,0.5,0.0,1,0,1,0,0,0,0,0,239.0,AIT
2021-05-06,0.0822,0.1453,3,0.0844,0.0,3,0,1,0,0,0,0,0,208.0,AIT
2021-05-07,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,255.0,AIT
2021-05-10,0.4482,0.4799,3,0.4482,0.0,1,2,0,0,0,1,1,0,9106.0,AIT
2021-05-13,0.4333,,1,0.4333,0.0,0,0,0,0,0,1,0,0,178.0,AIT
2021-05-14,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,206.0,AIT
2021-05-17,-0.025,,1,0.025,0.0,0,1,0,0,1,0,0,0,242.0,AIT
2021-05-18,0.2646,0.1444,2,0.2646,0.0,0,1,0,0,1,0,0,0,246.0,AIT
2021-05-20,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,209.0,AIT
2021-05-24,-0.3,0.4243,2,0.3,0.0,1,1,0,0,0,0,0,0,239.5,AIT
2021-05-25,0.08,0.1131,2,0.08,0.0,0,0,0,0,1,0,0,0,249.0,AIT
2021-05-28,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,202.0,AIT
2021-06-02,-0.1,,1,0.1,0.0,1,1,1,0,0,0,0,0,261.0,AIT
2021-06-04,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,236.0,AIT
2021-06-14,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,257.0,AIT
2021-06-15,0.0,0.0,2,0.0,0.0,0,2,0,0,0,0,0,0,240.0,AIT
2021-06-17,0.0495,0.0818,2,0.0578,0.0,0,1,1,0,2,0,0,0,259.5,AIT
2021-06-22,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,236.0,AIT
2021-06-24,0.2174,0.0954,2,0.2174,0.0,0,1,0,0,1,0,0,0,157.0,AIT
2021-06-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,226.0,AIT
2021-06-28,0.2271,0.056,2,0.2271,0.0,0,0,0,0,1,0,0,0,225.5,AIT
2021-06-29,0.0,0.0,2,0.0,0.0,0,1,0,0,1,0,0,0,256.5,AIT
2021-06-30,-0.0556,,1,0.0556,0.0,1,0,1,0,0,0,0,0,260.0,AIT
2021-07-05,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,226.0,AIT
