date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-18,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,193.0,AIV
2021-05-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,AIV
2021-06-05,0.1417,,1,0.1417,0.0,0,0,1,0,0,0,0,0,211.0,AIV
2021-06-12,-0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,222.0,AIV
2021-06-19,-1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,170.0,AIV
2021-06-26,-0.1125,,1,0.1125,0.0,0,0,0,0,0,1,0,0,211.0,AIV
2021-06-30,0.1972,0.0039,2,0.1972,0.0,0,0,0,0,0,0,0,0,160.0,AIV
2021-07-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,AIV
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,1,0,138.0,AIV
2021-08-28,0.163,,1,0.163,0.0,1,1,0,0,0,0,0,0,1392.0,AIV
2021-09-25,0.3288,,1,0.3288,0.0,0,0,0,0,0,0,0,0,160.0,AIV
2021-10-02,0.191,,1,0.191,0.0,1,1,0,0,0,0,0,0,1113.0,AIV
2021-10-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,196.0,AIV
2023-07-05,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,136.0,AIV
2023-07-31,0.0195,,1,0.0195,0.0,0,1,1,0,0,0,0,0,7368.0,AIV
2024-04-14,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,161.0,AIV
2024-11-25,0.0227,,1,0.0227,0.0,0,0,1,0,0,0,0,0,321.0,AIV
2024-12-16,0.1381,,1,0.1381,0.0,0,0,0,0,0,0,0,0,420.0,AIV
2024-12-19,0.0895,,1,0.0895,0.0,0,0,0,0,0,1,0,0,339.0,AIV
