date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,AL
2021-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,AL
2021-05-07,0.0127,0.1052,4,0.0752,0.0,3,0,1,0,0,0,0,0,389.5,AL
2021-06-07,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,137.0,AL
2021-06-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,163.0,AL
2021-07-12,0.1333,,1,0.1333,0.0,0,0,1,0,0,0,0,0,185.0,AL
2021-07-29,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,AL
2021-08-06,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,173.3333,AL
2021-08-18,0.1378,,1,0.1378,0.0,0,0,1,0,0,0,1,0,1035.0,AL
2021-09-07,0.3839,,1,0.3839,0.0,0,0,0,0,0,0,0,0,167.0,AL
2021-09-28,0.0417,,1,0.0417,0.0,0,0,0,0,0,0,0,0,204.0,AL
2021-09-29,0.2083,,1,0.2083,0.0,0,0,0,0,0,0,0,0,229.0,AL
2021-10-01,0.0439,,1,0.0439,0.0,0,0,1,0,0,0,0,0,147.0,AL
2021-10-03,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,250.0,AL
2021-10-08,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,191.0,AL
2021-10-11,0.2182,,1,0.2182,0.0,0,0,0,0,0,0,0,0,143.0,AL
2021-10-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,180.0,AL
2021-10-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,207.0,AL
2021-11-04,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,243.0,AL
2021-11-05,0.0,,1,0.0,0.0,1,0,0,0,0,1,0,0,210.0,AL
2021-11-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,112.0,AL
2021-11-29,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,179.0,AL
2021-11-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,131.0,AL
2022-01-02,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,250.0,AL
2022-01-10,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,141.0,AL
2022-01-11,0.2138,,1,0.2138,0.0,0,0,0,0,0,0,0,0,224.0,AL
2022-01-13,0.0917,,1,0.0917,0.0,0,0,0,0,0,0,0,0,142.0,AL
2022-01-27,0.0333,0.0471,2,0.0333,0.0,2,0,0,0,0,0,0,0,182.0,AL
2022-02-17,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,243.0,AL
2022-02-18,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,213.0,AL
2022-02-28,0.3826,0.276,2,0.3826,0.0,0,0,0,0,0,0,0,0,174.0,AL
2022-03-01,0.2458,,1,0.2458,0.0,1,0,0,0,0,0,0,0,176.0,AL
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,AL
2022-03-15,-0.0161,,1,0.0161,0.0,0,1,1,0,0,0,0,0,5270.0,AL
2022-03-18,0.3556,,1,0.3556,0.0,0,0,0,0,0,0,0,0,186.0,AL
2022-03-22,0.2577,0.2271,3,0.2577,0.0,1,0,0,0,0,0,0,0,145.6667,AL
2022-03-23,0.0909,,1,0.0909,0.0,0,0,0,0,0,0,0,0,157.0,AL
2022-03-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,167.0,AL
2022-04-04,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,330.0,AL
2022-04-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,155.0,AL
2022-04-11,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,108.0,AL
2022-04-14,0.3444,,1,0.3444,0.0,0,0,0,0,0,0,0,0,206.0,AL
2022-04-22,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,235.0,AL
2022-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,AL
2022-04-28,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,235.0,AL
2022-05-03,-0.0022,,1,0.0022,0.0,1,0,0,0,0,0,0,0,211.0,AL
2022-05-04,0.06,0.0283,2,0.06,0.0,2,0,0,0,0,0,0,0,159.5,AL
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,AL
2022-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,AL
2022-05-11,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,126.0,AL
2022-06-14,0.152,,1,0.152,0.0,0,0,0,0,0,0,0,0,234.0,AL
2022-06-27,0.1214,,1,0.1214,0.0,1,0,0,0,0,0,0,0,259.0,AL
2022-07-03,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,180.0,AL
2022-07-21,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,AL
2022-07-28,0.0596,0.0735,3,0.0596,0.0,3,1,0,0,0,0,0,0,247.3333,AL
2022-07-29,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,266.0,AL
2022-08-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,234.0,AL
2022-08-04,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,238.0,AL
2022-08-10,-0.1556,,1,0.1556,0.0,1,0,1,0,0,0,0,0,140.0,AL
2022-08-12,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,152.0,AL
2022-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,191.0,AL
2022-10-02,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,244.0,AL
2022-10-04,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,185.0,AL
2022-10-06,0.0533,0.0924,3,0.0533,0.0,1,0,0,0,0,0,0,0,190.6667,AL
2022-10-27,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,255.0,AL
2022-11-01,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,254.0,AL
2022-11-10,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,138.0,AL
2022-11-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,189.0,AL
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,AL
2022-12-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,172.0,AL
2022-12-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,242.0,AL
2023-01-08,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,220.0,AL
2023-02-09,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,236.0,AL
2023-02-13,0.1696,0.0631,2,0.1696,0.0,2,0,0,0,0,0,0,0,209.0,AL
2023-02-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,AL
2023-02-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,AL
2023-02-20,0.16,,1,0.16,0.0,1,0,0,0,0,0,0,0,161.0,AL
2023-03-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,247.0,AL
2023-04-03,0.0556,,1,0.0556,0.0,0,0,0,0,0,0,0,0,166.0,AL
2023-04-05,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,240.0,AL
2023-04-10,0.3333,,1,0.3333,0.0,0,0,0,0,1,0,0,0,123.0,AL
2023-04-13,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,182.0,AL
2023-04-24,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,236.0,AL
2023-04-25,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,270.0,AL
2023-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,219.0,AL
2023-05-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,236.0,AL
2023-05-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,141.0,AL
2023-05-17,0.2369,0.335,2,0.2369,0.0,0,1,0,0,0,2,0,0,240.0,AL
2023-05-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,180.0,AL
2023-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,184.0,AL
2023-05-31,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,195.0,AL
2023-06-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,192.0,AL
2023-06-02,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,233.0,AL
2023-06-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,182.0,AL
