date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-06-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,101.0,AOMR
2021-07-10,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,167.0,AOMR
2021-07-11,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,AOMR
2021-11-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,126.0,AOMR
2022-01-10,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,AOMR
2022-03-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,125.0,AOMR
2022-04-06,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,131.0,AOMR
2022-05-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,AOMR
2022-06-01,0.033,,1,0.033,0.0,0,1,1,0,0,0,0,0,4529.0,AOMR
2022-06-27,0.1417,,1,0.1417,0.0,1,0,0,0,0,0,0,0,269.0,AOMR
2022-08-02,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,231.0,AOMR
2022-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,294.0,AOMR
2022-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,240.0,AOMR
2022-08-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,121.0,AOMR
2022-10-13,0.1771,,1,0.1771,0.0,0,1,0,0,0,0,1,0,2024.0,AOMR
2022-10-14,0.1691,,1,0.1691,0.0,1,1,0,0,0,0,1,0,2800.0,AOMR
2022-10-25,0.1644,,1,0.1644,0.2,1,1,0,0,0,1,0,0,1045.0,AOMR
2022-11-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,AOMR
2022-11-28,0.0472,,1,0.0472,0.0,1,1,0,0,0,0,0,0,2001.0,AOMR
2022-12-05,0.166,0.2651,4,0.1788,0.0,0,2,3,0,0,0,0,0,2257.25,AOMR
2023-03-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,260.0,AOMR
2023-03-29,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,134.0,AOMR
2023-04-24,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,131.0,AOMR
2023-05-01,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,127.0,AOMR
2023-05-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,231.0,AOMR
2023-05-03,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,127.0,AOMR
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,250.0,AOMR
2023-05-16,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,129.0,AOMR
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,238.0,AOMR
2024-03-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,AOMR
2024-03-22,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,134.0,AOMR
2024-04-14,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,161.0,AOMR
