date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,AON
2021-04-26,0.1182,0.0945,4,0.1182,0.0,3,0,0,0,1,0,0,0,224.75,AON
2021-04-27,-0.01,0.0141,2,0.01,0.0,2,0,0,0,1,0,0,0,224.5,AON
2021-04-30,0.0583,0.0745,5,0.0583,0.0,5,0,1,0,0,0,0,0,801.4,AON
2021-05-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,77.0,AON
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,AON
2021-05-13,0.2143,,1,0.2143,0.0,0,1,0,0,0,0,0,0,211.0,AON
2021-05-15,0.1071,,1,0.1071,0.0,0,1,0,0,0,0,0,0,203.0,AON
2021-05-18,0.0659,0.1239,6,0.1042,0.0,0,2,0,0,0,0,0,0,405.1667,AON
2021-05-20,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,241.0,AON
2021-05-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,219.0,AON
2021-06-03,0.125,0.1768,2,0.125,0.0,0,0,0,0,0,0,1,0,136.0,AON
2021-06-04,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,276.0,AON
2021-06-07,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,163.0,AON
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,AON
2021-06-16,0.25,0.0,2,0.25,0.0,0,0,0,0,1,0,1,0,253.5,AON
2021-06-28,0.2723,,1,0.2723,0.0,0,0,0,0,0,0,0,0,257.0,AON
2021-06-30,0.0792,0.1709,2,0.1208,0.0,0,1,0,0,0,0,1,0,199.5,AON
2021-07-02,0.2192,,1,0.2192,0.0,1,0,1,0,0,0,0,0,978.0,AON
2021-07-13,0.175,,1,0.175,0.0,1,0,0,0,0,0,0,0,198.0,AON
2021-07-16,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,242.0,AON
2021-07-19,0.1707,0.0057,2,0.1707,0.0,1,0,1,0,0,0,0,0,221.5,AON
2021-07-23,0.0726,,1,0.0726,0.0,1,0,0,0,0,0,0,0,234.0,AON
2021-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,AON
2021-07-26,0.0515,0.1895,4,0.1515,0.0,2,2,1,0,0,0,1,2,370.0,AON
2021-07-27,0.2064,0.1822,5,0.2064,0.0,3,1,1,0,0,0,0,0,188.6,AON
2021-07-28,0.0625,,1,0.0625,0.0,1,0,1,0,0,0,1,0,313.0,AON
2021-07-29,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,191.0,AON
2021-07-30,0.0833,0.1443,3,0.0833,0.0,3,0,0,0,0,0,0,0,196.6667,AON
2021-08-03,0.4375,,1,0.4375,0.0,1,0,0,0,0,1,0,0,192.0,AON
2021-08-04,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,227.0,AON
2021-08-06,0.35,0.2121,2,0.35,0.0,0,0,0,0,0,0,0,0,183.0,AON
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,AON
2021-08-12,-0.1556,,1,0.1556,0.0,0,1,0,0,0,0,0,0,159.0,AON
2021-08-13,0.0533,,1,0.0533,0.0,0,0,1,0,0,0,0,0,204.0,AON
2021-08-16,0.366,0.1895,2,0.366,0.0,0,1,1,0,0,0,0,0,186.0,AON
2021-08-17,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,883.0,AON
2021-08-18,0.25,0.3536,2,0.25,0.0,0,1,0,0,0,0,0,0,165.5,AON
2021-08-21,0.2143,,1,0.2143,0.0,0,0,0,0,0,0,0,0,107.0,AON
2021-08-26,0.0833,0.1179,2,0.0833,0.0,0,1,0,0,0,0,1,0,177.5,AON
2021-08-27,-0.0139,0.1061,2,0.075,0.0,1,0,1,0,1,0,0,0,201.5,AON
2021-08-30,0.316,0.2602,2,0.316,0.0,0,1,0,0,1,0,0,0,212.5,AON
2021-09-03,0.3111,,1,0.3111,0.0,0,1,0,0,0,0,0,0,179.0,AON
2021-09-09,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,147.0,AON
2021-09-10,0.3582,0.4067,3,0.4252,0.0,2,1,1,0,0,0,0,0,192.3333,AON
2021-09-13,0.32,,1,0.32,0.0,0,0,0,0,0,0,0,0,206.0,AON
2021-09-14,0.475,0.2475,2,0.475,0.0,0,2,0,0,0,0,0,0,162.5,AON
2021-09-23,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,167.0,AON
2021-09-28,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,238.0,AON
2021-10-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,188.0,AON
