title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Marsh & McLennan (MMC) to Post Q1 Earnings: What's in Store?,"Marsh & McLennan's (MMC) first-quarter results are likely to reflect rate increases and a well-performing Risk and Insurance Services segment, partly offset by elevated costs.",2021-04-23 14:42:00+00:00,http://www.zacks.com/stock/news/1442030/marsh-mclennan-mmc-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1442030,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,237,"['MMC', 'AON', 'ORCC', 'VIRT']",AON,2021-04-23
What's in Store for Willis Towers (WLTW) This Earnings Season?,"Willis Towers' (WLTW) first-quarter results are likely to reflect benefits from net new business, increased project work and strong renewal, partly offset by COVID-19 impact on revenues and operating results.",2021-04-26 13:04:00+00:00,http://www.zacks.com/stock/news/1456141/whats-in-store-for-willis-towers-wltw-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456141,Zacks Investment Research,0.1424242424242424,0.546969696969697,positive,0.1424242424242424,True,False,False,False,False,False,False,False,0.0,272,"['ALL', 'AON', 'WLTW', 'PLMR']",AON,2021-04-26
6 Insurance Brokerage Stocks to Benefit From Rising Demand,6 Insurance Brokerage Stocks to Benefit From Rising Demand,2021-04-26 14:25:00+00:00,http://www.zacks.com/commentary/1456390/6-insurance-brokerage-stocks-to-benefit-from-rising-demand?cid=CS-ZC-FT-industry_outlook-1456390,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,118,"['MMC', 'ERIE', 'EHTH', 'BRO', 'AON', 'AJG']",AON,2021-04-26
What's in the Offing for CME Group (CME) This Earnings Season?,"CME Group's first-quarter revenues are likely to have benefited from clearing and transaction fees, market data and information services and other revenues, strong market position and varied derivative product lines.",2021-04-26 14:28:00+00:00,http://www.zacks.com/stock/news/1456518/whats-in-the-offing-for-cme-group-cme-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456518,Zacks Investment Research,0.10277777777777776,0.7027777777777778,positive,0.10277777777777776,True,False,False,False,True,False,False,False,0.0,280,"['AMSF', 'AON', 'ICE', 'CME']",AON,2021-04-26
What Awaits Arthur J. Gallagher (AJG) This Earnings Season?,"Arthur J. Gallagher's (AJG) Q1 results are likely to reflect strong EBITDAC growth, decline in covered lives on renewal business and higher property and casualty rates.",2021-04-26 16:17:00+00:00,http://www.zacks.com/stock/news/1457054/what-awaits-arthur-j-gallagher-ajg-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457054,Zacks Investment Research,0.22777777777777777,0.7444444444444445,positive,0.22777777777777777,True,False,False,False,False,False,False,False,0.0,229,"['ALL', 'AON', 'AJG', 'PLMR']",AON,2021-04-26
What's in Store for Cboe Global (CBOE) This Earnings Season?,"CBOE Global's (CBOE) first-quarter performance is likely to have benefited from its strategy to leverage product innovation and superior technology, expand customer base, and diversify business mix with recurring revenues.",2021-04-27 14:58:00+00:00,http://www.zacks.com/stock/news/1462222/whats-in-store-for-cboe-global-cboe-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462222,Zacks Investment Research,-0.020000000000000018,0.58,neutral,0.020000000000000018,True,False,False,False,True,False,False,False,0.0,284,"['AMSF', 'AON', 'CBOE', 'ICE']",AON,2021-04-27
Aon (AON) to Announce Q1 Earnings: What is in the Cards?,Aon's (AON) first-quarter earnings are likely to have witnessed solid revenues on the back of its segments.,2021-04-27 15:42:00+00:00,http://www.zacks.com/stock/news/1462460/aon-aon-to-announce-q1-earnings-what-is-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462460,Zacks Investment Research,0.0,0.3666666666666667,neutral,0.0,True,False,False,False,False,False,False,False,0.0,165,"['ALL', 'AON', 'AIG', 'SLF']",AON,2021-04-27
"Earnings Scheduled For April 30, 2021","Companies Reporting Before The Bell
• O2Micro Intl (NASDAQ:OIIM) is estimated to report quarterly earnings at $0.09 per share on revenue of $23.30 million.
• Twin Disc (NASDAQ:TWIN) is likely to report quarterly loss at $0.12 per share on revenue of $57.70 million.
• L3Harris Technologies (NYSE:LHX) is projected to report quarterly earnings at $2.94 per share on revenue of $4.54 billion.
• Shell Midstream Partners (NYSE:SHLX) is expected to report quarterly earnings at $0.34 per share on revenue of $123.97 million.
• Cboe Global Markets (BATS:CBOE) is estimated to report quarterly earnings at $1.40 per share on revenue of $353.75 million.
• Quhuo (NASDAQ:QH) is estimated to report quarterly earnings at $0.11 per share on revenue of $117.20 million.
• Pitney Bowes (NYSE:PBI) is expected to report quarterly earnings at $0.04 per share on revenue of $873.86 million.
• Weyerhaeuser (NYSE:WY) is likely to report quarterly earnings at $0.91 per share on revenue of $2.52 billion.
• iRadimed (NASDAQ:IRMD) is estimated to report quarterly earnings at $0.10 per share on revenue of $8.56 million.
• BeyondSpring (NASDAQ:BYSI) is projected to report earnings for its fourth quarter.
• Portland General Electric (NYSE:POR) is likely to report quarterly earnings at $0.92 per share on revenue of $578.16 million.
• Newell Brands (NASDAQ:NWL) is estimated to report quarterly earnings at $0.13 per share on revenue of $2.07 billion.
• Carter's (NYSE:CRI) is projected to report quarterly earnings at $0.32 per share on revenue of $664.49 million.
• Huntsman (NYSE:HUN) is likely to report quarterly earnings at $0.59 per share on revenue of $1.75 billion.
• Clorox (NYSE:CLX) is estimated to report quarterly earnings at $1.48 per share on revenue of $1.87 billion.
• Colgate-Palmolive (NYSE:CL) is expected to report quarterly earnings at $0.79 per share on revenue of $4.25 billion.
• Goodyear Tire & Rubber (NASDAQ:GT) is estimated to report quarterly earnings at $0.09 per share on revenue of $3.40 billion.
• Exxon Mobil (NYSE:XOM) is projected to report quarterly earnings at $0.59 per share on revenue of $54.60 billion.
• AstraZeneca (NASDAQ:AZN) is estimated to report ...Full story available on Benzinga.com",2021-04-30 08:11:54+00:00,https://www.benzinga.com/news/earnings/21/04/20883024/earnings-scheduled-for-april-30-2021,Benzinga,0.01363636363636364,0.5545454545454546,neutral,0.01363636363636364,True,False,False,False,False,False,False,False,0.0,2258,"['AON', 'IMO', 'QSR', 'GT', 'LYB', 'ALXN', 'CCLP', 'GWW', 'CHTR', 'BCPC', 'ESXB', 'HRC', 'WETF', 'DCOM', 'AVNT', 'HUN', 'SLCA', 'IESC', 'ITCB', 'ITW', 'BSAC', 'OFIX', 'ASIX', 'JCI', 'LAZ', 'PSX', 'OIIM', 'BYSI', 'NWL', 'ABBV', 'TWIN', 'JELD', 'PBI', 'PSXP', 'AZN', 'EEX', 'PFS', 'NWHM', 'B', 'LHX', 'PNM', 'SHLX', 'BCS', 'ANPC', 'POR', 'IRMD', 'CL', 'PIPR', 'WPC', 'CLX', 'QH', 'WY', 'CVEO', 'CRI', 'HSAQ', 'XOM', 'SBFG', 'CVX', 'CBOE', 'MGP', 'E']",AON,2021-04-30
Aon (AON) Q1 Earnings and Revenues Beat Estimates,"Aon (AON) delivered earnings and revenue surprises of 5.94% and 5.31%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-30 11:30:08+00:00,http://www.zacks.com/stock/news/1478094/aon-aon-q1-earnings-and-revenues-beat-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1478094,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,229,['AON'],AON,2021-04-30
"Aon's (AON) Q1 Earnings Surpass Estimates, Increase Y/Y","Aon's (AON) Q1 results reflect higher revenues in its Reinsurance Solutions, Retirement Solutions Health Solutions and Commercial Risk Solutions segments.",2021-04-30 14:54:00+00:00,http://www.zacks.com/stock/news/1479361/aons-aon-q1-earnings-surpass-estimates-increase-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1479361,Zacks Investment Research,0.125,0.25,positive,0.125,True,False,False,False,False,False,False,False,0.0,211,"['TRV', 'WRB', 'AON', 'BRO']",AON,2021-04-30
