date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2024-01-02,0.2467,,1,0.2467,0.0,0,0,0,0,0,0,0,0,227.0,APOS
2024-05-10,0.0917,,1,0.0917,0.0,0,0,0,0,0,0,0,0,214.0,APOS
2024-07-18,0.0841,,1,0.0841,0.0,0,0,0,0,0,0,1,0,367.0,APOS
2024-08-20,0.3455,,1,0.3455,0.0,0,0,0,0,1,0,0,0,311.0,APOS
2024-09-11,0.0069,0.0098,2,0.0069,0.0,0,0,0,0,0,0,1,0,340.5,APOS
2024-09-12,0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,397.0,APOS
2024-09-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,256.0,APOS
2024-09-19,0.0857,,1,0.0857,0.0,0,0,0,0,0,0,1,0,431.0,APOS
2024-09-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,326.0,APOS
2024-09-23,0.1337,0.1158,3,0.1337,0.0,0,1,0,0,0,0,3,0,384.0,APOS
2024-09-26,0.1822,0.1465,3,0.1822,0.0,1,1,0,0,1,0,2,0,360.0,APOS
2024-09-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,367.0,APOS
2024-10-02,-0.0125,,1,0.0125,0.0,0,1,1,0,0,0,0,0,319.0,APOS
2024-10-08,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,212.0,APOS
2024-10-18,0.075,,1,0.075,0.0,1,0,0,0,0,0,0,0,281.0,APOS
2024-10-31,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,452.0,APOS
2024-11-05,0.1396,0.0069,2,0.1396,0.0,1,1,1,0,0,0,2,0,306.0,APOS
2024-11-11,0.0,,1,0.0,0.0,0,0,0,1,0,1,1,0,460.0,APOS
2024-11-12,0.0167,0.0236,2,0.0167,0.0,0,1,0,1,1,0,1,0,456.5,APOS
2024-12-04,0.0893,,1,0.0893,0.0,0,0,0,0,0,0,0,0,363.0,APOS
2024-12-09,0.1083,,1,0.1083,0.0,0,0,0,0,0,0,1,0,395.0,APOS
2024-12-14,-0.0759,0.1074,2,0.0759,0.0,0,0,0,0,0,0,1,0,315.5,APOS
2024-12-17,0.2033,,1,0.2033,0.0,0,0,1,0,0,0,0,0,392.0,APOS
