date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,102.0,APTV
2020-05-27,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,110.0,APTV
2020-06-10,0.0988,,1,0.0988,0.0,0,0,0,0,0,0,0,0,102.0,APTV
2020-06-17,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,90.0,APTV
2021-04-29,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,233.0,APTV
2021-05-03,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,142.0,APTV
2021-05-06,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,165.6667,APTV
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,APTV
2021-06-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,1,0,260.0,APTV
2021-06-19,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,140.0,APTV
2021-06-20,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,APTV
2021-06-22,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,171.0,APTV
2021-06-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,169.0,APTV
2021-06-25,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,155.0,APTV
2021-07-09,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,239.0,APTV
2021-07-15,0.2135,,1,0.2135,0.0,0,0,0,0,0,0,0,0,307.0,APTV
2021-07-16,-0.0528,0.0611,4,0.0528,0.0,4,0,4,0,0,0,0,0,168.5,APTV
2021-07-19,0.0347,0.1064,3,0.0681,0.0,2,1,1,0,1,0,0,0,463.3333,APTV
2021-07-21,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,156.0,APTV
2021-07-22,-0.05,0.0707,2,0.05,0.0,2,0,2,0,0,0,0,0,160.5,APTV
2021-07-23,-0.0778,0.0694,3,0.0778,0.0,3,0,3,0,0,0,1,0,159.3333,APTV
2021-07-28,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,174.0,APTV
2021-07-29,0.0463,0.042,3,0.0463,0.0,2,0,1,0,0,0,1,0,331.3333,APTV
2021-07-30,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,160.0,APTV
2021-08-04,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,190.0,APTV
2021-08-05,0.0,0.0,3,0.0,0.0,3,0,2,0,0,0,0,0,123.0,APTV
2021-08-06,0.4778,,1,0.4778,0.0,0,0,0,0,0,0,0,0,196.0,APTV
2021-08-14,0.3091,,1,0.3091,0.0,0,0,0,0,1,0,0,0,121.0,APTV
2021-09-16,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,600.0,APTV
2021-09-21,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,219.0,APTV
2021-09-24,0.0698,,1,0.0698,0.0,0,0,0,0,0,0,0,0,1351.0,APTV
2021-10-20,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,104.0,APTV
2021-11-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,163.0,APTV
2021-11-03,0.0875,,1,0.0875,0.0,0,0,0,0,0,0,0,0,114.0,APTV
2021-11-04,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,156.3333,APTV
2021-11-08,0.0537,,1,0.0537,0.0,1,0,0,0,0,0,0,0,1166.0,APTV
2021-11-12,0.2155,0.0723,2,0.2155,0.1,1,0,1,0,1,1,1,0,1241.5,APTV
2021-12-06,0.277,0.0,2,0.277,0.0,0,0,1,0,0,0,0,0,107.0,APTV
2021-12-30,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,137.0,APTV
2022-01-07,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,134.0,APTV
2022-01-11,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,256.0,APTV
2022-01-14,0.2667,,1,0.2667,0.0,0,1,0,0,0,0,0,0,158.0,APTV
2022-01-15,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,APTV
2022-01-23,-0.0591,,1,0.0591,0.0,0,0,1,0,0,1,0,0,258.0,APTV
2022-01-24,-0.0389,,1,0.0389,0.0,0,0,0,0,0,0,0,0,167.0,APTV
2022-01-27,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,254.0,APTV
2022-01-28,-0.1,0.1414,2,0.1,0.0,2,0,0,0,0,0,0,0,192.5,APTV
2022-02-03,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,194.5,APTV
2022-02-07,0.25,,1,0.25,0.0,1,0,1,0,0,0,0,0,178.0,APTV
2022-02-15,0.25,,1,0.25,0.0,1,0,1,0,0,0,0,0,178.0,APTV
2022-02-16,0.45,,1,0.45,0.0,0,0,0,0,0,0,0,0,508.0,APTV
2022-03-04,-0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,827.0,APTV
2022-03-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,167.0,APTV
2022-03-29,0.2083,,1,0.2083,0.0,0,0,0,0,0,0,0,0,631.0,APTV
2022-03-31,0.0563,,1,0.0563,0.0,0,0,1,0,1,0,0,0,1049.0,APTV
2022-04-01,0.0231,,1,0.0231,0.0,0,0,0,0,0,0,0,0,672.0,APTV
2022-04-04,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,75.0,APTV
2022-04-06,-0.0246,0.0112,2,0.0246,0.0,0,1,1,0,0,0,0,0,4155.0,APTV
2022-04-12,-0.0074,,1,0.0074,0.0,0,1,1,0,0,0,0,0,9153.0,APTV
2022-04-18,0.1696,0.2867,3,0.1791,0.0,0,1,1,0,0,0,0,0,2002.6667,APTV
2022-04-22,0.0921,,1,0.0921,0.0,0,0,0,0,0,0,0,0,250.0,APTV
2022-04-28,0.0726,,1,0.0726,0.0,1,0,0,0,0,0,0,0,248.0,APTV
2022-05-03,-0.0444,0.0509,3,0.0444,0.0,3,0,0,0,0,0,0,0,165.3333,APTV
2022-05-05,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,191.5,APTV
