title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
New Week Begins With Third Straight Day of Gains,New Week Begins With Third Straight Day of Gains,2020-09-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26799,Zacks Investment Research,0.11212121212121212,0.28484848484848485,positive,0.11212121212121212,False,False,False,False,False,False,False,False,0.0,98,"['WHR', 'NVDA', 'AOUT', 'ARW', 'AYI', 'BJ', 'BBY', 'TGT', 'COST', 'BJ', 'BIG', 'LEN', 'OMI', 'SEE', 'TPR', 'AAPL', 'AMZN']",ARW,2020-09-29
"Despite Fast-paced Momentum, Arrow Electronics (ARW) Is Still a Bargain Stock","If you are looking for stocks that have gained strong momentum recently but are still trading at reasonable prices, Arrow Electronics (ARW) could be a great choice. It is one of the several stocks that passed through our 'Fast-Paced Momentum at a Bargain' screen.",2021-04-27 12:24:00+00:00,http://www.zacks.com/stock/news/1461485/despite-fast-paced-momentum-arrow-electronics-arw-is-still-a-bargain-stock?cid=CS-ZC-FT-tale_of_the_tape|fast_paced_momentum_at_a_bargain-1461485,Zacks Investment Research,0.2866666666666667,0.4666666666666666,positive,0.2866666666666667,False,False,False,False,False,False,False,False,0.0,342,['ARW'],ARW,2021-04-27
Here's Why Momentum Investors Will Love Arrow Electronics (ARW),Does Arrow Electronics (ARW) have what it takes to be a top stock pick for momentum investors? Let's find out.,2021-04-27 16:00:05+00:00,http://www.zacks.com/stock/news/1462319/heres-why-momentum-investors-will-love-arrow-electronics-arw?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_10-1462319,Zacks Investment Research,0.5,0.55,positive,0.5,False,False,False,False,False,False,False,False,0.0,175,['ARW'],ARW,2021-04-27
"Cree (CREE) Q3 Loss Narrower Than Estimated, Revenues Beat","Cree's (CREE) fiscal third-quarter results reflect gains from solid demand in materials, power and RF business.",2021-04-29 13:28:00+00:00,http://www.zacks.com/stock/news/1473254/cree-cree-q3-loss-narrower-than-estimated-revenues-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1473254,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,171,"['ARW', 'MCHP', 'CREE', 'CDW']",ARW,2021-04-29
Arrow Electronics (ARW) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Arrow Electronics (ARW) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-29 21:00:39+00:00,http://www.zacks.com/stock/news/1474998/arrow-electronics-arw-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1474998,Zacks Investment Research,0.03095238095238095,0.655952380952381,neutral,0.03095238095238095,True,False,False,False,True,False,False,False,0.0,273,['ARW'],ARW,2021-04-29
5 Stocks Trading Near 52-Week High That Can Scale Higher,"Investors target stocks that have been on a bullish run lately. Stocks like BPOP, CACI, DXC, ARW and NSIT that are seeing price strength have a high chance of carrying the momentum forward.",2021-04-30 14:49:00+00:00,http://www.zacks.com/stock/news/1479327/5-stocks-trading-near-52-week-high-that-can-scale-higher?cid=CS-ZC-FT-analyst_blog|rw-1479327,Zacks Investment Research,0.074,0.516,neutral,0.074,False,False,False,False,False,False,False,False,0.0,247,"['ARW', 'BPOP', 'CACI', 'NSIT', 'DXC']",ARW,2021-04-30
"Zacks.com featured highlights include: Popular, CACI International, DXC Tech, Insight Enterprises and Arrow Electronics","Zacks.com featured highlights include: Popular, CACI International, DXC Tech, Insight Enterprises and Arrow Electronics",2021-05-03 13:18:00+00:00,http://www.zacks.com/stock/news/1493285/zackscom-featured-highlights-include-popular-caci-international-dxc-tech-insight-enterprises-and-arrow-electronics?cid=CS-ZC-FT-press_releases-1493285,Zacks Investment Research,0.3,0.45,positive,0.3,False,False,False,False,False,False,False,False,0.0,240,"['ARW', 'BPOP', 'CACI', 'NSIT', 'DXC']",ARW,2021-05-03
Arrow Electronics (ARW) Tops Q1 Earnings and Revenue Estimates,"Arrow Electronics (ARW) delivered earnings and revenue surprises of 25.11% and 5.09%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 13:20:04+00:00,http://www.zacks.com/stock/news/1509844/arrow-electronics-arw-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1509844,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,257,['ARW'],ARW,2021-05-06
Arrow Electronics Inc (ARW) Q1 2021 Earnings Call Transcript,"ARW earnings call for the period ending March 31, 2021.",2021-05-07 00:31:17+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/06/arrow-electronics-inc-arw-q1-2021-earnings-call-tr/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,117,['ARW'],ARW,2021-05-07
Arrow's (ARW) Q1 Earnings and Revenues Surpass Estimates,"Arrow Electronics' (ARW) Q1 results reflect benefits from robust demand for software, cloud and security solutions, and efficient supply-chain management.",2021-05-07 15:40:00+00:00,http://www.zacks.com/stock/news/1516692/arrows-arw-q1-earnings-and-revenues-surpass-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1516692,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,True,False,False,False,True,False,0.0,212,"['LRCX', 'ARW', 'LPL', 'VSH']",ARW,2021-05-07
