title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Grupo Aeroportuario del Sureste, SAB de CV (ASR) Q1 2021 Earnings Call Transcript","ASR earnings call for the period ending March 31, 2021.",2021-04-23 19:30:43+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/23/grupo-aeroportuario-del-sureste-sab-de-cv-asr-q1-2/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,138,['ASR'],ASR,2021-04-23
ECHO vs. ASR: Which Stock Should Value Investors Buy Now?,ECHO vs. ASR: Which Stock Is the Better Value Option?,2021-04-27 15:40:10+00:00,http://www.zacks.com/stock/news/1462161/echo-vs-asr-which-stock-should-value-investors-buy-now?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_3-1462161,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,112,"['ECHO', 'ASR']",ASR,2021-04-27
Score By Investing In UK Soccer Teams,,2021-04-30 06:49:00+00:00,https://www.investing.com/analysis/score-by-investing-in-uk-soccer-teams-directly-or-through-an-etf-200576434,Investing.com,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,39,"['JPM', 'MANU', 'ASR', 'MVP']",ASR,2021-04-30
How Grupo Aeroportuario del Sureste (ASR) Stock Stands Out in a Strong Industry,"Grupo Aeroportuario del Sureste (ASR) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",2021-06-04 12:54:00+00:00,http://www.zacks.com/stock/news/1654453/how-grupo-aeroportuario-del-sureste-asr-stock-stands-out-in-a-strong-industry?cid=CS-ZC-FT-tale_of_the_tape|industry_rank_and_rising_estimates-1654453,Zacks Investment Research,0.15416666666666665,0.4541666666666666,positive,0.15416666666666665,True,False,False,False,False,False,False,False,0.0,232,['ASR'],ASR,2021-06-04
SNDR vs. ASR: Which Stock Should Value Investors Buy Now?,SNDR vs. ASR: Which Stock Is the Better Value Option?,2021-07-19 15:40:10+00:00,https://www.zacks.com/stock/news/1763585/sndr-vs-asr-which-stock-should-value-investors-buy-now,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,112,"['SNDR', 'ASR']",ASR,2021-07-19
"Grupo Aeroportuario del Sureste, SA de CV (ASR) Q2 2021 Earnings Call Transcript","ASR earnings call for the period ending June 30, 2021.",2021-07-24 00:00:39+00:00,https://www.fool.com/earnings/call-transcripts/2021/07/23/grupo-aeroportuario-del-sureste-sa-de-cv-asr-q2-20/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,136,['ASR'],ASR,2021-07-24
SNDR vs. ASR: Which Stock Is the Better Value Option?,SNDR vs. ASR: Which Stock Is the Better Value Option?,2021-08-04 15:40:11+00:00,https://www.zacks.com/stock/news/1774406/sndr-vs-asr-which-stock-is-the-better-value-option,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,108,"['SNDR', 'ASR']",ASR,2021-08-04
Is Grupo Aeroportuario del Sureste (ASR) Stock a Solid Choice Right Now?,"Grupo Aeroportuario del Sureste (ASR) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",2021-08-31 12:40:00+00:00,https://www.zacks.com/stock/news/1789131/is-grupo-aeroportuario-del-sureste-asr-stock-a-solid-choice-right-now,Zacks Investment Research,0.0938095238095238,0.3438095238095238,neutral,0.0938095238095238,True,False,False,False,False,False,False,False,0.0,225,['ASR'],ASR,2021-08-31
"Grupo Aeroportuario del Sureste, SA de CV (ASR) Q3 2021 Earnings Call Transcript","ASR earnings call for the period ending September 30, 2021.",2021-10-26 22:01:04+00:00,https://www.fool.com/earnings/call-transcripts/2021/10/26/grupo-aeroportuario-del-sureste-sa-de-cv-asr-q3-20/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,141,['ASR'],ASR,2021-10-26
SNDR vs. ASR: Which Stock Should Value Investors Buy Now?,SNDR vs. ASR: Which Stock Is the Better Value Option?,2021-12-31 16:40:07+00:00,https://www.zacks.com/stock/news/1846061/sndr-vs-asr-which-stock-should-value-investors-buy-now,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,112,"['SNDR', 'ASR']",ASR,2021-12-31
