date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-25,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,123.0,ATUS
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,ATUS
2021-04-29,0.092,0.1302,2,0.092,0.0,2,0,0,0,0,0,0,0,182.0,ATUS
2021-05-04,0.25,,1,0.25,0.0,1,0,1,0,0,0,0,0,251.0,ATUS
2021-05-05,0.2167,,1,0.2167,0.0,1,0,0,0,0,0,0,0,207.0,ATUS
2021-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,189.0,ATUS
2021-05-12,0.0208,0.2062,2,0.1458,0.0,0,0,0,0,1,0,0,0,184.5,ATUS
2021-05-13,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,143.0,ATUS
2021-05-14,0.7,,1,0.7,0.0,0,0,0,0,1,0,0,0,200.0,ATUS
2021-05-17,0.0361,0.1611,2,0.1139,0.0,1,0,0,0,0,0,0,0,253.0,ATUS
2021-05-18,0.3214,0.2525,2,0.3214,0.0,0,0,0,0,0,0,0,0,189.0,ATUS
2021-05-19,0.2869,,1,0.2869,0.0,0,0,0,0,0,0,0,0,165.0,ATUS
2021-05-20,0.1667,0.2887,3,0.1667,0.0,0,0,0,1,0,1,0,0,207.0,ATUS
2021-05-24,0.35,,1,0.35,0.0,1,0,0,0,0,0,0,0,156.0,ATUS
2021-05-25,0.0819,0.1419,3,0.0819,0.0,0,0,0,0,2,0,0,0,196.3333,ATUS
2021-05-26,0.3,0.4243,2,0.3,0.0,0,0,0,0,0,0,0,0,229.0,ATUS
2021-05-28,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,204.0,ATUS
2021-05-31,0.2093,0.0132,2,0.2093,0.0,1,0,0,0,0,0,0,0,239.5,ATUS
2021-06-02,0.1061,0.15,2,0.1061,0.0,0,1,0,0,1,0,0,0,206.5,ATUS
2021-06-03,0.475,0.0354,2,0.475,0.0,0,0,0,0,0,0,1,0,195.0,ATUS
2021-06-04,-0.125,,1,0.125,0.0,1,0,1,0,1,0,0,0,180.0,ATUS
2021-06-08,0.1294,0.1442,3,0.1294,0.0667,0,1,0,1,0,0,0,0,175.0,ATUS
2021-06-09,0.0417,0.0118,2,0.0417,0.0,0,0,0,0,0,0,0,0,238.0,ATUS
2021-06-14,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,201.0,ATUS
2021-06-16,-0.3,,1,0.3,0.0,1,0,0,0,1,0,1,0,250.0,ATUS
