date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-04,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,169.0,AWAY
2021-05-07,0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,270.0,AWAY
2021-05-26,0.4674,0.0011,2,0.4674,0.0,0,0,0,0,0,0,0,0,206.0,AWAY
2021-05-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,130.0,AWAY
2021-06-02,0.4682,,1,0.4682,0.0,0,0,0,0,0,0,0,0,214.0,AWAY
2021-07-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,114.0,AWAY
2021-08-25,0.2333,,1,0.2333,0.0,0,0,1,0,0,0,0,0,188.0,AWAY
2021-09-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,148.0,AWAY
2021-09-14,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,232.0,AWAY
2021-09-15,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,173.0,AWAY
2021-09-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,227.0,AWAY
2021-09-27,0.0758,,1,0.0758,0.0,0,0,0,0,0,0,0,0,150.0,AWAY
2021-09-29,0.125,0.1768,2,0.125,0.0,0,1,0,0,0,0,0,0,107.5,AWAY
2021-09-30,0.15,,1,0.15,0.0,0,0,1,0,0,0,0,0,220.0,AWAY
2021-10-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,218.0,AWAY
2021-10-05,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,119.0,AWAY
2021-10-15,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,233.0,AWAY
2021-10-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,130.0,AWAY
2021-10-29,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,149.0,AWAY
2021-11-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,168.0,AWAY
2021-11-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,128.0,AWAY
2021-11-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,221.0,AWAY
2021-11-24,0.2017,0.2852,2,0.2017,0.0,0,0,0,0,0,0,0,0,218.5,AWAY
2021-11-28,-0.219,,1,0.219,0.0,0,0,0,0,0,0,0,0,309.0,AWAY
2021-11-29,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,252.0,AWAY
2021-12-04,0.2182,,1,0.2182,0.0,0,0,0,0,1,0,0,0,220.0,AWAY
2021-12-07,0.2324,,1,0.2324,0.0,0,0,0,0,0,0,0,0,185.0,AWAY
2021-12-09,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,164.0,AWAY
2022-01-24,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,172.0,AWAY
2022-01-25,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,180.0,AWAY
2022-01-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,80.0,AWAY
2022-03-07,0.2273,,1,0.2273,0.0,0,0,0,0,0,0,0,0,81.0,AWAY
2022-03-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,83.0,AWAY
2022-03-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,213.0,AWAY
2022-04-19,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,97.0,AWAY
2022-05-27,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,151.0,AWAY
2022-09-02,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,0,0,160.0,AWAY
2022-10-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,66.0,AWAY
2022-11-22,0.262,,1,0.262,0.0,0,0,0,0,0,0,0,0,226.0,AWAY
2022-11-23,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,141.0,AWAY
2022-12-22,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,161.0,AWAY
