date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,-0.09,,1,0.09,0.0,1,1,0,0,0,0,0,0,249.0,AX
2021-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,AX
2021-04-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,114.0,AX
2021-05-25,0.1971,,1,0.1971,0.0,0,0,0,0,0,0,0,0,176.0,AX
2021-07-22,0.0232,,1,0.0232,0.0,1,0,0,0,1,0,0,0,265.0,AX
2021-07-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,AX
2021-08-29,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,220.0,AX
2021-10-02,0.3375,,1,0.3375,0.0,0,0,0,0,0,0,0,0,171.0,AX
2021-10-13,0.1002,0.0511,2,0.1002,0.0,2,0,1,0,2,0,0,0,1302.0,AX
2021-10-21,0.0265,,1,0.0265,0.0,1,0,0,0,1,0,0,0,260.0,AX
2021-10-25,0.0804,0.1136,2,0.0804,0.0,2,0,0,0,0,0,0,0,191.0,AX
2021-10-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,147.0,AX
2021-10-28,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,253.0,AX
2021-11-16,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,139.0,AX
2022-01-20,0.0408,,1,0.0408,0.0,1,0,0,0,0,0,0,0,251.0,AX
2022-01-22,0.3656,,1,0.3656,0.0,0,0,0,0,0,0,0,0,118.0,AX
2022-01-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,240.0,AX
2022-01-28,0.0003,0.0005,2,0.0003,0.0,1,1,1,0,0,0,0,0,3496.0,AX
2022-02-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,117.0,AX
2022-02-14,0.1508,,1,0.1508,0.0,0,0,0,0,0,0,0,0,94.0,AX
2022-03-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,260.0,AX
2022-03-25,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,185.0,AX
2022-03-31,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,104.0,AX
2022-04-01,-0.0437,0.1326,2,0.0938,0.0,0,0,0,0,0,0,0,0,171.5,AX
2022-04-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,150.0,AX
2022-04-08,0.0625,0.0884,2,0.0625,0.0,0,0,0,0,1,0,0,0,205.5,AX
2022-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,AX
2022-04-29,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,1,0,193.0,AX
2022-07-06,0.125,0.0884,2,0.125,0.0,2,0,0,0,0,0,0,0,219.0,AX
2022-07-08,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,199.0,AX
2022-07-22,0.154,,1,0.154,0.0,1,0,0,0,0,0,0,0,250.0,AX
2022-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,AX
2022-07-28,0.0408,,1,0.0408,0.0,1,0,0,0,0,0,0,0,245.0,AX
2022-08-01,0.0265,,1,0.0265,0.0,1,0,0,0,0,0,0,0,280.0,AX
2022-08-02,-0.05,,1,0.05,0.0,1,0,1,0,0,0,0,0,251.0,AX
2022-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,AX
2022-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,107.0,AX
2022-09-20,0.1473,,1,0.1473,0.0,0,0,0,0,0,0,0,0,168.0,AX
2022-09-28,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,62.0,AX
2022-10-03,0.0475,,1,0.0475,0.0,1,1,0,0,0,0,0,0,384.0,AX
2022-10-14,0.1056,0.1493,2,0.1056,0.0,1,1,0,0,0,0,0,0,147.5,AX
2022-10-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,181.0,AX
2022-10-19,0.075,0.0707,2,0.075,0.0,2,0,0,0,0,0,0,0,212.0,AX
2022-10-20,0.0936,0.0949,2,0.0936,0.0,2,1,0,0,0,0,0,0,239.0,AX
2022-10-21,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,212.0,AX
2022-10-25,-0.0708,,1,0.0708,0.0,1,0,0,0,0,0,0,0,161.0,AX
2022-10-26,0.0524,0.1272,2,0.09,0.0,2,0,0,0,0,0,0,0,278.0,AX
2022-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,AX
2022-10-28,0.3611,,1,0.3611,0.0,1,0,0,0,0,0,0,0,139.0,AX
2022-10-31,0.0,,1,0.0,0.0,1,1,0,0,0,1,0,0,147.0,AX
2022-11-01,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,140.0,AX
2023-01-02,-0.1375,,1,0.1375,0.0,1,1,0,0,0,0,0,0,213.0,AX
2023-01-03,0.1468,,1,0.1468,0.0,1,0,0,0,0,0,0,0,369.0,AX
2023-01-19,0.0697,0.0709,4,0.0728,0.0,3,0,1,0,0,0,0,0,217.0,AX
2023-01-20,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,244.0,AX
2023-01-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,AX
2023-01-24,0.0476,0.0084,2,0.0476,0.0,2,0,0,0,0,0,0,0,199.0,AX
2023-01-25,0.05,,1,0.05,0.0,1,0,0,0,1,0,0,0,236.0,AX
2023-01-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,AX
2023-01-27,0.0271,0.0383,2,0.0271,0.0,1,0,1,1,0,0,1,1,968.0,AX
2023-02-13,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,90.0,AX
2023-02-21,-0.0102,,1,0.0102,0.0,0,1,1,0,0,0,1,0,5293.0,AX
2023-02-23,0.1762,,1,0.1762,0.0,0,0,0,0,0,0,0,0,278.0,AX
2023-02-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,255.0,AX
2023-03-08,0.025,,1,0.025,0.0,0,0,0,1,0,0,0,0,221.0,AX
2023-03-10,0.1899,,1,0.1899,0.0,0,0,0,0,1,0,0,0,235.0,AX
2023-03-13,0.0125,0.0177,2,0.0125,0.0,0,1,0,0,0,1,0,0,125.5,AX
2023-03-14,0.0704,0.1151,3,0.0704,0.0,2,1,1,0,0,0,1,0,661.6667,AX
2023-03-15,0.07,,1,0.07,0.0,1,0,0,0,0,0,0,0,289.0,AX
2023-03-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,232.0,AX
2023-03-17,0.0333,,1,0.0333,0.0,0,0,1,0,0,0,0,0,182.0,AX
2023-03-31,0.1648,0.031,2,0.1648,0.0,2,1,0,0,0,0,0,0,289.0,AX
2023-04-02,-0.0292,,1,0.0292,0.0,0,0,0,0,0,0,0,0,157.0,AX
2023-04-06,0.016,,1,0.016,0.0,0,0,0,0,0,0,0,0,740.0,AX
2023-04-20,0.0133,0.0188,2,0.0133,0.0,2,1,0,0,0,0,0,0,242.0,AX
2023-04-21,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,250.0,AX
2023-04-26,0.1778,,1,0.1778,0.0,1,0,0,0,0,0,0,0,254.0,AX
2023-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,AX
2023-04-28,0.0761,0.0853,3,0.0761,0.0,2,1,1,0,0,1,0,0,557.0,AX
2023-05-01,0.0076,0.0119,2,0.0084,0.0,0,0,0,0,0,0,0,0,485.0,AX
2023-05-05,-0.125,,1,0.125,0.0,0,1,0,0,0,0,0,0,158.0,AX
2023-05-07,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,136.0,AX
2023-05-21,0.6971,,1,0.6971,0.0,0,1,0,0,0,0,0,0,217.0,AX
2023-06-01,0.2884,,1,0.2884,0.0,1,0,0,0,0,0,0,0,318.0,AX
2023-06-02,0.0333,,1,0.0333,0.0,0,0,1,0,0,0,0,0,187.0,AX
2023-06-07,0.0595,,1,0.0595,0.0,1,1,0,0,0,0,0,0,267.0,AX
2023-06-15,0.2202,,1,0.2202,0.0,0,0,0,0,0,0,0,0,193.0,AX
2023-06-19,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,201.0,AX
2023-06-20,0.1933,0.2734,2,0.1933,0.0,1,1,0,0,0,0,0,0,190.0,AX
2023-06-22,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,239.0,AX
2023-06-23,0.0829,0.1066,3,0.0829,0.0667,1,0,0,0,1,0,0,0,235.0,AX
2023-06-24,0.3619,,1,0.3619,0.0,0,0,1,0,0,0,0,0,126.0,AX
2023-06-26,0.4167,,1,0.4167,0.0,0,0,0,0,0,1,0,0,233.0,AX
2023-06-27,0.2857,,1,0.2857,0.0,1,1,0,0,0,0,0,0,261.0,AX
2023-07-20,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,239.0,AX
2023-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,AX
2023-07-28,0.0667,0.0943,2,0.0667,0.0,1,0,1,0,0,0,0,0,245.5,AX
2023-08-21,0.3458,,1,0.3458,0.0,0,1,0,0,0,0,0,0,182.0,AX
2023-08-22,0.3111,,1,0.3111,0.0,0,1,0,0,0,0,0,0,172.0,AX
2023-08-26,0.48,,1,0.48,0.0,0,0,0,0,0,0,0,0,128.0,AX
2023-08-27,0.375,,1,0.375,0.0,1,1,0,0,0,0,0,0,185.0,AX
2023-09-03,0.1083,,1,0.1083,0.0,0,1,0,0,0,0,0,0,203.0,AX
2023-09-06,0.1292,,1,0.1292,0.0,1,0,0,0,0,0,0,0,221.0,AX
2023-09-26,0.356,,1,0.356,0.0,0,0,0,0,0,0,0,0,168.0,AX
2023-10-03,0.0314,,1,0.0314,0.0,0,0,0,0,0,0,0,0,201.0,AX
2023-10-04,0.04,0.0566,2,0.04,0.0,0,1,0,0,0,0,1,0,165.0,AX
2023-10-05,0.1016,0.1437,2,0.1016,0.0,1,0,0,0,1,0,0,0,249.0,AX
2023-10-11,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,172.0,AX
2023-10-19,0.0085,0.0626,2,0.0442,0.0,2,1,0,0,0,0,0,0,238.0,AX
2023-10-20,0.1444,,1,0.1444,0.0,1,0,0,0,0,0,0,0,200.0,AX
2023-10-24,-0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,163.0,AX
2023-10-26,0.05,0.0707,2,0.05,0.0,2,0,0,0,0,0,0,0,281.5,AX
2023-10-30,0.225,,1,0.225,0.0,0,1,0,0,0,0,0,0,967.0,AX
2023-11-14,0.236,,1,0.236,0.0,1,0,0,0,0,0,0,0,1020.0,AX
2023-12-08,0.0872,0.0121,2,0.0872,0.0,2,1,0,0,0,2,0,0,1479.0,AX
2023-12-11,0.0389,0.055,2,0.0389,0.0,1,1,0,0,0,0,0,0,256.0,AX
2023-12-17,0.75,,1,0.75,0.0,0,1,0,0,0,0,0,0,182.0,AX
2023-12-28,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,255.0,AX
2024-01-03,0.0682,0.0964,2,0.0682,0.0,0,0,0,1,2,0,1,0,168.0,AX
2024-01-04,0.1429,,1,0.1429,0.0,1,0,0,0,0,0,0,0,260.0,AX
2024-01-25,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,254.0,AX
2024-01-30,0.1333,,1,0.1333,0.0,1,0,0,0,0,0,0,0,332.0,AX
2024-01-31,0.125,0.1768,2,0.125,0.0,2,1,1,0,0,0,0,0,424.5,AX
2024-02-02,0.0406,,1,0.0406,0.0,0,1,0,0,0,0,0,0,140.0,AX
2024-02-07,0.26,,1,0.26,0.0,1,1,0,0,0,0,0,0,198.0,AX
2024-02-14,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,216.0,AX
2024-02-15,0.0485,0.0686,2,0.0485,0.1,1,1,1,1,0,0,0,0,662.0,AX
2024-02-20,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,41.0,AX
2024-02-22,0.1645,,1,0.1645,0.0,0,0,0,0,0,0,0,0,224.0,AX
2024-02-27,0.5,,1,0.5,0.0,0,0,0,0,0,0,1,0,164.0,AX
2024-03-01,0.0282,0.0537,3,0.0319,0.0,0,0,1,1,0,0,1,0,538.0,AX
2024-03-06,-0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,232.0,AX
