date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-09-29,0.1121,,1,0.1121,0.0,0,0,0,0,0,0,0,0,98.0,AYI
2020-10-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,AYI
2020-12-31,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,104.0,AYI
2021-01-09,0.2732,,1,0.2732,0.0,0,0,0,0,0,0,0,0,118.0,AYI
2021-03-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,108.0,AYI
2021-04-16,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,98.0,AYI
2021-04-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,94.0,AYI
2021-04-28,0.197,0.0429,2,0.197,0.0,0,1,0,0,0,0,0,0,165.5,AYI
2021-04-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,205.0,AYI
2021-05-10,0.1723,0.0628,2,0.1723,0.0,1,1,1,0,0,0,1,0,13535.5,AYI
2021-05-15,0.3063,,1,0.3063,0.0,0,0,0,0,0,0,0,0,184.0,AYI
2021-05-17,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,138.0,AYI
2021-05-19,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,151.0,AYI
2021-06-07,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,196.0,AYI
2021-06-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,1,0,260.0,AYI
2021-06-24,0.0963,0.1334,4,0.1263,0.0,3,0,0,0,1,0,0,0,217.75,AYI
2021-06-25,0.0,0.1768,2,0.125,0.0,0,0,0,0,0,0,0,0,182.5,AYI
2021-06-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,AYI
2021-06-28,0.2167,,1,0.2167,0.0,1,0,0,0,0,0,1,0,157.0,AYI
2021-06-29,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,211.0,AYI
2021-07-01,0.0081,0.0141,3,0.0081,0.0,3,0,0,0,1,0,0,0,598.6667,AYI
2021-07-02,-0.1556,,1,0.1556,0.0,1,0,0,0,1,0,0,0,190.0,AYI
2021-07-05,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,1,0,175.0,AYI
2021-07-15,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,191.0,AYI
2021-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,215.0,AYI
2021-08-10,0.3,,1,0.3,0.0,0,0,0,0,0,0,1,0,524.0,AYI
2021-09-15,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,481.0,AYI
2021-09-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,457.0,AYI
2021-09-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,1,0,309.0,AYI
2021-09-29,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,265.0,AYI
2021-10-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,172.0,AYI
2021-10-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,AYI
2021-10-06,0.1006,0.1927,7,0.1041,0.0,6,1,0,0,2,0,1,0,471.1429,AYI
2021-10-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,77.0,AYI
2021-10-21,0.4667,,1,0.4667,0.0,1,0,0,0,0,0,0,0,164.0,AYI
2021-10-26,0.2167,,1,0.2167,0.0,0,1,0,0,0,0,0,0,196.0,AYI
2021-10-27,0.1715,0.1983,5,0.1715,0.0,2,5,0,0,0,0,0,0,214.0,AYI
2021-11-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,204.0,AYI
2021-11-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,315.0,AYI
2021-12-16,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,472.0,AYI
2021-12-22,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,252.0,AYI
2021-12-29,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,167.0,AYI
2021-12-31,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,245.0,AYI
2022-01-03,0.0436,0.1429,4,0.1013,0.0,3,0,0,0,0,0,0,0,221.0,AYI
2022-01-04,0.0505,0.0714,2,0.0505,0.0,2,1,0,0,0,0,0,0,363.5,AYI
2022-01-05,0.0933,0.0094,2,0.0933,0.0,1,0,1,0,0,0,0,0,208.0,AYI
2022-01-06,0.0,,1,0.0,0.0,0,0,0,0,0,1,1,0,310.0,AYI
2022-01-07,0.1876,0.2334,7,0.1973,0.0286,6,0,0,1,2,0,0,0,667.5714,AYI
2022-01-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,75.0,AYI
2022-01-12,0.2754,0.3177,2,0.2754,0.0,0,1,0,0,1,0,1,0,159.5,AYI
2022-01-14,0.2143,,1,0.2143,0.0,0,0,0,1,0,0,0,0,192.0,AYI
2022-01-19,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,187.0,AYI
2022-01-31,0.0719,,1,0.0719,0.0,1,1,0,0,0,0,0,0,318.0,AYI
2022-03-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,AYI
2022-03-07,0.15,,1,0.15,0.0,0,0,1,0,0,0,0,0,235.0,AYI
2022-03-14,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,466.0,AYI
2022-03-17,0.2967,0.3347,2,0.2967,0.0,0,0,0,0,0,0,0,0,617.5,AYI
2022-03-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,240.0,AYI
2022-03-31,0.1071,0.1515,2,0.1071,0.0,1,0,0,0,0,1,1,0,277.0,AYI
2022-04-01,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,204.0,AYI
2022-04-04,0.0312,0.0442,2,0.0312,0.0,2,0,1,0,0,0,0,0,178.5,AYI
2022-04-05,0.1324,0.1807,7,0.1383,0.0,5,0,3,0,1,0,0,0,411.4286,AYI
2022-04-13,0.5111,,1,0.5111,0.0,0,0,0,0,0,0,0,0,213.0,AYI
2022-04-22,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,168.0,AYI
2022-04-26,0.3125,,1,0.3125,0.0,1,0,1,0,0,0,0,0,198.0,AYI
2022-06-02,0.1333,0.1886,2,0.1333,0.0,1,1,0,0,1,0,0,0,337.0,AYI
2022-06-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,280.0,AYI
2022-06-24,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,260.0,AYI
2022-06-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,1,0,303.0,AYI
2022-06-30,0.2222,0.2341,3,0.2222,0.0,2,0,0,0,0,0,1,0,380.3333,AYI
2022-07-01,0.1981,,1,0.1981,0.0,1,0,0,0,0,0,0,0,172.0,AYI
2022-07-21,0.4556,,1,0.4556,0.0,0,0,0,0,0,0,0,0,228.0,AYI
2022-07-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,203.0,AYI
2022-07-27,0.2481,0.2267,3,0.2481,0.0,2,0,1,0,0,0,0,0,192.0,AYI
2022-07-28,0.16,,1,0.16,0.0,1,0,1,0,0,0,0,0,179.0,AYI
2022-08-01,0.1833,,1,0.1833,0.0,0,1,0,0,0,0,1,0,762.0,AYI
2022-08-09,-0.1556,,1,0.1556,0.0,1,0,1,0,0,0,0,0,169.0,AYI
2022-08-26,0.5089,,1,0.5089,0.0,0,0,0,0,0,0,0,0,248.0,AYI
2022-08-29,0.5,,1,0.5,0.0,0,0,0,0,1,0,1,0,182.0,AYI
2022-09-05,0.4294,0.3042,2,0.4294,0.0,1,0,0,0,0,0,0,0,241.5,AYI
2022-09-07,0.0667,,1,0.0667,0.0,0,1,0,0,0,0,0,0,675.0,AYI
2022-09-08,0.175,,1,0.175,0.0,1,0,0,0,1,0,0,0,493.0,AYI
2022-09-12,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,261.0,AYI
2022-09-20,-0.0875,0.3005,2,0.2125,0.0,1,0,0,0,0,0,0,0,219.0,AYI
2022-09-22,0.1025,0.0318,2,0.1025,0.0,2,0,1,0,1,0,0,0,212.5,AYI
2022-09-27,-0.0291,0.122,2,0.0863,0.0,2,0,0,0,0,0,0,0,229.5,AYI
2022-09-29,0.1,0.1414,2,0.1,0.0,0,0,0,0,0,1,2,0,459.0,AYI
2022-09-30,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,261.0,AYI
2022-10-04,0.3029,0.1718,6,0.3029,0.0,4,1,2,0,0,0,0,0,544.8333,AYI
2022-10-06,0.1981,,1,0.1981,0.0,1,0,0,0,0,0,0,0,187.0,AYI
2022-10-19,0.4667,,1,0.4667,0.0,0,1,0,0,0,0,0,0,238.0,AYI
2022-10-21,0.3417,0.1296,2,0.3417,0.0,2,0,0,0,0,0,0,0,189.5,AYI
2022-10-24,0.0487,0.1172,3,0.0887,0.0,1,0,0,0,0,0,0,0,178.0,AYI
2022-10-25,-0.03,0.0424,2,0.03,0.0,1,0,0,0,0,0,0,0,159.0,AYI
2022-10-26,0.0347,0.0177,2,0.0347,0.0,2,0,0,0,0,0,0,0,200.5,AYI
2022-11-09,0.2378,,1,0.2378,0.0,0,1,0,0,0,0,0,0,194.0,AYI
2022-11-17,0.3,,1,0.3,0.0,0,0,0,0,0,0,1,0,518.0,AYI
2022-11-29,-0.0222,,1,0.0222,0.0,0,1,0,0,0,0,0,0,214.0,AYI
2022-11-30,-0.0853,,1,0.0853,0.0,0,0,0,0,0,0,0,0,221.0,AYI
2022-12-01,0.211,,1,0.211,0.0,0,0,0,0,0,0,0,0,185.0,AYI
2022-12-02,0.4,,1,0.4,0.0,0,0,0,0,0,1,0,0,182.0,AYI
2022-12-05,0.4333,,1,0.4333,0.0,0,0,0,0,0,1,0,0,156.0,AYI
2022-12-06,0.125,0.1768,2,0.125,0.0,1,1,0,0,1,0,0,0,319.5,AYI
2022-12-16,-0.0278,0.0336,3,0.0278,0.0,1,1,2,0,0,0,0,0,2936.0,AYI
2023-01-02,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,243.0,AYI
2023-01-03,0.1444,,1,0.1444,0.0,1,0,1,0,0,0,0,0,177.0,AYI
2023-01-05,0.1071,0.1515,2,0.1071,0.0,2,0,0,0,0,0,0,0,229.0,AYI
2023-01-06,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,260.0,AYI
2023-01-09,0.1726,0.1544,7,0.1877,0.0,6,3,3,0,1,0,0,0,730.0,AYI
2023-01-10,0.375,,1,0.375,0.0,1,0,0,0,0,0,0,0,184.0,AYI
2023-01-12,0.0472,,1,0.0472,0.0,1,0,0,0,0,0,0,0,198.0,AYI
2023-01-24,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,205.0,AYI
2023-01-26,0.0097,0.1905,2,0.1347,0.0,1,0,0,0,0,1,1,0,301.0,AYI
2023-01-27,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,163.0,AYI
2023-02-02,0.4778,,1,0.4778,0.0,0,0,0,0,0,0,0,0,193.0,AYI
2023-02-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,195.0,AYI
2023-03-01,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,466.0,AYI
2023-03-06,0.3444,,1,0.3444,0.0,0,0,0,0,0,0,0,0,211.0,AYI
2023-03-28,0.16,,1,0.16,0.0,0,0,0,0,1,0,0,0,208.0,AYI
2023-03-30,0.0,,1,0.0,0.0,0,0,0,0,0,1,1,0,301.0,AYI
2023-03-31,0.3797,0.1712,3,0.3797,0.0,2,0,0,0,0,0,0,0,234.6667,AYI
2023-04-03,0.0292,0.112,2,0.0792,0.0,2,0,1,0,0,0,0,0,237.0,AYI
2023-04-04,0.0654,0.1919,8,0.1051,0.0,6,1,6,0,2,0,0,1,727.5,AYI
2023-04-05,0.145,0.1485,2,0.145,0.0,1,0,1,0,0,0,0,0,284.5,AYI
2023-04-11,0.1008,0.0084,2,0.1008,0.0,0,0,1,0,0,0,0,0,625.0,AYI
2023-04-13,0.16,,1,0.16,0.0,0,1,0,0,1,0,0,0,223.0,AYI
2023-04-14,0.1611,0.2278,2,0.1611,0.0,0,1,0,0,0,0,0,0,206.5,AYI
2023-04-17,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,229.0,AYI
2023-04-19,0.3222,,1,0.3222,0.0,0,0,0,0,0,0,0,0,203.0,AYI
2023-04-20,0.1667,,1,0.1667,0.0,1,0,1,0,0,0,0,0,219.0,AYI
2023-04-21,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,183.0,AYI
2023-04-26,0.2049,0.2619,3,0.2049,0.0,3,0,0,0,0,0,0,0,178.6667,AYI
2023-04-28,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,171.0,AYI
2023-05-04,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,196.0,AYI
2023-05-05,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,181.0,AYI
2023-05-11,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,172.0,AYI
2023-05-18,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,185.0,AYI
2023-05-19,0.1033,,1,0.1033,0.0,0,1,0,0,0,0,0,0,338.0,AYI
2023-05-25,0.0389,0.055,2,0.0389,0.0,1,0,0,0,1,0,0,0,318.5,AYI
2023-05-31,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,188.0,AYI
2023-06-01,0.2889,0.2986,2,0.2889,0.0,0,0,0,0,0,0,1,0,173.0,AYI
