title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Here's What Could Help AZZ (AZZ) Maintain Its Recent Price Strength,"If you are looking for stocks that are well positioned to maintain their recent uptrend, AZZ (AZZ) could be a great choice. It is one of the several stocks that passed through our ""Recent Price Strength"" screen.",2021-04-23 13:21:00+00:00,http://www.zacks.com/stock/news/1441516/heres-what-could-help-azz-azz-maintain-its-recent-price-strength?cid=CS-ZC-FT-tale_of_the_tape|recent_price_strength_screen-1441516,Zacks Investment Research,0.16,0.3,positive,0.16,False,False,False,False,False,False,False,False,0.0,280,['AZZ'],AZZ,2021-04-23
AZZ (AZZ) Upgraded to Buy: Here's Why,"AZZ (AZZ) has been upgraded to a Zacks Rank #2 (Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term.",2021-04-23 16:00:05+00:00,http://www.zacks.com/stock/news/1442205/azz-azz-upgraded-to-buy-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_12_zacks_rank_upgrade-1442205,Zacks Investment Research,-0.15000000000000002,0.6,negative,0.15000000000000002,True,True,False,False,False,False,False,False,0.0,212,['AZZ'],AZZ,2021-04-23
AZZ Inc (AZZ) Q4 2021 Earnings Call Transcript,"AZZ earnings call for the period ending February 28, 2021.",2021-04-23 19:30:46+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/23/azz-inc-azz-q4-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,106,['AZZ'],AZZ,2021-04-23
What Does AZZ's Debt Look Like?,"Shares of AZZ (NYSE:AZZ) moved higher by 7.04% in the past three months. Before having a look at the importance of debt, let us look at how much debt AZZ has.
AZZ's Debt
Based on AZZ's balance sheet as of April 23, 2021, long-term debt is at $178.42 million and current debt is at $0.00, amounting to $178.42 million in total debt. Adjusted for $14.84 million in cash-equivalents, the company's net debt is at $163.58 million.
Let's define some of the terms we used in the paragraph above. Current debt is the portion of a company's debt which is due within 1 year, while long-term debt is ...Full story available on Benzinga.com",2021-04-26 13:53:24+00:00,https://www.benzinga.com/news/21/04/20791717/what-does-azzs-debt-look-like,Benzinga,0.0475,0.3375,neutral,0.0475,False,False,False,False,False,True,False,False,0.0,662,['AZZ'],AZZ,2021-04-26
U.S. Durable Goods Orders Jump in March: 5 Stocks to Buy,"Steady rise in durable goods orders has been helping companies like Kulicke and Soffa Industries, Inc. (KLIC), Dover Corporation (DOV and Deere & Company (DE)",2021-04-27 10:15:00+00:00,http://www.zacks.com/stock/news/1460922/us-durable-goods-orders-jump-in-march-5-stocks-to-buy?cid=CS-ZC-FT-analyst_blog|investment_ideas-1460922,Zacks Investment Research,0.16666666666666666,0.5,positive,0.16666666666666666,False,True,False,False,False,False,False,False,0.0,216,"['DE', 'GGG', 'AZZ', 'DOV', 'KLIC']",AZZ,2021-04-27
Eaton (ETN) to Buy 50% of Jiangsu YiNeng's Busway Business,Eaton (ETN) is set to further expand operations in the power distribution business through the acquisition of a 50% interest in Jiangsu YiNeng Electric's busway business.,2021-04-27 12:12:00+00:00,http://www.zacks.com/stock/news/1461180/eaton-etn-to-buy-50-of-jiangsu-yinengs-busway-business?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1461180,Zacks Investment Research,0.0,0.5,neutral,0.0,False,True,False,False,False,False,False,False,0.0,230,"['ESE', 'ABB', 'AZZ', 'ETN']",AZZ,2021-04-27
Is AZZ (AZZ) Stock Undervalued Right Now?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",2021-04-27 15:50:11+00:00,http://www.zacks.com/stock/news/1462188/is-azz-azz-stock-undervalued-right-now?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_2-1462188,Zacks Investment Research,0.24380952380952378,0.7638095238095238,positive,0.24380952380952378,True,False,False,False,False,False,False,False,0.0,306,['AZZ'],AZZ,2021-04-27
"The Zacks Analyst Blog Highlights: Kulicke and Soffa Industries, Dover Corp, AZZ, Graco and Deere & Co","The Zacks Analyst Blog Highlights: Kulicke and Soffa Industries, Dover Corp, AZZ, Graco and Deere & Co",2021-04-28 10:42:00+00:00,http://www.zacks.com/stock/news/1466179/the-zacks-analyst-blog-highlights-kulicke-and-soffa-industries-dover-corp-azz-graco-and-deere-co?cid=CS-ZC-FT-press_releases-1466179,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,206,"['DE', 'GGG', 'AZZ', 'DOV', 'KLIC']",AZZ,2021-04-28
Tap These 5 Bargain Stocks With Alluring EV-to-EBITDA Ratios,"We have screened bargain stocks MT, UNFI, HUN, AZZ and GMS based on EV-to-EBITDA ratio that offers a clearer picture of valuation and earnings potential.",2021-04-28 13:38:00+00:00,http://www.zacks.com/stock/news/1467310/tap-these-5-bargain-stocks-with-alluring-ev-to-ebitda-ratios?cid=CS-ZC-FT-analyst_blog|rw-1467310,Zacks Investment Research,0.05,0.5,neutral,0.05,True,False,False,False,False,False,False,False,0.0,215,"['MT', 'AZZ', 'UNFI', 'HUN', 'GMS']",AZZ,2021-04-28
"Zacks.com featured highlights include: ArcelorMittal, AZZ, United Natural Foods, Huntsman Corp and GMS","Zacks.com featured highlights include: ArcelorMittal, AZZ, United Natural Foods, Huntsman Corp and GMS",2021-04-29 11:12:00+00:00,http://www.zacks.com/stock/news/1472235/zackscom-featured-highlights-include-arcelormittal-azz-united-natural-foods-huntsman-corp-and-gms?cid=CS-ZC-FT-press_releases-1472235,Zacks Investment Research,0.1,0.4,neutral,0.1,False,False,False,False,False,False,False,False,0.0,206,"['MT', 'AZZ', 'UNFI', 'HUN', 'GMS']",AZZ,2021-04-29
