date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,0.2571,0.0606,2,0.2571,0.0,2,0,0,0,0,0,0,0,197.0,BAX
2021-04-27,0.0696,0.0985,2,0.0696,0.1,1,0,0,0,1,0,0,0,1671.5,BAX
2021-04-29,0.0556,0.0962,3,0.0556,0.0,3,0,0,0,0,0,0,0,174.6667,BAX
2021-06-01,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,172.0,BAX
2021-06-07,0.0432,,1,0.0432,0.0,0,0,0,0,0,0,1,0,206.0,BAX
2021-06-09,0.1136,,1,0.1136,0.0,0,0,0,0,0,0,0,0,184.0,BAX
2021-06-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,1,0,260.0,BAX
2021-06-17,0.125,0.1768,2,0.125,0.0,0,0,1,0,0,0,0,0,190.5,BAX
2021-06-21,0.1928,,1,0.1928,0.0,1,0,0,0,0,0,0,0,1762.0,BAX
2021-06-29,0.0724,0.0788,3,0.0809,0.0,0,0,0,0,1,0,0,0,306.0,BAX
2021-06-30,-0.0077,0.0109,2,0.0077,0.0,0,0,1,0,1,0,0,0,205.0,BAX
2021-07-02,0.0839,0.0833,2,0.0839,0.0,0,0,0,0,1,0,0,0,181.0,BAX
2021-07-05,-0.0152,,1,0.0152,0.0,0,1,0,0,0,0,0,0,237.0,BAX
2021-07-06,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,218.0,BAX
2021-07-07,0.2684,0.165,5,0.2684,0.0,0,1,1,0,1,1,0,0,171.4,BAX
2021-07-08,0.128,0.2218,3,0.128,0.0,0,1,0,0,0,0,0,0,183.6667,BAX
2021-07-09,0.1333,0.0471,2,0.1333,0.0,0,0,0,0,0,0,0,0,216.5,BAX
2021-07-13,0.0875,0.1237,2,0.0875,0.0,1,0,0,0,0,0,0,0,204.5,BAX
2021-07-22,0.0265,,1,0.0265,0.0,1,0,0,0,1,0,0,0,259.0,BAX
2021-07-23,0.3,,1,0.3,0.0,1,0,1,0,0,0,0,0,157.0,BAX
2021-07-28,0.1417,0.0966,4,0.1417,0.0,2,1,1,0,0,0,0,0,224.5,BAX
