date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-01-09,0.2732,,1,0.2732,0.0,0,0,0,0,0,0,0,0,118.0,BB
2021-01-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,94.0,BB
2021-01-20,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,102.0,BB
2021-01-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,BB
2021-01-28,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,124.0,BB
2021-03-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,52.0,BB
2021-04-27,0.24,,1,0.24,0.0,0,0,0,0,0,0,0,0,253.0,BB
2021-04-28,0.24,,1,0.24,0.0,0,0,0,0,0,0,0,0,411.0,BB
2021-04-29,0.0964,0.1364,2,0.0964,0.0,1,1,0,0,0,0,0,0,513.5,BB
2021-05-04,0.1467,,1,0.1467,0.0,0,0,0,0,0,0,0,0,178.0,BB
2021-05-12,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,192.0,BB
2021-05-13,0.0267,,1,0.0267,0.0,0,0,0,0,0,0,0,0,176.0,BB
2021-05-17,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,255.0,BB
2021-05-18,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,254.0,BB
2021-05-21,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,118.0,BB
2021-05-24,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,171.0,BB
2021-05-26,0.1161,,1,0.1161,0.0,0,0,0,0,0,0,0,0,154.0,BB
2021-05-27,0.4152,,1,0.4152,0.0,1,1,0,0,0,0,0,0,1391.0,BB
2021-05-28,0.1374,0.0726,3,0.1374,0.0,1,2,0,0,0,0,0,0,1083.0,BB
2021-05-29,-0.0508,,1,0.0508,0.0,0,0,1,0,0,0,0,0,180.0,BB
2021-05-30,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,66.0,BB
2021-06-01,0.2232,0.1745,2,0.2232,0.0,2,2,0,0,0,0,0,0,1410.0,BB
2021-06-02,0.0949,0.1089,9,0.0949,0.0,1,2,2,0,1,0,0,0,760.4444,BB
2021-06-03,0.132,0.1914,10,0.194,0.02,3,3,2,0,1,0,0,2,843.4,BB
2021-06-04,0.0888,0.0882,4,0.0888,0.05,0,1,0,0,0,0,0,0,354.75,BB
2021-06-05,0.3566,0.1119,4,0.3566,0.0,0,0,0,0,1,0,0,0,215.25,BB
2021-06-07,0.1081,0.0893,6,0.1081,0.0667,2,2,2,0,0,0,1,0,961.1667,BB
2021-06-08,0.1773,0.1172,9,0.1773,0.0,0,1,3,0,1,0,0,0,338.0,BB
2021-06-09,0.052,0.3515,6,0.2728,0.0,0,0,2,0,0,0,0,0,408.3333,BB
2021-06-10,0.0978,0.115,4,0.1268,0.0,0,0,2,0,0,0,0,0,502.25,BB
2021-06-11,0.1021,0.0966,3,0.1062,0.0,1,0,1,0,0,0,1,0,432.3333,BB
2021-06-12,0.0694,0.1655,3,0.1472,0.0,0,0,0,0,0,0,0,0,208.3333,BB
2021-06-14,0.1476,0.0649,3,0.1476,0.0,0,0,0,0,0,0,0,0,367.6667,BB
2021-06-15,0.0484,0.1091,3,0.0998,0.0,1,0,2,0,0,0,0,0,693.3333,BB
2021-06-16,0.0827,0.1546,4,0.0827,0.0,0,0,0,0,0,1,0,0,302.75,BB
2021-06-17,0.0394,0.1972,2,0.1394,0.0,0,1,0,0,0,0,0,0,450.5,BB
2021-06-18,0.1934,0.0702,4,0.1934,0.0,0,0,0,1,2,0,2,0,543.25,BB
2021-06-19,0.08,0.1131,2,0.08,0.0,0,0,0,0,0,0,0,0,103.5,BB
2021-06-20,0.1,0.1414,2,0.1,0.0,0,0,1,0,0,0,0,0,134.0,BB
2021-06-21,0.1128,0.1025,5,0.1128,0.0,3,1,2,0,2,0,0,0,585.4,BB
2021-06-22,0.1192,0.1623,6,0.1633,0.0,1,0,1,0,0,0,0,0,276.6667,BB
2021-06-23,0.0254,,1,0.0254,0.0,1,0,1,0,0,0,0,0,796.0,BB
2021-06-24,-0.0015,0.0834,8,0.0505,0.025,4,0,2,0,1,0,0,0,249.875,BB
