date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,246.0,BCOR
2021-05-05,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,167.5,BCOR
2021-06-13,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,BCOR
2021-07-07,0.4833,0.0236,2,0.4833,0.0,0,1,0,0,0,0,0,0,122.0,BCOR
2021-07-08,0.2667,,1,0.2667,0.0,1,0,0,0,0,0,0,0,233.0,BCOR
2021-07-09,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,BCOR
2021-07-13,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,0,148.0,BCOR
2021-07-15,0.0444,,1,0.0444,0.0,0,1,0,0,0,0,0,0,149.0,BCOR
2021-07-20,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,0,147.0,BCOR
2021-07-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,308.0,BCOR
2021-07-22,0.0222,0.0314,2,0.0222,0.0,0,1,0,0,0,0,0,0,156.5,BCOR
2021-07-26,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,BCOR
2021-07-27,0.1426,0.2562,3,0.1759,0.0,1,1,1,0,0,0,0,0,163.6667,BCOR
2021-07-28,0.0746,0.0847,3,0.0746,0.0,3,0,1,0,0,0,0,0,206.0,BCOR
2021-07-29,0.4333,,1,0.4333,0.0,1,0,1,0,0,0,0,0,169.0,BCOR
2021-08-03,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,0,151.0,BCOR
2021-08-04,0.0468,0.0936,4,0.0468,0.0,3,1,1,0,1,0,0,0,220.75,BCOR
2021-08-05,0.35,,1,0.35,0.0,1,0,0,0,0,0,0,0,259.0,BCOR
2021-08-06,0.2333,0.0943,2,0.2333,0.0,1,0,1,0,0,0,0,0,190.0,BCOR
2021-08-09,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,277.0,BCOR
2021-08-11,-0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,153.0,BCOR
2021-09-23,0.3839,,1,0.3839,0.0,0,0,0,0,0,0,0,0,172.0,BCOR
2021-10-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,412.0,BCOR
2021-11-04,0.0,0.0,3,0.0,0.0,2,0,0,0,0,0,0,0,211.0,BCOR
2021-11-10,-0.009,,1,0.009,0.0,1,0,0,0,0,0,0,0,359.0,BCOR
2021-12-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,302.0,BCOR
2022-01-20,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,208.0,BCOR
2022-02-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,389.0,BCOR
2022-02-15,0.25,,1,0.25,0.0,1,0,1,0,0,0,0,0,178.0,BCOR
2022-02-16,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,303.0,BCOR
2022-02-21,0.0351,0.0623,2,0.0441,0.0,2,1,0,0,0,0,0,0,290.0,BCOR
2022-02-23,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,186.0,BCOR
2022-03-09,-0.0525,,1,0.0525,0.0,1,0,0,0,0,0,0,0,369.0,BCOR
