title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Blucora (BCOR) Earnings Expected to Grow: What to Know Ahead of Q1 Release,Blucora (BCOR) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-28 16:34:32+00:00,http://www.zacks.com/stock/news/1468182/blucora-bcor-earnings-expected-to-grow-what-to-know-ahead-of-q1-release?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1468182,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,False,False,False,True,False,False,False,0.0,246,['BCOR'],BCOR,2021-04-28
Blucora (BCOR) Q1 Earnings Top Estimates,"Blucora (BCOR) delivered earnings and revenue surprises of 8.33% and -0.42%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-05 11:50:05+00:00,http://www.zacks.com/stock/news/1503846/blucora-bcor-q1-earnings-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1503846,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,226,['BCOR'],BCOR,2021-05-05
Blucora Inc (BCOR) Q1 2021 Earnings Call Transcript,"BCOR earnings call for the period ending March 31, 2021.",2021-05-05 15:00:49+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/05/blucora-inc-bcor-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,109,['BCOR'],BCOR,2021-05-05
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-06-13 11:35:59+00:00,https://seekingalpha.com/article/4434520-wall-street-breakfast-week-ahead,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['HRB', 'LZB', 'ORCL', 'JEF', 'LEN', 'JBL', 'KR', 'ADBE', 'SWBI', 'OTLY', 'PCOR', 'BCAB', 'UPST', 'VIRI', 'MDWT', 'MASS', 'HOME', 'NUAN', 'MSFT', 'PRAH', 'GRUB', 'RIDE', 'GOEV', 'ARVL', 'SONY', 'ATVI', 'HLIT', 'ZI', 'EQNR', 'BCOR', 'HLIO', 'UPWK', 'PACX', 'TSM', 'BIIB', 'LLY']",BCOR,2021-06-13
Top Ranked Growth Stocks to Buy for July 7th,Top Ranked Growth Stocks to Buy for July 7th,2021-07-07 14:23:00+00:00,https://www.zacks.com/commentary/1758577/top-ranked-growth-stocks-to-buy-for-july-7th,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,90,"['M', 'JBL', 'EQNR', 'BCOR']",BCOR,2021-07-07
3 Reasons Why Blucora (BCOR) Is a Great Growth Stock,"Blucora (BCOR) possesses solid growth attributes, which could help it handily outperform the market.",2021-07-07 16:45:05+00:00,https://www.zacks.com/stock/news/1758763/3-reasons-why-blucora-bcor-is-a-great-growth-stock,Zacks Investment Research,0.4666666666666666,0.5833333333333334,positive,0.4666666666666666,False,False,False,False,False,False,False,False,0.0,154,['BCOR'],BCOR,2021-07-07
Here's Why Momentum in Blucora (BCOR) Should Keep going,"Blucora (BCOR) made it through our ""Recent Price Strength"" screen and could be a great choice for investors looking to make a profit from stocks that are currently on the move.",2021-07-08 12:50:07+00:00,https://www.zacks.com/stock/news/1759026/heres-why-momentum-in-blucora-bcor-should-keep-going,Zacks Investment Research,0.26666666666666666,0.4666666666666666,positive,0.26666666666666666,True,False,False,False,False,False,False,False,0.0,233,['BCOR'],BCOR,2021-07-08
BCOR vs. TIXT: Which Stock Should Value Investors Buy Now?,BCOR vs. TIXT: Which Stock Is the Better Value Option?,2021-07-09 15:40:11+00:00,https://www.zacks.com/stock/news/1759778/bcor-vs-tixt-which-stock-should-value-investors-buy-now,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,114,"['BCOR', 'TIXT']",BCOR,2021-07-09
Top Ranked Growth Stocks to Buy for July 13th,"TPX, BCOR, DG, and EQNR made it to the Zacks Rank #1 (Strong Buy) growth stocks list on July 13, 2021",2021-07-13 14:02:00+00:00,https://www.zacks.com/commentary/1760793/top-ranked-growth-stocks-to-buy-for-july-13th,Zacks Investment Research,0.03333333333333331,0.5333333333333333,neutral,0.03333333333333331,False,True,False,False,False,False,False,False,0.0,148,"['DG', 'TPX', 'BCOR', 'EQNR']",BCOR,2021-07-13
Top Ranked Growth Stocks to Buy for July 15th,"BCOR, TPX, VALE, and KMX made it to the Zacks Rank #1 (Strong Buy) growth stocks list on July 15, 2021",2021-07-15 13:54:00+00:00,https://www.zacks.com/commentary/1762002/top-ranked-growth-stocks-to-buy-for-july-15th,Zacks Investment Research,0.04444444444444442,0.7111111111111111,neutral,0.04444444444444442,False,True,False,False,False,False,False,False,0.0,149,"['VALE', 'KMX', 'TPX', 'BCOR']",BCOR,2021-07-15
