date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2024-07-02,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,467.0,BEPJ
2024-07-04,0.3215,0.1837,2,0.3215,0.0,0,2,1,1,0,2,0,0,420.0,BEPJ
2024-07-08,0.1444,,1,0.1444,0.0,0,1,0,0,0,1,0,0,417.0,BEPJ
2024-07-20,0.3338,,1,0.3338,0.0,1,1,0,0,0,1,0,0,390.0,BEPJ
2024-08-04,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,396.0,BEPJ
2024-08-05,0.215,,1,0.215,0.2,0,0,0,0,0,0,0,0,424.0,BEPJ
2024-08-13,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,266.0,BEPJ
2024-08-22,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,350.0,BEPJ
2024-09-07,0.2933,,1,0.2933,0.0,0,1,0,0,0,1,0,0,285.0,BEPJ
2024-09-14,0.3375,,1,0.3375,0.0,0,0,0,0,1,1,0,0,334.0,BEPJ
2024-09-16,0.0837,,1,0.0837,0.0,0,1,0,0,0,1,0,0,333.0,BEPJ
2024-09-24,0.0917,0.1296,2,0.0917,0.0,0,1,0,0,0,0,0,0,360.5,BEPJ
2024-09-25,-0.0583,0.1233,3,0.075,0.0,0,0,0,0,0,2,0,0,294.6667,BEPJ
2024-09-27,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,290.0,BEPJ
2024-10-03,0.2556,,1,0.2556,0.0,0,1,0,0,0,1,0,0,397.0,BEPJ
2024-10-06,0.1333,,1,0.1333,0.0,0,1,0,0,0,1,0,0,464.0,BEPJ
2024-10-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,300.0,BEPJ
2024-10-10,0.3533,,1,0.3533,0.0,1,1,0,0,0,1,0,0,372.0,BEPJ
2024-10-13,0.375,,1,0.375,0.0,0,1,0,0,1,1,0,0,288.0,BEPJ
2024-10-17,0.5,,1,0.5,0.0,0,1,0,0,0,1,0,0,213.0,BEPJ
2024-10-19,0.4733,,1,0.4733,0.2,0,1,0,0,0,1,0,0,371.0,BEPJ
2024-10-20,0.2839,,1,0.2839,0.0,0,1,0,0,0,1,0,0,397.0,BEPJ
2024-10-30,0.0,,1,0.0,0.0,0,1,0,1,0,0,0,0,389.0,BEPJ
2024-11-08,0.195,,1,0.195,0.0,0,1,1,0,0,1,0,0,441.0,BEPJ
2024-11-23,0.0639,,1,0.0639,0.0,0,1,0,0,0,1,0,0,424.0,BEPJ
2024-11-25,-0.2,,1,0.2,0.0,0,1,1,0,0,0,0,0,502.0,BEPJ
2024-12-06,-0.0812,,1,0.0812,0.0,0,0,0,0,0,1,0,0,414.0,BEPJ
2024-12-17,0.1625,,1,0.1625,0.0,0,1,0,0,0,0,0,0,413.0,BEPJ
2024-12-20,0.0424,,1,0.0424,0.0,0,0,0,0,0,0,0,0,376.0,BEPJ
2024-12-22,0.5778,,1,0.5778,0.0,0,1,0,0,1,1,0,0,373.0,BEPJ
2024-12-24,0.2921,,1,0.2921,0.0,0,1,0,0,0,1,0,0,317.0,BEPJ
2024-12-26,0.2979,,1,0.2979,0.0,0,0,0,0,0,1,0,0,398.0,BEPJ
