date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-17,0.4952,,1,0.4952,0.0,0,0,0,0,0,0,0,0,119.0,BEP
2021-04-19,0.0,0.0,2,0.0,0.0,0,1,0,0,0,0,0,0,159.0,BEP
2021-04-22,0.3667,,1,0.3667,0.0,0,0,0,0,0,1,0,0,178.0,BEP
2021-04-25,0.0833,,1,0.0833,0.0,0,1,0,0,0,0,0,0,146.0,BEP
2021-04-29,0.378,0.0497,2,0.378,0.0,0,2,0,0,0,0,0,0,123.0,BEP
2021-04-30,0.35,,1,0.35,0.0,0,1,0,0,0,0,0,0,116.0,BEP
2021-05-03,0.75,,1,0.75,0.0,0,0,0,0,0,0,0,0,150.0,BEP
2021-05-04,0.2938,0.1562,2,0.2938,0.0,0,1,0,0,0,0,0,0,113.5,BEP
2021-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,130.0,BEP
2021-05-06,0.5071,,1,0.5071,0.0,0,1,0,0,0,0,0,0,174.0,BEP
2021-05-12,0.0649,,1,0.0649,0.0,0,0,0,0,0,0,0,0,1045.0,BEP
2021-05-14,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,125.0,BEP
2021-05-18,0.0902,,1,0.0902,0.0,0,0,0,0,0,0,0,0,142.0,BEP
2021-05-19,0.3667,,1,0.3667,0.0,0,0,1,0,0,0,0,0,139.0,BEP
2021-05-20,0.375,,1,0.375,0.0,0,0,0,0,0,1,0,0,147.0,BEP
2021-05-21,0.1976,0.2795,2,0.1976,0.0,0,1,0,0,0,0,0,0,98.5,BEP
2021-05-22,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,121.0,BEP
2021-05-26,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,70.0,BEP
2021-05-27,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,128.0,BEP
2021-05-29,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,112.0,BEP
2021-05-30,0.2397,,1,0.2397,0.0,0,1,0,0,0,1,0,0,137.0,BEP
2021-06-02,0.0052,0.0331,3,0.0219,0.0,0,1,0,0,0,1,0,0,143.0,BEP
2021-06-04,0.1591,,1,0.1591,0.0,0,0,1,0,0,0,0,0,212.0,BEP
2021-06-06,0.1948,,1,0.1948,0.0,0,1,0,0,0,1,0,0,132.0,BEP
2021-06-09,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,176.0,BEP
2021-06-12,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,110.0,BEP
2021-06-13,0.3219,0.3421,2,0.3219,0.0,0,1,0,0,0,2,0,0,106.0,BEP
2021-06-18,0.5063,,1,0.5063,0.0,0,1,0,0,0,1,0,0,116.0,BEP
2021-06-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,142.0,BEP
2021-06-20,1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,145.0,BEP
2021-06-21,0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,112.0,BEP
2021-06-25,0.5286,,1,0.5286,0.0,0,0,0,0,0,1,0,0,142.0,BEP
2021-06-26,0.1067,,1,0.1067,0.0,0,0,0,0,0,1,0,0,133.0,BEP
2021-06-28,0.3,,1,0.3,0.0,0,0,0,1,0,0,0,0,192.0,BEP
2021-07-02,0.3667,,1,0.3667,0.0,0,0,0,0,0,1,0,0,131.0,BEP
2021-07-05,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,267.0,BEP
