date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-03-23,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,128.0,BITC
2023-05-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,192.0,BITC
2023-05-02,0.3048,,1,0.3048,0.0,0,0,0,0,0,0,0,0,459.0,BITC
2023-10-30,0.2159,,1,0.2159,0.0,0,0,1,0,0,0,0,0,284.0,BITC
2023-10-31,0.2188,,1,0.2188,0.0,0,0,0,0,0,0,0,0,111.0,BITC
2023-11-16,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,175.0,BITC
2023-11-17,0.3167,,1,0.3167,0.0,0,0,0,0,0,0,0,0,501.0,BITC
2024-02-15,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,269.0,BITC
2024-02-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,153.0,BITC
2024-02-28,0.16,,1,0.16,0.0,0,1,0,0,0,0,0,0,233.0,BITC
2024-02-29,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,193.0,BITC
2024-03-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,199.0,BITC
