title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2022-02-18 11:20:06+00:00,https://www.zacks.com/stock/news/1869669/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2022-02-18
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2022-04-25 10:20:05+00:00,https://www.zacks.com/stock/news/1906592/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2022-04-25
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2022-07-01 10:20:05+00:00,https://www.zacks.com/stock/news/1946591/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2022-07-01
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2022-09-01 10:20:08+00:00,https://www.zacks.com/stock/news/1975042/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2022-09-01
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2022-11-02 10:20:07+00:00,https://www.zacks.com/stock/news/2012278/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2022-11-02
A Guide to the 25 Cheapest ETFs,The expense ratios have been the biggest crowd pullers in the ETF world.,2022-12-08 16:15:00+00:00,https://www.zacks.com/stock/news/2026872/a-guide-to-the-25-cheapest-etfs,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,105,"['SFY', 'VTI', 'VOO', 'VV', 'BND', 'SCHZ', 'AGG', 'IVV', 'SCHO', 'SCHB', 'STIP', 'ITOT', 'SCHX', 'SCHR', 'SPLG', 'SPAB', 'SPTM', 'BBUS', 'SPBO', 'SCHI', 'SCHJ', 'SCHQ', 'BKLC', 'ILCB', 'USPX']",BKLC,2022-12-08
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2023-01-06 11:20:06+00:00,https://www.zacks.com/stock/news/2036055/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2023-01-06
The Fed Needs To Send An Extremely Hawkish Message To Markets,The Federal Reserve appears to be losing control of market and financial conditions have eased dramatically since December FOMC meeting. Click here to read more.,2023-01-29 11:15:00+00:00,https://seekingalpha.com/article/4573314-fed-send-extremely-hawkish-message-markets,Seeking Alpha,0.125,0.5,positive,0.125,False,False,False,False,False,False,False,False,0.0,224,"['DIA', 'QQQ', 'SPY', 'ACSI', 'ACVF', 'AESR', 'AFLG', 'ARMR', 'AVUS', 'APRT', 'JANT', 'JULT', 'OCTT', 'APRW', 'JANW', 'JULW', 'OCTW', 'BBUS', 'BIBL', 'BKLC', 'BMAR', 'BMAY', 'BUZZ', 'BWV', 'CATH', 'CFA', 'CFO', 'CHGX', 'CSM', 'DBJA', 'DBOC', 'DEF', 'DEMZ', 'DFAU', 'DGRW', 'DSI', 'DSJA', 'DSOC', 'DSTL', 'DUSA', 'DVOL', 'DYNF', 'EFIV', 'EGIS', 'EPS', 'EQL', 'EQOP', 'EQWL', 'ESG', 'ESGA', 'ESGU', 'ESGV', 'ESGY', 'ESGN', 'EUSA', 'FCPI', 'FCTR', 'FDLO', 'FDWM', 'FEX', 'FFSG', 'FLLV', 'FLQL', 'FLRG', 'FMIL', 'FQAL', 'FSST', 'FTCS', 'GSEW', 'GSLC', 'GSPY', 'GSUS', 'HKND', 'HLAL', 'HUSV', 'ILCB', 'IQSU', 'ITAN', 'ITOT', 'IVLC', 'IVV', 'IWB', 'IWD', 'IWF', 'IWL', 'IWV', 'IYY', 'JCTR', 'JHML', 'JOET', 'JPUS', 'JQUA', 'JUSA', 'JUST', 'KLCD', 'KRMA', 'LCTU', 'LFEQ', 'LGH', 'LGLV', 'LSAF', 'LVOL', 'LYFE', 'MBCC', 'MFUS', 'MGC', 'MOAT', 'NACP', 'NAPR', 'NTSX', 'NULC', 'OEF', 'OMFL', 'ONOF', 'OPPX', 'OVL', 'OVLH', 'PALC', 'PBUS', 'PLRG', 'PSCJ', 'PSCW', 'PSCX', 'PSET', 'PSFD', 'PSFF', 'PSFJ', 'PSFM', 'PSMD', 'PSMJ', 'PSMR', 'PTLC', 'QARP', 'QLV', 'QQQA', 'QUAL', 'QUS', 'QVML', 'QYLG', 'RECS', 'RESP', 'RFDA', 'RFFC', 'RNLC', 'RSP', 'SCHB', 'SCHK', 'SCHX', 'SECT', 'SHE', 'SHUS', 'SIZE', 'SNPE', 'SPBC', 'SPD', 'SPHB', 'SPHQ', 'SPLG', 'SPMV', 'SPTM', 'SPUC', 'SPUS', 'SPXE', 'SPXN', 'SPXT', 'SPXV', 'SPYC', 'SPYX', 'SSUS', 'STNC', 'SUSA', 'SUSL', 'SVOL', 'SYUS', 'SZNE', 'TDVG', 'TILT', 'TRND', 'TSJA', 'TSOC', 'TSPA', 'UMAR', 'UMAY', 'USMC', 'USMV', 'USSG', 'USXF', 'UTRN', 'VEGN', 'VIG', 'VIRS', 'VNSE', 'VONE', 'VONG', 'VONV']",BKLC,2023-01-29
ETF Asset Report of Last Week: Value Tops,Value ETFs amassed maximum assets last week.,2023-02-07 18:00:00+00:00,https://www.zacks.com/stock/news/2051181/etf-asset-report-of-last-week-value-tops,Zacks Investment Research,0.0,0.06666666666666667,neutral,0.0,False,False,False,False,False,False,False,False,0.0,87,"['AAPL', 'QQQ', 'HYG', 'XLE', 'XLF', 'VTV', 'BKLC']",BKLC,2023-02-07
Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,Style Box ETF report for BKLC,2023-03-09 11:20:06+00:00,https://www.zacks.com/stock/news/2063351/should-bny-mellon-us-large-cap-core-equity-etf-bklc-be-on-your-investing-radar,Zacks Investment Research,0.21428571428571427,0.42857142857142855,positive,0.21428571428571427,False,False,False,False,False,False,False,False,0.0,112,"['BKLC', 'AMZN', 'AAPL', 'MSFT', 'SPY', 'IVV']",BKLC,2023-03-09
