date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-05-09,0.1433,,1,0.1433,0.0,1,0,0,0,0,0,0,0,665.0,BLCO
2022-05-11,0.0177,,1,0.0177,0.0,0,1,1,0,0,0,0,0,5528.0,BLCO
2022-05-31,0.0273,,1,0.0273,0.0,0,1,1,0,0,0,0,0,4129.0,BLCO
2022-06-06,0.008,,1,0.008,0.0,0,1,1,0,0,0,0,0,3847.0,BLCO
2022-06-09,0.0329,,1,0.0329,0.0,0,0,0,0,0,0,0,0,580.0,BLCO
2022-06-24,0.0625,,1,0.0625,0.0,0,0,0,0,0,0,1,0,148.0,BLCO
2022-07-26,0.1083,0.1163,3,0.1083,0.0,0,1,1,0,1,0,0,0,1811.0,BLCO
2022-07-28,0.0491,0.1074,3,0.0658,0.0,2,1,0,0,1,0,0,1,1441.3333,BLCO
2022-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,BLCO
2022-08-09,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,BLCO
2022-08-16,0.1256,0.1052,2,0.1256,0.0,0,0,0,0,0,0,0,0,330.0,BLCO
2022-09-12,0.0199,0.0363,3,0.0343,0.0,0,1,1,0,0,0,0,0,2098.3333,BLCO
2022-09-13,0.0273,,1,0.0273,0.0,0,0,0,0,0,0,0,0,299.0,BLCO
2022-09-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,122.0,BLCO
2022-10-07,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,185.0,BLCO
2022-10-11,0.0512,,1,0.0512,0.0,0,0,0,0,0,0,0,0,531.0,BLCO
2022-11-03,0.0357,,1,0.0357,0.0,0,0,0,0,0,0,0,0,540.0,BLCO
2022-11-07,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,220.0,BLCO
2022-11-23,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,541.0,BLCO
2022-12-21,0.0049,0.0329,2,0.0233,0.0,0,1,1,0,0,0,0,0,3999.0,BLCO
2022-12-27,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,187.0,BLCO
2023-02-15,0.1704,0.1302,2,0.1704,0.0,1,1,0,0,0,1,0,0,589.0,BLCO
2023-02-16,0.5,,1,0.5,0.0,0,0,0,0,0,0,1,0,230.0,BLCO
2023-02-24,0.0708,,1,0.0708,0.0,0,0,0,0,0,0,0,0,687.0,BLCO
2023-03-09,-0.0049,,1,0.0049,0.0,0,1,1,0,0,0,0,0,4694.0,BLCO
