date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-10-09,0.3182,,1,0.3182,0.0,0,1,0,0,1,0,0,0,224.0,BLKC
2021-10-18,0.0717,,1,0.0717,0.2,0,0,1,0,1,0,0,0,342.0,BLKC
2021-10-23,0.3182,,1,0.3182,0.0,0,1,0,0,1,0,0,0,187.0,BLKC
2021-11-04,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,79.0,BLKC
2022-06-02,-0.1458,,1,0.1458,0.0,0,0,0,0,0,0,0,0,240.0,BLKC
2024-08-22,0.1177,,1,0.1177,0.0,0,0,0,0,1,0,0,0,430.0,BLKC
2024-11-06,0.0217,0.1956,2,0.1383,0.0,0,0,2,0,0,0,0,0,319.5,BLKC
2024-11-07,-0.14,,1,0.14,0.0,0,0,0,0,0,0,0,0,248.0,BLKC
2024-11-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,221.0,BLKC
2024-11-29,0.125,0.1768,2,0.125,0.0,0,0,1,0,0,0,0,0,236.0,BLKC
2024-12-04,-0.1167,,1,0.1167,0.0,0,0,1,0,0,0,0,0,258.0,BLKC
2024-12-19,-0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,239.0,BLKC
2024-12-24,-0.1167,,1,0.1167,0.0,0,0,1,0,0,0,0,0,259.0,BLKC
2024-12-27,-0.0167,0.1414,2,0.1,0.0,0,0,2,0,0,0,0,0,284.0,BLKC
2024-12-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,269.0,BLKC
