date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-08-06,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,116.0,BLND
2021-08-08,0.0688,0.1856,2,0.1312,0.0,0,0,0,0,0,0,0,0,176.5,BLND
2021-08-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,173.0,BLND
2021-08-24,0.1364,,1,0.1364,0.0,0,1,0,0,0,0,0,0,104.0,BLND
2021-09-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,234.0,BLND
2021-09-17,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,166.0,BLND
2021-09-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,233.0,BLND
2021-10-09,-0.0389,,1,0.0389,0.0,0,0,0,0,0,0,1,0,160.0,BLND
2021-10-14,0.1,,1,0.1,0.0,0,1,1,0,0,0,0,0,202.0,BLND
2021-11-08,-0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,275.0,BLND
2021-11-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,118.0,BLND
2021-11-27,-0.0278,,1,0.0278,0.0,0,1,0,0,0,0,1,0,155.0,BLND
2021-12-18,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,153.0,BLND
2021-12-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,60.0,BLND
2022-01-05,0.0312,,1,0.0312,0.0,0,1,0,0,0,0,0,0,157.0,BLND
2022-02-09,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,188.0,BLND
2022-02-14,0.0464,0.0853,2,0.0604,0.0,0,1,1,0,0,0,0,0,2777.5,BLND
2022-02-22,0.525,,1,0.525,0.0,0,1,0,0,0,0,0,0,146.0,BLND
2022-02-25,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,175.0,BLND
2022-03-01,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,172.0,BLND
2022-03-03,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,187.0,BLND
2022-03-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,215.0,BLND
2022-03-21,0.0666,0.0667,3,0.0666,0.0,1,1,1,0,1,0,0,0,1730.0,BLND
2022-04-01,0.0734,0.1287,5,0.0883,0.0,3,1,2,0,1,0,0,0,1454.0,BLND
2022-04-02,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,246.0,BLND
2022-04-04,-0.0154,,1,0.0154,0.0,0,1,1,0,0,0,0,0,3688.0,BLND
2022-04-05,-0.0352,,1,0.0352,0.0,0,0,0,0,0,0,0,0,180.0,BLND
2022-04-08,-0.0392,0.0554,2,0.0392,0.0,1,2,0,0,0,0,0,0,193.0,BLND
2022-04-15,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,159.0,BLND
