date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-07,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,198.0,BMO
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,BMO
2021-05-12,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,258.0,BMO
2021-05-14,0.1317,,1,0.1317,0.0,0,0,0,0,0,0,0,0,4591.0,BMO
2021-05-17,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,220.0,BMO
2021-05-21,0.347,0.1693,2,0.347,0.0,1,1,0,0,0,0,0,0,197.5,BMO
2021-05-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,230.0,BMO
2021-05-25,0.0793,0.0651,2,0.0793,0.0,1,0,0,0,1,0,1,0,3256.0,BMO
2021-05-26,0.025,0.0354,2,0.025,0.0,2,0,0,0,0,0,0,0,914.5,BMO
2021-05-27,0.0,,1,0.0,0.0,0,0,0,0,1,0,1,0,250.0,BMO
2021-05-31,0.1025,0.145,2,0.1025,0.0,1,0,1,0,0,0,0,0,196.0,BMO
2021-06-01,0.4,0.2598,3,0.4,0.0,2,0,0,0,0,0,0,0,183.6667,BMO
2021-06-02,0.25,0.25,3,0.25,0.0,1,1,0,0,0,0,0,0,166.3333,BMO
2021-06-09,0.1136,,1,0.1136,0.0,1,0,0,0,0,0,0,0,188.0,BMO
2021-06-17,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,128.0,BMO
2021-06-18,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,BMO
2021-06-22,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,244.0,BMO
2021-06-24,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,223.0,BMO
2021-06-25,-0.0179,,1,0.0179,0.2,0,0,0,0,0,0,0,0,251.0,BMO
2021-07-12,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,108.0,BMO
2021-07-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,166.0,BMO
2021-07-30,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,190.0,BMO
2021-08-02,0.198,,1,0.198,0.0,1,0,0,0,0,0,0,0,256.0,BMO
2021-08-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,75.0,BMO
2021-08-23,0.0333,,1,0.0333,0.0,1,0,0,0,0,0,0,0,249.0,BMO
2021-08-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,111.0,BMO
2021-08-25,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,143.5,BMO
2021-08-26,-0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,170.0,BMO
2021-08-27,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,185.0,BMO
2021-08-30,0.1319,,1,0.1319,0.0,1,0,0,0,0,0,0,0,186.0,BMO
2021-10-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,132.0,BMO
2021-10-08,0.175,0.4596,2,0.325,0.0,1,1,0,0,0,1,0,0,214.0,BMO
2021-10-12,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,104.0,BMO
2021-10-14,0.22,,1,0.22,0.0,0,0,0,0,0,0,0,0,126.0,BMO
2021-10-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,208.0,BMO
2021-10-18,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,218.0,BMO
2021-10-25,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,175.0,BMO
2021-11-05,0.0063,,1,0.0063,0.0,0,1,0,0,0,0,0,0,145.0,BMO
2021-11-10,0.3214,0.1515,2,0.3214,0.0,1,0,0,0,0,0,0,0,182.0,BMO
2021-11-18,0.0083,0.1127,3,0.075,0.0,3,0,1,0,0,0,0,0,198.3333,BMO
2021-11-22,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,158.0,BMO
2021-11-24,-0.0333,,1,0.0333,0.0,1,0,0,0,0,0,0,0,250.0,BMO
2021-11-26,-0.2212,,1,0.2212,0.0,1,0,0,0,1,0,0,0,186.0,BMO
2021-11-29,0.3239,0.2135,4,0.3239,0.0,2,1,0,0,1,0,0,0,200.25,BMO
2021-12-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,187.0,BMO
2021-12-02,0.1444,,1,0.1444,0.0,1,0,0,0,0,0,0,0,216.0,BMO
2021-12-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,75.0,BMO
2021-12-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,BMO
2021-12-08,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,258.0,BMO
2021-12-13,0.375,,1,0.375,0.0,0,0,0,0,0,1,0,0,121.0,BMO
2021-12-17,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,172.0,BMO
2021-12-22,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,166.0,BMO
2021-12-24,0.125,,1,0.125,0.0,0,1,0,0,0,0,0,0,178.0,BMO
2022-01-06,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,248.0,BMO
2022-02-02,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,81.0,BMO
2022-02-08,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,162.0,BMO
2022-02-15,0.0918,0.1299,2,0.0918,0.0,2,0,0,0,0,0,0,0,236.0,BMO
2022-02-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,931.0,BMO
2022-02-24,0.0833,,1,0.0833,0.0,1,0,0,0,1,0,0,0,229.0,BMO
2022-03-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,BMO
2022-03-02,-0.0107,0.0151,2,0.0107,0.0,1,1,1,0,0,0,0,0,2528.0,BMO
2022-03-03,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,242.0,BMO
2022-03-04,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,200.0,BMO
2022-03-07,-0.0905,0.092,2,0.0905,0.0,1,1,1,0,0,0,0,0,2511.0,BMO
2022-03-21,0.3079,0.4072,2,0.3079,0.0,0,0,1,0,0,1,0,0,241.5,BMO
2022-03-26,0.2675,,1,0.2675,0.0,0,0,0,0,0,0,0,0,237.0,BMO
2022-04-02,-0.0792,,1,0.0792,0.0,0,0,0,0,0,1,0,0,202.0,BMO
2022-04-06,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,276.0,BMO
2022-04-07,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,234.0,BMO
2022-04-13,0.225,,1,0.225,0.0,0,1,0,0,0,1,0,0,135.0,BMO
2022-04-22,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,242.0,BMO
2022-04-24,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,205.0,BMO
2022-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,230.0,BMO
2022-05-03,0.198,,1,0.198,0.0,1,0,0,0,0,0,0,0,256.0,BMO
2022-05-04,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,186.0,BMO
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,BMO
2022-05-09,0.2979,0.4213,2,0.2979,0.0,1,0,0,0,0,1,0,0,262.0,BMO
2022-05-10,0.0267,,1,0.0267,0.0,0,0,0,0,0,0,0,0,192.0,BMO
2022-05-16,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,184.0,BMO
2022-05-18,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,274.0,BMO
2022-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,247.0,BMO
2022-05-23,0.1333,,1,0.1333,0.0,1,0,0,0,0,0,0,0,221.0,BMO
2022-05-25,0.2979,0.4213,2,0.2979,0.0,1,0,0,0,0,1,0,0,242.5,BMO
2022-05-27,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,187.0,BMO
2022-06-10,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,241.0,BMO
2022-06-11,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,153.0,BMO
2022-06-14,0.2083,,1,0.2083,0.0,0,0,1,0,0,0,0,0,151.0,BMO
2022-06-25,0.4867,,1,0.4867,0.0,0,0,0,0,0,1,0,0,179.0,BMO
2022-06-27,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,253.0,BMO
2022-07-01,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,185.0,BMO
2022-07-13,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,249.0,BMO
2022-07-14,0.35,,1,0.35,0.0,0,1,0,0,0,0,0,0,186.0,BMO
2022-07-15,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,185.0,BMO
2022-07-21,0.375,,1,0.375,0.0,0,1,0,0,0,0,0,0,162.0,BMO
2022-07-22,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,179.0,BMO
2022-07-24,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,202.0,BMO
2022-07-28,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,180.0,BMO
2022-07-29,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,242.0,BMO
2022-08-24,0.0472,,1,0.0472,0.0,1,0,0,0,0,0,0,0,146.0,BMO
