date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-05-11,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,117.0,BOC
2022-05-15,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,92.0,BOC
2022-05-27,0.3222,,1,0.3222,0.0,0,1,0,0,0,0,0,0,162.0,BOC
2022-06-24,0.386,,1,0.386,0.0,0,1,0,0,0,0,0,0,139.0,BOC
2022-08-16,0.0119,,1,0.0119,0.0,0,0,0,0,0,0,0,0,153.0,BOC
2022-08-18,0.1125,,1,0.1125,0.0,0,0,0,0,0,0,0,0,171.0,BOC
2022-09-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,143.0,BOC
2022-10-07,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,143.0,BOC
2022-10-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,94.0,BOC
2022-10-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,129.0,BOC
2022-11-04,0.6167,,1,0.6167,0.0,0,1,0,0,0,0,0,0,141.0,BOC
2022-11-27,0.2921,,1,0.2921,0.0,0,1,0,0,0,0,0,0,148.0,BOC
2022-12-02,1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,136.0,BOC
2022-12-18,0.55,,1,0.55,0.0,0,0,0,0,0,0,0,0,99.0,BOC
2022-12-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,197.0,BOC
2022-12-26,0.7,,1,0.7,0.0,0,1,0,0,0,0,0,0,170.0,BOC
2023-01-13,0.4188,,1,0.4188,0.0,0,0,0,0,0,0,1,0,158.0,BOC
2023-01-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,174.0,BOC
2023-01-24,-0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,121.0,BOC
2023-01-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,127.0,BOC
2023-01-29,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,103.0,BOC
2023-02-11,-0.125,,1,0.125,0.0,0,0,0,0,0,1,0,0,219.0,BOC
2023-03-30,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,134.0,BOC
2023-04-01,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,134.0,BOC
2023-04-24,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,146.0,BOC
2023-05-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,151.0,BOC
2023-05-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,113.0,BOC
2023-05-23,-0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,146.0,BOC
2023-05-24,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,184.0,BOC
2023-07-18,0.14,,1,0.14,0.0,0,0,0,0,0,0,0,0,181.0,BOC
2023-08-27,0.1429,,1,0.1429,0.0,0,1,0,0,0,0,0,0,91.0,BOC
2023-08-29,-0.0178,0.1948,2,0.1378,0.0,0,1,0,0,0,0,0,0,361.0,BOC
2023-09-05,0.3714,,1,0.3714,0.0,0,1,0,0,0,0,0,0,177.0,BOC
2023-09-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,116.0,BOC
2023-11-14,0.0556,,1,0.0556,0.0,0,0,0,0,0,0,0,0,179.0,BOC
2023-12-23,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,101.0,BOC
2023-12-30,0.0938,,1,0.0938,0.0,0,1,0,0,0,0,0,0,135.0,BOC
2024-01-04,0.2863,0.2831,4,0.3228,0.0,0,2,0,0,0,0,0,0,162.0,BOC
2024-01-18,0.3639,0.0393,2,0.3639,0.0,0,1,0,0,0,0,0,0,143.0,BOC
2024-03-05,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,217.0,BOC
2024-03-08,0.4875,,1,0.4875,0.0,0,0,0,0,0,0,0,0,107.0,BOC
2024-04-19,0.1444,,1,0.1444,0.0,0,0,0,0,0,0,0,0,153.0,BOC
2024-04-29,-0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,150.0,BOC
2024-05-10,0.1704,0.4662,2,0.3296,0.0,0,0,0,0,0,0,1,0,116.0,BOC
2024-05-21,0.5,,1,0.5,0.0,0,0,0,0,0,0,1,0,90.0,BOC
2024-06-04,-0.0389,,1,0.0389,0.0,0,1,0,0,0,0,0,0,143.0,BOC
2024-07-11,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,293.0,BOC
2024-08-15,0.0921,,1,0.0921,0.0,0,0,0,0,0,0,1,0,308.0,BOC
2024-08-28,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,303.0,BOC
2024-09-20,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,233.0,BOC
2024-12-16,-0.6,,1,0.6,0.0,1,0,0,0,0,0,0,0,277.0,BOC
