date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-05,-0.0345,0.0926,2,0.0655,0.0,2,0,0,0,1,0,0,0,246.5,BOOT
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,BOOT
2021-05-11,-0.015,0.2107,3,0.1665,0.0,3,2,0,0,1,0,0,0,217.6667,BOOT
2021-05-12,0.0451,0.0507,3,0.0451,0.0,2,0,1,0,0,0,0,0,1567.0,BOOT
2021-05-13,0.2482,0.2617,4,0.2482,0.0,4,0,0,0,1,0,0,0,563.0,BOOT
2021-05-14,0.1317,,1,0.1317,0.0,0,0,0,0,0,0,0,0,4591.0,BOOT
2021-05-17,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,94.0,BOOT
2021-05-18,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,161.0,BOOT
2021-05-19,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,212.0,BOOT
2021-05-21,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,268.0,BOOT
2021-05-24,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,235.0,BOOT
2021-05-26,0.2917,0.0589,2,0.2917,0.0,2,0,0,0,0,0,0,0,193.5,BOOT
2021-05-27,0.3195,0.2462,4,0.3195,0.0,2,1,0,0,0,0,1,0,196.5,BOOT
2021-05-28,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,215.0,BOOT
2021-05-31,0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,226.0,BOOT
2021-06-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,BOOT
2021-06-04,0.2808,0.1214,2,0.2808,0.0,2,0,0,0,1,0,0,0,228.0,BOOT
2021-06-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,184.0,BOOT
2021-06-08,0.1136,0.0279,2,0.1136,0.0,2,0,0,0,0,0,0,0,224.5,BOOT
2021-06-10,0.0375,0.053,2,0.0375,0.0,1,0,0,0,0,1,0,0,201.5,BOOT
2021-06-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,198.0,BOOT
2021-06-14,0.4056,0.5735,2,0.4056,0.0,0,1,0,0,2,0,0,0,200.5,BOOT
2021-06-17,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,221.0,BOOT
2021-06-18,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,165.0,BOOT
2021-06-23,0.2121,0.2585,3,0.2121,0.0,0,1,0,0,0,0,0,0,106.0,BOOT
2021-06-24,0.1333,0.1886,2,0.1333,0.0,0,0,0,0,0,0,0,0,216.5,BOOT
2021-06-25,0.25,,1,0.25,0.0,0,0,0,1,0,0,0,0,219.0,BOOT
2021-06-28,0.0712,0.1007,2,0.0712,0.0,1,0,0,0,0,0,0,0,218.5,BOOT
2021-06-29,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,205.0,BOOT
2021-07-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,175.0,BOOT
2021-07-05,0.625,,1,0.625,0.0,0,0,0,0,0,0,0,0,239.0,BOOT
2021-07-06,0.05,0.0707,2,0.05,0.0,1,0,1,0,0,0,0,0,212.0,BOOT
2021-07-07,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,227.0,BOOT
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,118.0,BOOT
