date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.45,,1,0.45,0.0,1,0,0,0,0,0,0,0,484.0,BORR
2021-09-01,0.3214,,1,0.3214,0.0,0,1,0,0,0,0,0,0,259.0,BORR
2021-09-06,0.6339,,1,0.6339,0.0,0,1,0,0,0,0,0,0,288.0,BORR
2021-09-24,0.2867,,1,0.2867,0.0,0,1,0,0,0,0,0,0,290.0,BORR
2021-09-27,0.3527,0.12,2,0.3527,0.0,0,2,0,0,0,0,0,0,282.5,BORR
2021-10-04,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,245.0,BORR
2021-10-12,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,305.0,BORR
2021-10-17,0.4167,,1,0.4167,0.0,0,1,0,0,0,0,0,0,262.0,BORR
2022-03-02,0.5643,,1,0.5643,0.0,0,1,0,0,0,0,0,0,285.0,BORR
2022-03-07,0.3015,0.4701,2,0.3324,0.0,0,1,0,0,0,0,0,0,268.0,BORR
2022-04-18,0.34,,1,0.34,0.0,0,0,0,0,0,0,0,0,248.0,BORR
2022-05-31,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,190.0,BORR
2022-06-27,0.0875,,1,0.0875,0.0,0,0,1,0,0,0,0,0,202.0,BORR
2022-06-30,0.0668,,1,0.0668,0.0,0,1,0,0,0,0,1,0,2311.0,BORR
2022-07-01,0.2641,0.1441,4,0.2641,0.0,0,4,1,0,0,0,3,1,1794.25,BORR
2022-07-14,0.131,,1,0.131,0.0,0,0,0,0,0,0,0,0,1909.0,BORR
2022-07-15,0.176,,1,0.176,0.0,0,0,0,0,0,0,0,0,2607.0,BORR
2022-07-25,0.2754,0.0735,3,0.2754,0.0,0,0,3,0,0,0,0,0,1087.3333,BORR
2022-07-26,0.0857,,1,0.0857,0.0,0,1,0,0,0,0,0,0,2359.0,BORR
2022-08-23,0.2283,0.0873,5,0.2283,0.0,4,5,3,0,0,0,1,0,1404.2,BORR
2022-08-24,0.0942,,1,0.0942,0.0,1,1,1,0,0,0,1,0,3192.0,BORR
2022-08-31,0.2558,0.2292,2,0.2558,0.0,1,1,1,0,0,0,0,0,970.5,BORR
2022-09-02,0.1178,0.0719,3,0.1178,0.0,0,0,3,0,3,1,2,0,1196.6667,BORR
2022-09-06,0.2019,0.1221,2,0.2019,0.0,1,1,0,0,2,1,2,0,1680.0,BORR
2022-09-09,0.1188,,1,0.1188,0.0,1,1,0,0,0,0,0,0,1602.0,BORR
2022-09-12,0.2217,0.0879,2,0.2217,0.0,0,1,2,0,0,1,1,0,1876.5,BORR
2022-09-19,0.1696,0.2652,2,0.1875,0.0,2,0,1,0,0,0,0,0,1120.5,BORR
2022-10-05,-0.0129,,1,0.0129,0.0,1,0,0,0,0,0,0,0,543.0,BORR
2022-10-24,0.0625,,1,0.0625,0.0,0,1,0,0,0,0,0,0,434.0,BORR
2022-11-14,0.2327,,1,0.2327,0.0,1,1,1,0,0,0,0,0,1231.0,BORR
2022-12-02,0.1084,,1,0.1084,0.0,1,0,1,0,0,0,0,0,1297.0,BORR
2022-12-30,0.1633,0.1059,4,0.1633,0.0,0,0,2,0,1,0,0,0,755.25,BORR
2023-01-05,0.0125,,1,0.0125,0.0,1,0,1,0,0,0,0,0,695.0,BORR
2023-01-06,-0.0205,,1,0.0205,0.0,0,1,0,0,0,0,0,0,10268.0,BORR
2023-01-25,-0.0708,,1,0.0708,0.0,1,0,0,0,0,0,0,0,576.0,BORR
2023-02-21,0.1271,,1,0.1271,0.0,1,1,1,0,0,0,0,0,1482.0,BORR
2023-03-15,-0.0179,,1,0.0179,0.0,1,0,1,0,1,0,0,0,706.0,BORR
2023-08-17,0.0156,,1,0.0156,0.0,1,0,0,0,0,0,0,1,665.0,BORR
2023-09-01,0.1825,,1,0.1825,0.0,0,1,1,0,0,0,0,0,509.0,BORR
2023-11-16,0.4406,,1,0.4406,0.0,1,1,0,0,0,0,0,0,220.0,BORR
2024-01-30,-0.0114,0.1606,2,0.1136,0.0,2,0,1,0,0,0,0,0,1439.0,BORR
2024-02-23,0.0889,,1,0.0889,0.0,0,0,0,0,1,0,0,0,692.0,BORR
2024-03-05,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,217.0,BORR
2024-05-23,0.0,,1,0.0,0.0,1,0,0,0,0,1,0,0,134.0,BORR
2024-07-09,-0.0511,,1,0.0511,0.0,0,0,0,0,0,0,0,0,356.0,BORR
2024-11-03,0.1716,,1,0.1716,0.0,1,0,0,0,0,0,0,0,371.0,BORR
