date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-06-24,-0.0318,,1,0.0318,0.0,0,0,0,0,0,0,0,0,108.0,BOX
2021-05-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,257.0,BOX
2021-05-17,0.225,,1,0.225,0.0,0,0,0,1,0,0,0,0,215.0,BOX
2021-05-18,0.1853,,1,0.1853,0.0,0,1,0,0,0,0,0,0,1636.0,BOX
2021-05-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,231.0,BOX
2021-05-22,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,86.0,BOX
2021-05-23,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,BOX
2021-05-24,-0.2212,,1,0.2212,0.0,1,0,0,0,1,0,0,0,186.0,BOX
2021-05-27,0.0179,0.0253,2,0.0179,0.0,2,0,0,0,0,0,0,0,1062.5,BOX
2021-05-28,0.2278,0.2175,3,0.2278,0.0,3,0,0,0,1,0,0,0,221.0,BOX
2021-06-02,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,206.0,BOX
2021-06-08,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,188.0,BOX
2021-06-12,0.01,,1,0.01,0.0,0,0,0,0,0,0,0,0,297.0,BOX
2021-06-18,0.28,,1,0.28,0.0,0,0,1,0,0,0,0,1,162.0,BOX
2021-07-08,-0.8,,1,0.8,0.0,0,0,0,1,0,0,0,0,165.0,BOX
2021-07-26,0.1288,,1,0.1288,0.0,0,0,0,0,1,0,0,0,320.0,BOX
2021-08-18,0.032,0.0557,2,0.0394,0.0,1,0,0,0,0,0,0,0,321.5,BOX
2021-08-19,0.1259,0.0817,2,0.1259,0.0,2,0,1,0,0,0,0,0,211.5,BOX
2021-08-20,0.2167,,1,0.2167,0.0,1,0,1,0,0,0,0,0,204.0,BOX
2021-08-21,0.45,,1,0.45,0.0,0,1,0,0,0,0,0,0,167.0,BOX
2021-08-22,0.15,0.0707,2,0.15,0.0,0,0,0,0,0,0,0,0,185.0,BOX
2021-08-23,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,184.0,BOX
2021-08-24,0.0333,,1,0.0333,0.0,1,0,0,0,1,0,0,0,247.0,BOX
2021-08-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,BOX
2021-08-26,0.0543,0.2132,6,0.1457,0.0,4,0,2,0,2,0,1,0,330.6667,BOX
2021-09-05,0.1078,0.1304,2,0.1078,0.0,0,0,1,0,0,0,0,0,204.5,BOX
2021-09-13,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,117.0,BOX
2021-09-15,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,218.0,BOX
2021-09-23,0.05,,1,0.05,0.2,0,0,1,0,0,0,0,0,210.0,BOX
2021-09-24,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,176.0,BOX
2021-10-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,BOX
2021-10-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,BOX
2021-10-06,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,1,0,255.0,BOX
2021-10-08,0.0682,,1,0.0682,0.0,0,0,1,0,0,0,0,0,194.0,BOX
2021-10-11,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,216.0,BOX
2021-10-15,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,249.0,BOX
2021-10-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,138.0,BOX
2021-11-10,0.2278,0.2335,3,0.2278,0.0,2,0,0,0,0,0,0,0,185.0,BOX
2021-11-12,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,194.0,BOX
