title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Why Shares of BP Prudhoe Bay Royalty Trust Climbed 11.2% on Tuesday,"Concerns about the Russia-Ukraine conflict drove most stocks down on Tuesday, but BP Prudhoe Bay Royalty Trust saw its shares rise.",2022-02-23 00:51:00+00:00,https://www.fool.com/investing/2022/02/22/why-shares-of-bp-prudhoe-bay-royalty-trust-climbed/,The Motley Fool,0.17222222222222222,0.3944444444444445,positive,0.17222222222222222,False,False,False,False,False,False,False,False,0.0,200,"['BPT', 'BP']",BPT,2022-02-23
2 Ultra-High-Yield Energy Stocks to Buy Hand Over Fist and 1 To Avoid,Investors still need to be selective despite surging oil and gas prices.,2022-06-12 12:10:00+00:00,https://www.fool.com/investing/2022/06/12/2-ultra-high-yield-energy-stocks-to-buy-hand-over/,The Motley Fool,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,143,"['EPD', 'BPT', 'CEQP']",BPT,2022-06-12
Markets Open Higher; US Goods Gap Narrows To $104.3B In May,"U.S. stocks traded higher this morning, with the Dow Jones gaining over 350 points on Tuesday.
Following the market opening Tuesday, the Dow traded up 1.14% to 31,795.63 while the NASDAQ rose 0.79% to 11,615.62. The S&P also rose, gaining, 0.96% to 3,937.67.
Also check this: U.S. Consumer Confidence And Other Macro Issues For Tuesday 

Leading and Lagging Sectors

Energy shares jumped by 2.3% on Tuesday. Meanwhile, top gainers in the sector included  Earthstone Energy, Inc. (NYSE: ESTE), up 6% and  BP Prudhoe Bay Royalty Trust (NYSE: BPT) up 7%.

In trading on Tuesday, health care shares rose by just 0.4%.

Top Headline

U.S. goods gap shrank to $104.3 billion in May versus a revised $106.7 billion in April, recording the lowest trade gap so far this year. Exports rose 1.2% to a record high, with imports declining 0.1%.

Equities Trading UP

Kezar Life Sciences, Inc.  (NASDAQ: KZR) shares shot up 76% to $10.17 after the company announced topline results from the MISSION Phase 2 clinical trial evaluating zetomipzomib.

Shares of  Sutro Biopharma, Inc. (NASDAQ: STRO) got a boost, shooting 24% to $5.35. Astellas Pharma and Sutro Biopharma announced a strategic collaboration ...",2022-06-28 13:57:44+00:00,https://www.benzinga.com/news/earnings/22/06/27882740/markets-open-higher-us-goods-gap-narrows-to-104-3b-in-may,Benzinga,0.31038461538461537,0.6396153846153846,positive,0.31038461538461537,False,False,True,False,False,False,False,False,0.0,1254,"['CRNT', 'BPT', 'REV', 'ESTE', 'CGNT', 'KZR', 'STRO', 'LYT']",BPT,2022-06-28
Dow Dips Over 400 Points; Crude Oil Rises 2%,"U.S. stocks turned sharply lower toward the end of trading, with the Dow Jones dropping more than 400 points on Tuesday.
The Dow traded down 1.38% to 31,004.49 while the NASDAQ fell 2.60% to 11,224.77. The S&P also fell, dropping, 1.81% to 3,829.62.
Also check this: U.S. Consumer Confidence And Other Macro Issues For Tuesday 

Leading and Lagging Sectors

Energy shares jumped by 2.2% on Tuesday. Meanwhile, top gainers in the sector included  Earthstone Energy, Inc. (NYSE: ESTE), up 12% and  BP Prudhoe Bay Royalty Trust (NYSE: BPT) up 7%.

In trading on Tuesday, consumer discretionary shares fell by 3.6%.

Top Headline

U.S. goods gap shrank to $104.3 billion in May versus a revised $106.7 billion in April, recording the lowest trade gap so far this year. Exports rose 1.2% to a record high, with imports declining 0.1%.

Equities Trading UP

Kezar Life Sciences, Inc.  (NASDAQ: KZR) shares shot up 44% to $8.31 after the company announced topline results from the MISSION Phase 2 clinical trial evaluating zetomipzomib.

Shares of  Tuniu Corporation (NASDAQ: TOUR) got a boost, shooting 47% to $0.7660 following reports ...",2022-06-28 19:07:32+00:00,https://www.benzinga.com/news/earnings/22/06/27889113/dow-dips-over-400-points-crude-oil-rises-2,Benzinga,0.11404040404040404,0.5912626262626263,positive,0.11404040404040404,False,False,True,False,False,False,False,False,0.0,1179,"['CRNT', 'BPT', 'ITP', 'ESTE', 'TOUR', 'CGNT', 'KZR', 'EPAC']",BPT,2022-06-28
Why Is Conagra Brands Dropping By More Than 8%? 43 Stocks Moving In Thursday's Mid-Day Session,"Gainers

Shineco, Inc. (NASDAQ: SISI) shares climbed 24.5% to $1.2201 on heavy volume.
Biomerica, Inc. (NASDAQ: BMRA) gained 23.6% to $3.6599 following news the company's breast self exam will now be available for sale in Walmart (NYSE: WMT).
Sentage Holdings Inc. (NASDAQ: SNTG) surged 23.6% to $0.7035 after gaining 16% on Wednesday.
Clene Inc. (NASDAQ: CLNN) shares gained 23.3% to $3.55. Clene reported significantly improved survival in Amyotrophic lateral sclerosis (ALS) patients initially treated with CNM-Au8 compared to initially randomized placebo-treated participants during the long-term open-label extension of its RESCUE-ALS trial.
SaverOne 2014 Ltd (NASDAQ: SVRE) shares gained 20.4% to $3.4799. SaverOne 2014 recently named Israel Eybi as Chief Marketing and Sales Officer.
Yatsen Holding Limited (NYSE: YSG) jumped 18.5% to $1.7308 after declining 27% on Wednesday.
VBI Vaccines Inc. (NASDAQ: VBIV) surged 17% to $1.0090. VBI Vaccines reported appointment of John Dillman as Chief Commercial Officer.
Lucira Health, Inc. (NASDAQ: LHDX) gained 16.3% to $3.00. Lucira Health posted Q1 adjusted net income of $16.668 million in May.
Revelation Biosciences, Inc. (NASDAQ: REVB) jumped 14.4% to $1.35. Revelation Biosciences completed database lock for Phase 1b CLEAR clinical study of REVTx-99b for treatment of allergic rhinitis.
Canoo Inc. (NASDAQ: GOEV) gained 12.7% to $4.0250 after the company announced it has been awarded by the U.S. Army to supply an electric vehicle for analysis and demonstration.
Ambow Education Holding Ltd. (NYSE: AMBO) jumped 12.2% to $0.46.
Angi Inc. (NASDAQ: ANGI) gained 10.3% to $4.3250.
Cemtrex, Inc. (NASDAQ: CETX) jumped 8.5% to $0.3201.
Bellicum Pharmaceuticals, Inc. (NASDAQ: BLCM) surged 8.4% to $1.16.
Theravance Biopharma, Inc. (NASDAQ: TBPH) rose 4.2% ...",2022-07-14 16:00:37+00:00,https://www.benzinga.com/news/22/07/28068893/why-is-conagra-brands-dropping-by-more-than-8-43-stocks-moving-in-thursdays-mid-day-session,Benzinga,0.13104395604395605,0.31547619047619047,positive,0.13104395604395605,False,False,False,False,False,False,False,False,0.0,1909,"['CFRX', 'GOEV', 'COKE', 'VBIV', 'CLNN', 'ERIC', 'BLCM', 'OG', 'FEIM', 'BNTC', 'LHDX', 'NVAX', 'CETX', 'ANEB', 'XRTX', 'SPT', 'SNTG', 'BPT', 'TTD', 'SISI', 'CAG', 'PMN', 'VLNS', 'CHK', 'MDB', 'SVRE', 'EGY', 'ILPT', 'USEA', 'WMT', 'VS', 'ILAG', 'AMBO', 'NA', 'REVB', 'ANGI', 'SONM', 'AZTA', 'BORR', 'BMRA', 'HSTO', 'TBPH', 'YSG']",BPT,2022-07-14
Why Cannabis Companies Traded Higher; Here's 60 Biggest Movers From Yesterday,"Gainers

Clene Inc. (NASDAQ: CLNN) shares jumped 43.4% to close at $4.13. Clene reported significantly improved survival in Amyotrophic lateral sclerosis (ALS) patients initially treated with CNM-Au8 compared to initially randomized placebo-treated participants during the long-term open-label extension of its RESCUE-ALS trial.
Clever Leaves Holdings Inc. (NASDAQ: CLVR) gained 36% to settle at $1.36. Shares of cannabis companies at large traded higher following reports Senate Democrats are planning to introduce a marijuana decriminalization bill next week.
SIGNA Sports United N.V. (NYSE: SSU) gained 30.8% to settle at $6.41.
Canoo Inc. (NASDAQ: GOEV) jumped 29.1% to close at $4.61 after the company announced it has been awarded by the U.S. Army to supply an electric vehicle for analysis and demonstration.
Shineco, Inc. (NASDAQ: SISI) shares jumped 26.5% to close at $1.24 on Thursday on heavy volume.
Yatsen Holding Limited (NYSE: YSG) climbed 24.7% to close at $1.82 after declining 27% on Wednesday.
Nutriband Inc. (NASDAQ: NTRB) rose 23.5% to settle at $4.7676.
Akerna Corp. (NASDAQ: KERN) jumped 21.9% to close at $0.1804. Shares of cannabis companies at large traded higher following reports Senate Democrats are planning to introduce a marijuana decriminalization bill next week.
Sentage Holdings Inc. (NASDAQ: SNTG) gained 20.6% to close at $0.6873 after gaining 16% on Wednesday.
Faraday Future Intelligent Electric Inc. (NASDAQ: FFIE) surged 18.6% to settle at $7.00.
Lucira Health, Inc. (NASDAQ: LHDX) climbed 16.7% to close at $3.01. Lucira Health posted Q1 adjusted net income of $16.668 million in May.
Qurate Retail, Inc. (NASDAQ: QRTEB) gained 16.7% to settle at $6.07.
Gossamer Bio, Inc. (NASDAQ: GOSS) rose 16.2% to settle at $11.05 after Raymond James maintained an Outperform rating on the stock and raised its price target from $10 to $14.
CEA Industries Inc. (NASDAQ: CEAD) gained 16.2% to close at $1.58.
Revelation Biosciences, Inc. (NASDAQ: REVB) gained 16.1% to close at $1.37. Revelation Biosciences completed database lock for Phase 1b CLEAR clinical study of REVTx-99b for treatment of allergic rhinitis.
Kopin Corporation (NASDAQ: KOPN) rose 15.3% to settle at $1.51.
Tilray Brands, Inc. (NASDAQ: TLRY) gained 14.6% to close at $3.69. Shares of cannabis companies traded higher following reports Senate Democrats are planning to introduce a marijuana decriminalization bill next week.
NextNav Inc. (NASDAQ: NN) jumped 12.8% to close at $2.73.
Ritchie Bros. Auctioneers Incorporated (NYSE:",2022-07-15 09:20:53+00:00,https://www.benzinga.com/news/22/07/28078071/why-cannabis-companies-traded-higher-heres-60-biggest-movers-from-yesterday,Benzinga,0.17595238095238094,0.3906666666666666,positive,0.17595238095238094,False,False,False,False,False,False,False,False,0.0,2607,"['AZTA', 'TLRY', 'COKE', 'OG', 'BMRA', 'REVB', 'COST', 'LHDX', 'CFRX', 'SONM', 'ERIC', 'ANEB', 'BLCM', 'GOSS', 'FEIM', 'DBGI', 'BNTC', 'SLGG', 'KOPN', 'SNTG', 'CETX', 'KERN', 'NVAX', 'FFIE', 'SPT', 'BORR', 'NYMX', 'SISI', 'TTD', 'MRNA', 'QCOM', 'NN', 'KPRX', 'PMN', 'BNTX', 'BPT', 'SSU', 'NTRB', 'AIH', 'CAG', 'CEAD', 'HGEN', 'HSTO', 'EGY', 'USEA', 'NCNA', 'CLVR', 'RBA', 'ILAG', 'MDB', 'YSG', 'WMT', 'ILPT', 'GOEV', 'AMBO', 'NA', 'VS', 'CLNN', 'ANGI', 'QRTEB', 'ENVB']",BPT,2022-07-15
Nasdaq Rises More Than 1%; Housing Market Index Tumbles To This Much Low Level,"U.S. stocks traded higher midway through trading, with the Nasdaq Composite gaining more than 1% on Monday.
The Dow traded up 0.55% to 31,460.80 while the NASDAQ rose 1.15% to 11,584.68. The S&P also rose to 3,890.32.
Also check this: Costco Wholesale And 3 Other Stocks Insiders Are Selling 

Leading and Lagging Sectors

Energy shares rose 2.8% on Monday. Meanwhile, top gainers in the sector included  North European Oil Royalty Trust  (NYSE: NRT), up 20% and  BP Prudhoe Bay Royalty Trust  (NYSE: BPT) up 14%.

In trading on Monday, utilities shares fell by 0.7%.

Top Headline

The NAHB housing market index fell to 55 in July, recording the weakest reading since May 2020, down from June’s reading of 67. Analysts, however, were expecting a reading of 65.
 
Equities Trading UP

Tantech Holdings Ltd  (NASDAQ: TANH) shares shot up 63% to $0.4228 after the company posted a narrower FY loss.

Shares of  Qudian Inc.  (NYSE: QD) got a boost, shooting 52% to $1.8050 after the company highlighted progress ...",2022-07-18 16:30:09+00:00,https://www.benzinga.com/news/earnings/22/07/28103627/nasdaq-rises-more-than-1-housing-market-index-tumbles-to-this-much-low-level,Benzinga,0.3141203703703704,0.5261574074074075,positive,0.3141203703703704,True,False,True,False,False,False,False,False,0.0,1092,"['BPT', 'NRT', 'ADN', 'TANH', 'QD', 'SESN', 'GMVD', 'MIGI', 'USEA']",BPT,2022-07-18
These 2 Dividend Stocks Have Double-Digit Yields -- but Are They Safe?,One of these companies looks stronger than the other.,2022-08-28 16:15:00+00:00,https://www.fool.com/investing/2022/08/28/these-2-dividend-stocks-have-double-digit-yields-b/,The Motley Fool,0.1875,0.4375,positive,0.1875,False,False,False,False,False,True,False,False,0.0,125,"['RIO', 'BPT']",BPT,2022-08-28
3 Best High-Yield Dividend Stocks of 2022 So Far,"Unfortunately, none of them look like great picks to buy now.",2022-09-15 09:52:00+00:00,https://www.fool.com/investing/2022/09/15/3-best-high-yield-dividend-stocks-of-2022-so-far/,The Motley Fool,0.35000000000000003,0.7625,positive,0.35000000000000003,False,True,False,False,False,True,False,False,0.0,111,"['ARLP', 'BPT', 'MTR']",BPT,2022-09-15
US Stocks Open Lower As Dow Drops 100 Points,"U.S. stocks traded lower this morning, with the Dow Jones dropping around 100 points on Thursday.
Following the market opening Thursday, the Dow traded down 0.32% to 30,088.03 while the NASDAQ fell 0.89% to 11,120.70. The S&P 500 also fell, dropping, 0.57% to 3,768.14.
Also check this: Volatility In Markets Increases After Fed Raises Interest Rates 

Leading and Lagging Sectors

Energy shares rose by 0.5% on Thursday. Meanwhile, top gainers in the sector included  BP Prudhoe Bay Royalty Trust (NYSE: BPT), up 3% and  PBF Energy Inc. (NYSE: PBF) up 6%.

In trading on Thursday, consumer discretionary shares fell by 1.5%.

Top Headline
 
US initial jobless claims increased by 5,000 to 213,000 in the week ended September 17th, compared to market estimates of 218,000.

Equities Trading UP
 

ShiftPixy, Inc.  (NASDAQ: PIXY) shares shot up 31% to $17.84. ShiftPixy, on Wednesday, announced pricing of $5 million private placement.
Shares of  Albireo Pharma, Inc. (NASDAQ: ALBO) got a boost, shooting 13% to $19.64. Albireo announced $115M royalty monetization agreement with Sagard.
Virax Biolabs Group Limited (NASDAQ: VRAX) shares were also up, gaining 12% to $3.39 after ...",2022-09-22 14:25:23+00:00,https://www.benzinga.com/news/earnings/22/09/28967005/us-stocks-open-lower-as-dow-drops-100-points,Benzinga,0.15255731922398588,0.3729717813051146,positive,0.15255731922398588,False,False,True,False,False,False,False,False,0.0,1227,"['BPT', 'PBF', 'ALBO', 'PIXY', 'VRAX', 'BCAN', 'STKH', 'KITT']",BPT,2022-09-22
5 Best And Worst Performing Energy Stocks In Q3 2022,,2022-10-11 09:13:00+00:00,https://www.investing.com/analysis/5-best-and-worst-performing-energy-stocks-in-q3-2022-200630908,Investing.com,0.0,0.65,neutral,0.0,False,False,False,False,False,False,False,False,0.0,54,"['DVN', 'COP', 'LEU', 'TUSK', 'SLNG', 'AREC', 'KLXE', 'VTNR', 'BP', 'BPT', 'VIVK', 'CEI', 'ZEST']",BPT,2022-10-11
Crude Oil Jumps Over 6%; OncoSec Medical Shares Plummet,"U.S. stocks traded mixed midway through trading, with the Nasdaq Composite dropping more than 100 points on Monday.
The Dow traded up 0.58% to 33,468.38 while the NASDAQ fell 0.96% to 12,104.67. The S&P 500, also fell, dropping, 0.10% to 4,105.19.
Check This Out:  Top 4 Materials Stocks That Set To Fly In April
 
Leading and Lagging Sectors

Energy shares jumped by 4.6% on Friday. Meanwhile, top gainers in the sector included  Hammerhead Energy Inc.  (NASDAQ: HHRS), up 20%, and  BP Prudhoe Bay Royalty Trust  (NYSE: BPT), up 18%.
In trading on Friday, consumer discretionary fell by 1.2%.


 
Top Headline

The Organization of the Petroleum Exporting Countries and its allies, known as OPEC+, trimmed oil production by 1.16 million barrels per day beginning May, in a surprising move.
 
Equities Trading UP

VirTra, Inc. (NASDAQ: VTSI) shares shot up 18% to $4.76 after reporting a profit for the fourth quarter
Shares of  Heska Corporation (NASDAQ: HSKA) got a boost, shooting 21% to $117.77 after Mars announced it would acquire the company for $120/share.
InterCure Ltd.  (NASDAQ: INCR) shares were also up, gaining 19% to $2.4276 after the company reported record fiscal year 2022 revenue of $150 million.


 
Equities Trading ...",2023-04-03 16:24:41+00:00,https://www.benzinga.com/news/earnings/23/04/31638489/crude-oil-jumps-over-6-oncosec-medical-shares-plummet,Benzinga,0.27999999999999997,0.465,positive,0.27999999999999997,True,True,True,False,True,False,False,False,0.0,1296,"['HSKA', 'BPT', 'VTSI', 'ONCS', 'ASND', 'INCR', 'PALI', 'HHRS']",BPT,2023-04-03
Why Heska Shares Are Trading Higher By 20%? Here Are Other Stocks Moving In Monday's Mid-Day Session,"Gainers

Nogin, Inc. (NASDAQ: NOGN) shares surged 172.4% to $7.41.
Guardforce AI Co., Limited (NASDAQ: GFAI) jumped 101% to $14.24 after climbing 50% on Friday.
Harbor Custom Development, Inc. (NASDAQ: HCDI) surged 48% to $6.42. On Friday, Harbor Custom Development reported worse-than-expected Q4 sales results.
U.S. Energy Corp. (NYSE: USEG) gained 31.3% to $2.31.
Cano Health, Inc. (NYSE: CANO) rose 30% to $1.1850. Barry Sternlicht, on April 2, entered into group agreement with Elliot Cooperstone, Lewis Gold, Agreed to act together to pursue change at Cano Health.
Mangoceuticals, Inc. (NASDAQ: MGRX) gained 26% to $1.4421.
Brera Holdings PLC (NASDAQ: BREA) jumped 26% to $3.9711.
Barnwell Industries, Inc. (NYSE: BRN) gained 25.5% to $2.76.
VNET Group, Inc. (NASDAQ: VNET) shares climbed 23.2% to $3.99 after gaining 8% on Friday.
Indonesia Energy Corporation Limited (NASDAQ: INDO) surged 22.2% to $5.83 after gaining 3% on Friday.
Heska Corporation (NASDAQ: HSKA) jumped 20% to $117.36 after Mars announced it would acquire the company for $120/share.
New Concept Energy, Inc. (NYSE: GBR) surged 18.8% to $1.26. New Concept Energy recently posted a profit for the fourth quarter.
InterCure Ltd. (NASDAQ: INCR) gained 18.1% to $2.41 after the company reported record fiscal year 2022 revenue of $150 million.
Hammerhead Energy Inc. (NASDAQ: HHRS) rose 18.1% to $8.86.
Allarity Therapeutics, Inc. (NASDAQ: ALLR) surged 16.7% to $1.96. Allarity Therapeutics recently filed for offering of up to 3.9 million common shares.
VirTra, Inc. (NASDAQ: VTSI) gained 16.4% to $4.69 after reporting a profit for the fourth quarter.
BP Prudhoe Bay Royalty Trust (NYSE: BPT) climbed 16.4% to $8.90.
Spark Networks SE (NYSE: LOV) gained 15.9% to $0.7774. Spark Networks recently reported worse-than-expected Q4 sales results.
Alpine Summit Energy Partners, ...",2023-04-03 17:12:55+00:00,https://www.benzinga.com/news/23/04/31639609/why-heska-shares-are-trading-higher-by-20-here-are-other-stocks-moving-in-mondays-mid-day-session,Benzinga,0.08249072356215213,0.3728432282003711,neutral,0.08249072356215213,True,True,False,False,False,False,False,False,0.0,1954,"['GMVD', 'HHRS', 'VTSI', 'INDO', 'APLM', 'ONCS', 'CRKN', 'BRN', 'UHG', 'CANO', 'HCDI', 'GBR', 'MCOM', 'ALPS', 'MINM', 'LOV', 'KC', 'PALI', 'BGCP', 'ANVS', 'TNGX', 'ENG', 'EAST', 'GDEV', 'HSKA', 'SMLR', 'GFAI', 'TRMD', 'ASND', 'ALLR', 'USEG', 'INCR', 'PUMP', 'SSU', 'BPT', 'TECK', 'NOGN', 'COP', 'INPX', 'AMPX', 'DHT', 'KOD', 'BDRX', 'FRO', 'HKIT', 'BREA', 'MRO', 'ISEE', 'MGRX', 'VNET']",BPT,2023-04-03
Nasdaq Down 80 Points; VirTra Shares Spike Higher,"U.S. stocks traded mixed toward the end of trading, with the Nasdaq Composite dropping around 80 points on Monday.
The Dow traded up 0.89% to 33,571.43 while the NASDAQ fell 0.66% to 12,142.07. The S&P 500, also rose, gaining, 0.17% to 4,116.15.
Check This Out:  Top 4 Materials Stocks That Set To Fly In April
 
Leading and Lagging Sectors

Energy shares jumped by 4.7% on Friday. Meanwhile, top gainers in the sector included  Nine Energy Service, Inc.  (NYSE: NINE), up 15%, and  BP Prudhoe Bay Royalty Trust  (NYSE: BPT), up 19%.
In trading on Friday, consumer discretionary fell by 1.4%.


 
Top Headline

The ISM manufacturing PMI fell to 46.3 in March versus a reading of 47.7 in February, missing market estimates of 47.5.
 
Equities Trading UP

VirTra, Inc. (NASDAQ: VTSI) shares shot up 23% to $4.9373 after reporting a profit for the fourth quarter
Shares of  Heska Corporation (NASDAQ: HSKA) got a boost, shooting 20% to $117.56 after Mars announced it would acquire the company for $120/share.
InterCure Ltd.  (NASDAQ: INCR) shares were also up, gaining 25% to $2.55 after the company reported record fiscal year 2022 revenue of $150 million.


 
Equities Trading DOWN

OncoSec Medical Incorporated (NASDAQ: ...",2023-04-03 18:48:14+00:00,https://www.benzinga.com/news/earnings/23/04/31641460/nasdaq-down-80-points-virtra-shares-spike-higher,Benzinga,0.2199074074074074,0.3939814814814815,positive,0.2199074074074074,True,True,True,False,False,False,False,False,0.0,1275,"['HSKA', 'BPT', 'VTSI', 'ONCS', 'ASND', 'INCR', 'NINE', 'PALI']",BPT,2023-04-03
US Stocks Edge Lower; Factory Orders Decline In February,"U.S. stocks traded slightly lower this morning, with the Dow Jones dropping around 40 points on Tuesday.
The Dow traded down 0.10% to 33,566.87 while the NASDAQ fell 0.06% to 12,181.88. The S&P 500, also fell, dropping, 0.02% to 4,123.58.
Check This Out:  Top 4 Materials Stocks That Set To Fly In April
 
Leading and Lagging Sectors

Energy shares jumped by 4.7% on Tuesday. Meanwhile, top gainers in the sector included  Nine Energy Service, Inc.  (NYSE: NINE), up 15%, and  BP Prudhoe Bay Royalty Trust  (NYSE: BPT), up 19%.
In trading on Tuesday, consumer discretionary fell by 1.4%.


 
Top Headline

U.S. factory orders dropped 0.7% for February, versus market expectations for a 0.5% decline.
 
Equities Trading UP

Bullfrog AI Holdings, Inc.  (NASDAQ: BFRG) shares shot up 87% to $8.79 after the company announced a worldwide license agreement with Johns Hopkins University Applied Physics Laboratory for use of patented technology powering the company's bfLEAP platform.
Shares of  Cardlytics, Inc.  (NASDAQ: CDLX) got a boost, shooting 29% to $4.4450 after the company raised its Q1 revenue guidance.
Near Intelligence, Inc.  (NASDAQ: ...",2023-04-04 14:07:05+00:00,https://www.benzinga.com/news/earnings/23/04/31657997/us-stocks-edge-lower-factory-orders-decline-in-february,Benzinga,0.2968253968253968,0.4650793650793651,positive,0.2968253968253968,True,False,True,False,False,False,False,False,0.0,1206,"['BPT', 'AMC', 'NIR', 'CDLX', 'NINE', 'KAL', 'NOGN', 'BFRG']",BPT,2023-04-04
US Stocks Open Lower; Nasdaq Down Over 1%,"U.S. stocks traded lower this morning, with the Nasdaq Composite dropping over 1% on Monday.
Following the market opening Monday, the Dow traded down 0.20% to 33,417.76 while the NASDAQ fell 1.11% to 11,953.54. The S&P 500, also fell, dropping, 0.61% to 4,080.05.
Check This Out:  Top 5 Utilities Stocks That You May Want To Dump In Q2
 
Top Headline
On Friday, the Labor Department reported the U.S. economy added 236,000 jobs in March, just shy of market estimates of 240,000 jobs. U.S. wages increased 4.2% year-over-year, while the unemployment rate fell from 3.6% to 3.5%.
 
Equities Trading UP

Guardforce AI Co., Limited (NASDAQ: GFAI) shares shot up 41% to $18.02 amid continued volatility in AI stocks.
Shares of  Ebix, Inc. (NASDAQ: EBIX) got a boost, shooting 30% to $16.93. Ebix named executive Amit K. Garg as CFO effective April 21. EbixCash Limited, a subsidiary of Ebix, received Securities and Exchange Board of India clearance for its proposed initial public ...",2023-04-10 13:57:55+00:00,https://www.benzinga.com/news/earnings/23/04/31726626/us-stocks-open-lower-nasdaq-down-over-1,Benzinga,0.05383597883597884,0.31917989417989423,neutral,0.05383597883597884,False,False,True,False,False,False,True,False,0.0,1023,"['AUDC', 'EBIX', 'BPT', 'TUP', 'AMC', 'AREN', 'SKLZ', 'GFAI']",BPT,2023-04-10
