date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-04,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,167.0,BRFS
2021-05-12,0.0352,,1,0.0352,0.0,1,0,0,0,0,0,0,0,4357.0,BRFS
2021-05-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,106.0,BRFS
2021-05-19,0.1282,,1,0.1282,0.0,1,0,1,0,0,0,0,0,1363.0,BRFS
2021-05-24,0.244,,1,0.244,0.0,1,1,0,0,1,0,0,0,2336.0,BRFS
2021-08-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,103.0,BRFS
2021-08-16,0.2679,,1,0.2679,0.0,0,1,0,0,0,0,0,0,289.0,BRFS
2021-09-27,0.4071,,1,0.4071,0.0,0,1,0,0,0,0,0,0,272.0,BRFS
2021-11-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,108.0,BRFS
2022-01-09,0.0625,,1,0.0625,0.0,0,1,1,0,0,0,0,0,270.0,BRFS
2022-02-07,-0.0794,,1,0.0794,0.0,0,0,0,0,0,0,0,0,137.0,BRFS
2022-07-06,0.1188,,1,0.1188,0.0,1,0,0,0,0,0,0,0,303.0,BRFS
2022-07-22,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,309.0,BRFS
2022-08-02,0.1214,,1,0.1214,0.0,1,0,0,0,0,0,0,0,290.0,BRFS
2022-08-10,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,307.0,BRFS
2022-08-12,0.0577,0.0672,2,0.0577,0.0,1,1,2,0,2,0,2,1,2781.5,BRFS
2022-08-19,0.2867,,1,0.2867,0.0,0,0,0,0,0,0,0,0,317.0,BRFS
2022-08-23,0.0806,,1,0.0806,0.0,1,0,0,0,0,0,0,0,381.0,BRFS
2022-09-09,0.3222,,1,0.3222,0.0,0,1,0,0,0,0,0,0,324.0,BRFS
2022-10-14,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,313.0,BRFS
2022-10-26,-0.0302,,1,0.0302,0.0,1,0,0,0,0,0,0,0,672.0,BRFS
2022-11-16,0.0115,0.0555,2,0.0393,0.0,0,1,1,0,0,0,0,0,1970.0,BRFS
2022-11-17,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,138.0,BRFS
2022-11-18,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,139.0,BRFS
2023-03-01,0.1287,,1,0.1287,0.0,0,0,1,0,0,0,0,0,1013.0,BRFS
2023-05-31,0.1446,,1,0.1446,0.0,1,0,1,0,0,1,0,0,1498.0,BRFS
2023-06-01,0.0367,,1,0.0367,0.0,0,1,1,0,0,0,0,0,7857.0,BRFS
2023-07-05,0.1917,,1,0.1917,0.0,0,1,0,0,0,0,0,0,232.0,BRFS
2023-07-20,0.41,,1,0.41,0.0,0,0,1,0,0,0,0,0,1106.0,BRFS
2023-08-04,-0.0214,,1,0.0214,0.0,0,1,1,0,0,0,0,0,4253.0,BRFS
2023-09-27,0.375,,1,0.375,0.0,0,1,0,0,0,0,0,0,329.0,BRFS
2023-11-03,0.2867,,1,0.2867,0.0,0,0,0,0,0,0,0,0,317.0,BRFS
2023-11-07,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,309.0,BRFS
2023-11-14,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,152.0,BRFS
2023-11-23,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,309.0,BRFS
2023-11-28,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,176.0,BRFS
2023-11-30,0.1031,,1,0.1031,0.0,0,0,1,0,0,0,0,0,899.0,BRFS
2024-01-04,0.1636,,1,0.1636,0.0,1,0,1,0,0,0,1,0,1457.0,BRFS
2024-01-29,0.025,,1,0.025,0.0,1,0,0,0,0,0,0,0,228.0,BRFS
2024-01-30,0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,260.0,BRFS
2024-02-02,0.3303,,1,0.3303,0.0,1,0,0,0,0,0,0,0,232.0,BRFS
2024-02-16,0.65,,1,0.65,0.0,0,0,0,0,0,0,0,0,156.0,BRFS
2024-02-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,138.0,BRFS
2024-02-27,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,307.0,BRFS
2024-03-05,0.3722,,1,0.3722,0.0,0,1,0,0,0,0,0,0,319.0,BRFS
2024-03-06,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,179.0,BRFS
2024-03-13,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,172.0,BRFS
2024-03-14,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,313.0,BRFS
2024-03-21,0.2867,,1,0.2867,0.0,0,0,0,0,0,0,0,0,316.0,BRFS
2024-03-22,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,177.0,BRFS
2024-03-27,0.1886,,1,0.1886,0.0,0,0,0,0,0,0,0,0,220.0,BRFS
2024-04-01,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,309.0,BRFS
2024-04-08,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,182.0,BRFS
2024-04-15,0.0477,,1,0.0477,0.0,1,1,0,0,0,0,0,0,942.0,BRFS
2024-04-17,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,307.0,BRFS
2024-04-23,0.3176,0.1825,2,0.3176,0.0,0,0,0,0,0,0,0,0,255.0,BRFS
2024-05-03,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,313.0,BRFS
2024-05-08,0.1309,0.1134,2,0.1309,0.0,0,2,0,0,0,0,0,0,132.5,BRFS
2024-05-09,0.3589,0.1021,2,0.3589,0.0,0,2,0,0,0,0,0,0,245.0,BRFS
2024-05-10,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,160.0,BRFS
2024-05-13,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,180.0,BRFS
2024-05-20,0.3667,0.1886,2,0.3667,0.0,1,1,0,0,0,0,0,0,232.0,BRFS
2024-05-22,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,116.0,BRFS
2024-05-24,0.6,,1,0.6,0.0,0,1,0,0,0,0,0,0,198.0,BRFS
2024-05-27,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,166.0,BRFS
2024-05-28,0.3583,,1,0.3583,0.0,0,0,0,0,0,0,0,0,287.0,BRFS
2024-05-31,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,209.0,BRFS
2024-06-03,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,180.0,BRFS
2024-06-05,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,309.0,BRFS
2024-06-06,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,136.0,BRFS
2024-06-07,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,112.0,BRFS
2024-06-10,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,211.0,BRFS
2024-06-12,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,182.0,BRFS
2024-06-21,0.2302,0.0192,2,0.2302,0.0,1,0,0,0,0,0,0,0,274.5,BRFS
2024-06-24,0.294,0.1311,3,0.294,0.0,0,0,0,0,0,0,0,0,204.0,BRFS
2024-06-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,163.0,BRFS
2024-06-28,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,189.0,BRFS
2024-07-03,0.1833,,1,0.1833,0.0,0,0,1,0,0,0,0,0,405.0,BRFS
2024-07-17,0.0341,,1,0.0341,0.0,0,0,0,0,1,0,0,0,361.0,BRFS
2024-07-18,0.1366,,1,0.1366,0.0,1,0,1,0,0,0,0,0,315.0,BRFS
