title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Bitcoin ETF Launch Shatters Records, Attracts Over $4 Billion: 'Biggest Day One Splash In ETF History,' Analyst Says","Bitcoin exchange-traded funds attracted over $4 billion in inflows on their first day of trading on Thursday, according to data shared by Bloomberg’s senior ETF analyst Eric Balchunas at market close Thursday. 
“Easily the biggest Day One splash in ETF history,” the analyst wrote on social media platform X. 


HOME STRETCH: $IBIT has just passed $1b in volume today (will break $BITO's record) w/ group hitting $4.3b or $2.2b ex-GBTC (which isn't 'new' per se). Also good sign to see 4 issuers over $100m. Strong middle class in the works. Easily the biggest Day One splash in ETF history. pic.twitter.com/LeVJKvWj3V
— Eric Balchunas (@EricBalchunas) ...Full story available on Benzinga.com",2024-01-11 23:12:41+00:00,https://www.benzinga.com/markets/cryptocurrency/24/01/36603461/bitcoin-etf-launch-shatters-records-attracts-over-4-billion-biggest-day-one-splash-in-etf-,Benzinga,0.3132996632996633,0.4727272727272728,positive,0.3132996632996633,False,False,False,False,True,False,False,False,0.0,810,"['BLK', 'GBTC', 'HODL', 'IBIT', 'DEFI', 'BTCW', 'BRRR', 'BTCO', 'FBTC', 'EZBC', 'ARKB']",BTCW,2024-01-11
A Bitcoin Bonanza: Unpacking the 11 Bitcoin ETFs Approved by the SEC,"Explore the new frontier of Bitcoin ETFs and how they could transform your approach to cryptocurrency investment. The new Bitcoin ETFs may seem similar, but they are different in a couple of important ways.",2024-01-12 11:03:00+00:00,https://www.fool.com/investing/2024/01/12/a-bitcoin-bonanza-unpacking-the-11-bitcoin-etfs/,The Motley Fool,0.09545454545454546,0.5848484848484848,neutral,0.09545454545454546,False,False,True,False,False,False,False,False,0.2,276,"['GBTC', 'DEFI', 'ARKB', 'BRRR', 'BTCW', 'BTCO']",BTCW,2024-01-12
"Bitcoin ETFs Are Here. Which One Should You Buy, If Any of Them?",11 competitors are all vying for investors' money. That's great for consumers.,2024-01-12 22:07:00+00:00,https://www.fool.com/investing/2024/01/12/bitcoin-etfs-are-here-which-one-should-you-buy-if/,The Motley Fool,0.8,0.75,positive,0.8,False,True,False,False,False,False,False,False,0.0,144,"['BLK', 'GBTC', 'COIN', 'DEFI', 'ARKB', 'BRRR', 'BTCW', 'BTCO']",BTCW,2024-01-12
Should You Buy the New Bitcoin ETFs? Consider These 2 Risks,The new Bitcoin ETFs might seem largely risk-free. They're not.,2024-01-23 11:30:00+00:00,https://www.fool.com/investing/2024/01/23/should-you-buy-the-new-bitcoin-etfs-consider-these/,The Motley Fool,0.22424242424242424,0.503030303030303,positive,0.22424242424242424,False,True,False,False,False,False,False,False,0.0,124,"['BLK', 'COIN', 'BTCW', 'IBIT', 'HODL']",BTCW,2024-01-23
Bitcoin Well Provides Preliminary Year End Update and Bitcoin Super Company Vision,"Preliminary, unaudited Q4 growth numbers for Bitcoin Well and Bitcoin Super Company vision outline.",2024-02-21 13:35:00+00:00,https://www.globenewswire.com/news-release/2024/02/21/2832762/0/en/Bitcoin-Well-Provides-Preliminary-Year-End-Update-and-Bitcoin-Super-Company-Vision.html,GlobeNewswire Inc.,0.3333333333333333,0.6666666666666666,positive,0.3333333333333333,False,False,False,False,False,False,False,False,0.0,183,['BTCW'],BTCW,2024-02-21
"Bitcoin-related stocks, ETFs rise as the crypto approaches new record high ","Bitcoin-related stocks and funds rose on Tuesday, as the cryptocurrency’s price climbed above $57,000 to the highest level seen since it hit an all-time high in November 2021.",2024-02-27 20:42:00+00:00,https://www.marketwatch.com/story/bitcoin-related-companies-funds-rise-as-the-crypto-approaches-new-record-high-1a5ec9b5,MarketWatch,0.21127272727272728,0.5169090909090909,positive,0.21127272727272728,False,False,False,False,False,False,False,False,0.0,252,"['COIN', 'MSTR', 'IBIT', 'GBTC', 'ARKB', 'HODL', 'FBTC', 'BTCW', 'EZBC', 'BRRR', 'BITB', 'BTCO', 'MARA', 'EBON', 'RIOT']",BTCW,2024-02-27
Bitcoin Well Announces Record Number of Signups to the Bitcoin Portal in February,See the Bitcoin Well Bitcoin Portal growth to February 2024,2024-03-04 12:30:00+00:00,https://www.globenewswire.com/news-release/2024/03/04/2839437/0/en/Bitcoin-Well-Announces-Record-Number-of-Signups-to-the-Bitcoin-Portal-in-February.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,142,['BTCW'],BTCW,2024-03-04
Bitcoin Well Announces Brokered Financing Led by Haywood Securities,NOT FOR DISTRIBUTION TO UNITED STATES NEWS WIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES.,2024-03-04 22:47:00+00:00,https://www.globenewswire.com/news-release/2024/03/04/2840036/0/en/Bitcoin-Well-Announces-Brokered-Financing-Led-by-Haywood-Securities.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,True,False,False,False,False,False,0.0,168,['BTCW'],BTCW,2024-03-04
Bitcoin Well Announces Instant Buy in the USA and Provides Early March Signup Data,Learn about Instant Buy - now available at bitcoinwell.com,2024-03-12 11:30:00+00:00,https://www.globenewswire.com/news-release/2024/03/12/2844422/0/en/Bitcoin-Well-Announces-Instant-Buy-in-the-USA-and-Provides-Early-March-Signup-Data.html,GlobeNewswire Inc.,0.125,0.5083333333333333,positive,0.125,False,True,False,False,False,False,False,False,0.0,142,['BTCW'],BTCW,2024-03-12
Bitcoin Well Announces Closing of Oversubscribed Private Placement of Units for Gross Proceeds of $2.3 Million,Bitcoin Well closes oversubscribed financing,2024-03-22 13:00:00+00:00,https://www.globenewswire.com/news-release/2024/03/22/2850968/0/en/Bitcoin-Well-Announces-Closing-of-Oversubscribed-Private-Placement-of-Units-for-Gross-Proceeds-of-2-3-Million.html,GlobeNewswire Inc.,0.0,0.1875,neutral,0.0,False,False,False,False,False,False,False,False,0.0,156,['BTCW'],BTCW,2024-03-22
