title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Silver to Gain on Demand & Supply Imbalance: 4 Stocks to Watch,"As the impending demand and supply imbalance is likely to drive silver prices higher, we suggest to keep an eye on stocks like FNLPF, HL, BVN and AXU that are poised to tap this momentum.",2021-06-15 13:54:00+00:00,https://www.zacks.com/stock/news/1712200/silver-to-gain-on-demand-supply-imbalance-4-stocks-to-watch,Zacks Investment Research,0.125,0.75,positive,0.125,False,False,False,False,False,False,False,False,0.0,251,"['HL', 'BVN']",BVN,2021-06-15
"The Zacks Analyst Blog Highlights: Fresnillo, Hecla Mining, Buenaventura Mining and Alexco Resource","The Zacks Analyst Blog Highlights: Fresnillo, Hecla Mining, Buenaventura Mining and Alexco Resource",2021-06-16 13:16:00+00:00,https://www.zacks.com/stock/news/1716966/the-zacks-analyst-blog-highlights-fresnillo-hecla-mining-buenaventura-mining-and-alexco-resource,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,200,"['HL', 'BVN', 'AXU']",BVN,2021-06-16
3 Silver Mining Stocks to Watch Despite Delta Variant Related Woes,"The Delta variant might impact industrial activity, thus clouding the Zacks Mining Silver industry's prospects. Amid this scenario, Pan American Silver (PAAS), Buenaventura Mining Company Inc. (BVN) and MAG Silver Corp. (MAG) are betting on cost control to drive margins.",2021-08-02 13:49:00+00:00,https://www.zacks.com/commentary/1772440/3-silver-mining-stocks-to-watch-despite-delta-variant-related-woes,Zacks Investment Research,0.0,0.2,neutral,0.0,False,False,False,False,False,False,False,False,0.0,339,"['PAAS', 'BVN', 'MAG']",BVN,2021-08-02
Bear of the Day: Buenaventura Mining (BVN),If commodities are on the rise then why is this stock under pressure?,2021-08-25 11:00:00+00:00,https://www.zacks.com/commentary/1786201/bear-of-the-day-buenaventura-mining-bvn,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,113,"['BVN', 'EXK', 'AG']",BVN,2021-08-25
New Strong Sell Stocks for September 30th,"ASH, BVN, LANC, MCB, and VRT have been added to the Zacks Rank #5 (Strong Sell) List on September 30, 2021.",2021-09-30 15:03:00+00:00,https://www.zacks.com/stock/news/1803180/new-strong-sell-stocks-for-september-30th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,150,"['ASH', 'BVN', 'LANC', 'MCB', 'VRT']",BVN,2021-09-30
Is Buenaventura (BVN) Stock Outpacing Its Basic Materials Peers This Year?,Here is how Buenaventura (BVN) and Anglo American (NGLOY) have performed compared to their sector so far this year.,2022-01-20 14:40:04+00:00,https://www.zacks.com/stock/news/1854649/is-buenaventura-bvn-stock-outpacing-its-basic-materials-peers-this-year,Zacks Investment Research,0.03333333333333333,0.375,neutral,0.03333333333333333,False,False,True,False,False,False,False,False,0.0,191,['BVN'],BVN,2022-01-20
Buenaventura (BVN) Stock Jumps 7.6%: Will It Continue to Soar?,Buenaventura (BVN) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,2022-02-09 11:39:00+00:00,https://www.zacks.com/stock/news/1864586/buenaventura-bvn-stock-jumps-76-will-it-continue-to-soar,Zacks Investment Research,0.16999999999999998,0.39333333333333337,positive,0.16999999999999998,True,False,False,False,False,False,False,False,0.0,264,['BVN'],BVN,2022-02-09
"Benzinga's Top Ratings Upgrades, Downgrades For March 24, 2022","Upgrades
For iRobot Corp (NASDAQ:IRBT), Northland Capital Markets upgraded the previous rating of Market Perform to Outperform. In the fourth quarter, iRobot showed an EPS of $1.05, compared to $0.84 from the year-ago quarter. The current stock performance of iRobot shows a 52-week-high of $125.38 and a 52-week-low of $53.10. Moreover, at the end of the last trading period, the closing price was at $60.16.   
UBS upgraded the previous rating for MYT Netherlands Parent BV (NYSE:MYTE) from Neutral to Buy. For the second quarter, MYT Netherlands Parent had an EPS of $0.25, compared to year-ago quarter EPS of $0.25. At the moment, the stock has a 52-week-high of $32.71 and a 52-week-low of $10.74. MYT Netherlands Parent closed at $10.86 at the end of the last trading period.   
According to Goldman Sachs, the prior rating for Reata Pharmaceuticals Inc (NASDAQ:RETA) was changed from Neutral to Buy. Reata Pharmaceuticals earned $1.59 in the fourth quarter, compared to $1.25 in the year-ago quarter. The stock has a 52-week-high of $153.41 and a 52-week-low of $22.71. At the end of the last trading period, Reata Pharmaceuticals closed at $37.09.   
According to B of A Securities, the prior rating for Arcos Dorados Holdings Inc (NYSE:ARCO) was changed from Neutral to Buy. For the fourth quarter, Arcos Dorados Holdings had an EPS of $0.22, compared to year-ago quarter EPS of $0.12. The stock has a 52-week-high of $8.13 and a 52-week-low of $4.33. At the end of the last trading period, Arcos Dorados Holdings closed at $7.82.   
Stifel upgraded the previous rating for Ping Identity Holding Corp (NYSE:PING) from Hold to Buy. For the fourth quarter, Ping Identity Holding had an EPS of $0.13, compared to year-ago quarter EPS of $0.09. The current stock performance of Ping Identity Holding shows a 52-week-high of $30.25 and a 52-week-low of $17.60. Moreover, at the end of the last trading period, the closing price was at $24.11.   
According to Morgan Stanley, the prior rating for Buenaventura Mining Co Inc (NYSE:BVN) was changed from Underweight to Equal-Weight. In the fourth quarter, Buenaventura Mining Co showed an EPS of $0.89, compared to $0.24 from the year-ago quarter. At the moment, the stock has a 52-week-high of $12.44 and a 52-week-low of $6.11. Buenaventura Mining Co closed at $10.41 at the end of the last trading period.   
Wells Fargo upgraded the previous rating for Werner Enterprises Inc (NASDAQ:WERN) from Underweight to Equal-Weight. For the fourth quarter, Werner Enterprises had an EPS of $1.13, compared to year-ago quarter EPS of $0.89. At the moment, the stock has a 52-week-high of $49.76 and a 52-week-low of $41.44. Werner Enterprises closed at $42.14 at the end of the last trading period.   
For British American Tobacco PLC (NYSE:BTI), JP Morgan upgraded the previous rating of Neutral to Overweight. The stock has a 52-week-high of $47.23 and a 52-week-low of $33.62. At the end of the last trading period, British American Tobacco closed at $42.15.   
Keybanc upgraded the previous rating for Schnitzer Steel Industries Inc (NASDAQ:SCHN) from Sector Weight to Overweight. Schnitzer Steel Indus earned $1.58 in the first quarter, compared to $0.57 in the year-ago quarter. The stock has a 52-week-high of $59.34 and a 52-week-low of $35.34. At the end of the last trading period, Schnitzer Steel Indus closed at $48.89.   
For Johnson Controls International PLC (NYSE:JCI), Deutsche Bank upgraded the previous rating of Hold to Buy. Johnson Controls Intl earned $0.54 in the first quarter, compared to $0.43 in the year-ago quarter. At the moment, the stock has a 52-week-high of $81.77 and a 52-week-low of $58.15. Johnson Controls Intl closed at $64.76 at the end of the last trading period.   
According to Credit Suisse, the prior rating for Liberty Global PLC (NASDAQ:LBTYA) was changed from Neutral to Outperform. For the fourth quarter, Liberty Global had an EPS of $1.26, compared to year-ago ...Full story available on Benzinga.com",2022-03-24 14:04:12+00:00,https://www.benzinga.com/analyst-ratings/upgrades/22/03/26277739/benzingas-top-ratings-upgrades-downgrades-for-march-24-2022,Benzinga,-0.011333333333333329,0.10000000000000002,neutral,0.011333333333333329,False,True,True,False,False,False,False,False,0.0,4061,"['BTI', 'ARCO', 'CIEN', 'AMPE', 'INFN', 'POST', 'IRBT', 'NSTG', 'LBTYA', 'LDOS', 'NTAP', 'RETA', 'SCHN', 'LI', 'WERN', 'PING', 'AA', 'AY', 'BVN', 'PLAN', 'EOG', 'PAYS', 'IFF', 'XPEV', 'JCI', 'MYTE', 'MIR', 'LGVN', 'VALE', 'HCWB', 'SCCO', 'COOK']",BVN,2022-03-24
3 Silver Mining Stocks to Watch in a Challenging Industry,"The Zacks Mining Silver industry participants like Buenaventura Mining Company (BVN), MAG Silver (MAG) and Fortuna Silver Mines (FSM) are poised well to benefit from high demand for the metal and their growth projects.",2022-04-19 13:07:00+00:00,https://www.zacks.com/commentary/1902154/3-silver-mining-stocks-to-watch-in-a-challenging-industry,Zacks Investment Research,0.33,0.77,positive,0.33,False,False,False,False,False,False,False,False,0.0,277,"['BVN', 'FSM', 'MAG']",BVN,2022-04-19
"Zacks Industry Outlook Highlights Buenaventura Mining, MAG Silver and Fortuna Silver Mines","Buenaventura Mining, MAG Silver and Fortuna Silver Mines have been highlighted in this Industry Outlook article.",2022-04-20 10:29:00+00:00,https://www.zacks.com/stock/news/1903050/zacks-industry-outlook-highlights-buenaventura-mining-mag-silver-and-fortuna-silver-mines,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,204,"['BVN', 'FSM', 'MAG']",BVN,2022-04-20
