date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-07,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,176.5,CABO
2021-05-10,0.0861,,1,0.0861,0.0,1,0,0,0,0,0,0,0,264.0,CABO
2021-06-14,0.05,,1,0.05,0.0,0,0,0,0,0,0,1,0,252.0,CABO
2021-08-01,0.2292,0.0412,2,0.2292,0.0,1,0,0,0,0,0,0,0,162.5,CABO
2021-08-02,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,233.0,CABO
2021-08-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,CABO
2021-08-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,172.0,CABO
2021-08-08,0.0688,0.1856,2,0.1312,0.0,0,0,0,0,0,0,0,0,176.5,CABO
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,CABO
2021-08-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,111.0,CABO
2021-08-15,0.0271,0.2445,2,0.1729,0.0,0,0,0,0,0,0,0,0,145.5,CABO
2021-09-02,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,103.0,CABO
2021-10-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,CABO
2021-10-11,-0.225,0.0354,2,0.225,0.0,0,0,1,0,0,0,0,0,245.5,CABO
2021-10-13,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,286.0,CABO
2021-11-03,0.3667,0.1886,2,0.3667,0.0,1,0,0,0,0,0,0,0,177.0,CABO
2021-11-05,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,176.0,CABO
2021-11-21,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,CABO
2021-12-12,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,235.0,CABO
2022-02-17,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,259.0,CABO
2022-02-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,CABO
2022-02-28,-0.017,,1,0.017,0.0,0,1,1,0,0,0,0,0,5508.0,CABO
2022-03-01,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,303.0,CABO
2022-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,CABO
2022-05-05,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,242.5,CABO
2022-05-10,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,200.5,CABO
2022-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,247.0,CABO
2022-06-06,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,521.0,CABO
2022-06-10,0.0611,,1,0.0611,0.0,1,1,1,0,1,0,0,0,723.0,CABO
2022-06-30,0.1648,,1,0.1648,0.0,0,0,0,0,0,0,0,0,218.0,CABO
2022-07-28,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,240.0,CABO
2022-07-29,0.0694,,1,0.0694,0.0,1,0,0,0,0,0,0,0,249.0,CABO
2022-08-05,0.0306,0.0432,2,0.0306,0.0,2,0,0,0,1,0,0,0,489.0,CABO
2022-08-26,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,209.0,CABO
2022-08-29,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,256.0,CABO
2022-09-12,-0.0216,,1,0.0216,0.0,0,1,1,0,0,0,0,0,5192.0,CABO
2022-09-14,-0.3,,1,0.3,0.0,0,0,0,0,0,0,1,0,218.0,CABO
2022-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,CABO
2022-11-07,0.0427,0.091,2,0.0644,0.0,2,1,0,0,1,1,0,0,2923.5,CABO
2022-11-16,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,711.0,CABO
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,CABO
2023-02-21,-0.0102,,1,0.0102,0.0,0,1,1,0,0,0,1,0,5293.0,CABO
2023-02-24,0.0278,0.0393,2,0.0278,0.0,1,0,0,0,0,0,0,0,416.5,CABO
2023-03-02,0.0405,,1,0.0405,0.0,1,0,0,0,0,0,0,0,392.0,CABO
2023-03-03,-0.0933,,1,0.0933,0.0,1,0,0,0,0,0,0,0,343.0,CABO
2023-03-05,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,228.0,CABO
2023-04-04,0.2062,,1,0.2062,0.0,0,0,1,0,0,0,0,0,1033.0,CABO
2023-04-05,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,188.0,CABO
2023-04-06,0.1762,,1,0.1762,0.0,1,0,0,0,0,0,0,0,360.0,CABO
2023-04-24,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,359.0,CABO
2023-04-27,-0.0226,0.133,2,0.094,0.0,2,0,0,0,0,0,0,0,217.5,CABO
2023-04-28,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,252.0,CABO
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,232.0,CABO
2023-05-05,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,689.0,CABO
2023-06-28,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,152.0,CABO
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,231.0,CABO
2023-08-04,0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,325.0,CABO
2023-08-25,-0.15,,1,0.15,0.0,0,0,0,0,0,1,0,0,169.0,CABO
2023-08-28,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,246.0,CABO
2023-10-10,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,366.0,CABO
2023-10-12,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,313.0,CABO
2023-10-26,-0.15,0.9192,2,0.65,0.0,2,0,0,0,0,0,0,0,206.0,CABO
2023-10-27,-0.8,,1,0.8,0.0,1,0,0,0,0,0,0,0,172.0,CABO
2023-10-30,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,319.0,CABO
2023-10-31,0.4333,,1,0.4333,0.0,1,0,0,0,1,0,0,0,201.0,CABO
