date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-06-01,0.1733,0.2451,2,0.1733,0.0,2,1,0,0,0,0,0,0,734.0,CANG
2021-06-08,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,141.0,CANG
2021-06-28,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,141.0,CANG
2021-07-01,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,138.0,CANG
2021-08-20,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,106.0,CANG
2021-11-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,111.0,CANG
2022-03-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,110.0,CANG
2022-04-25,0.3125,,1,0.3125,0.0,0,1,0,0,0,0,0,0,282.0,CANG
2022-06-10,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,1,0,190.0,CANG
2022-08-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,106.0,CANG
2022-10-12,0.213,0.1171,4,0.213,0.0,1,2,0,0,2,4,0,0,982.75,CANG
2022-10-13,0.1654,,1,0.1654,0.0,1,0,0,0,1,1,0,0,2637.0,CANG
2022-11-08,0.228,0.1592,2,0.228,0.0,0,1,0,0,0,0,0,0,1177.5,CANG
2022-11-30,0.1395,,1,0.1395,0.0,1,0,0,0,0,0,0,0,2217.0,CANG
