title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Comcast Has a Huge, Unsolvable Problem","Comcast is facing challenges in its broadband, wireless, and streaming businesses, leading to declining revenue and a heavy debt load. The company's future remains uncertain as it struggles to adapt to changing market trends.",2024-07-30 13:36:19+00:00,https://www.fool.com/investing/2024/07/30/comcast-has-a-huge-unsolvable-problem/?source=iedfolrf0000001,The Motley Fool,0.0666666666666667,0.5083333333333333,neutral,0.0666666666666667,True,False,False,False,False,True,False,False,0.0,265,"['CCZ', 'CMCS.A', 'CMCSA', 'VZ', 'DIS']",CCZ,2024-07-30
"Comcast and Charter Lost Another 269,000 Broadband Customers Last Quarter. Where On Earth Are They Going?","Comcast and Charter are losing high-speed internet subscribers, as consumers are finding more cost-effective and convenient broadband service with providers like Verizon, AT&T, and T-Mobile. This trend suggests a challenging outlook for the cable companies' broadband businesses.",2024-08-08 11:58:00+00:00,https://www.fool.com/investing/2024/08/08/comcast-and-charter-lost-another-269000-broadband/?source=iedfolrf0000001,The Motley Fool,0.3333333333333333,0.5222222222222223,positive,0.3333333333333333,False,False,False,False,False,False,False,False,0.0,386,"['CCZ', 'CMCS.A', 'CMCSA', 'CHTR']",CCZ,2024-08-08
I'd Still Buy Disney Stock Despite Its Disappointing Fiscal Q3. Here's Why.,"The article discusses how The Walt Disney Company is reinventing itself, with its streaming business swinging to an operating profit and its movie-making arm showing signs of regaining its mojo. While the company's theme parks face challenges, the article argues that Disney's long-term prospects are promising and that the current stock price presents an opportunity for investors.",2024-08-12 09:15:00+00:00,https://www.fool.com/investing/2024/08/12/id-still-buy-disney-stock-despite-its-disappointin/?source=iedfolrf0000001,The Motley Fool,-0.13333333333333333,0.5333333333333333,negative,0.13333333333333333,True,True,False,False,False,False,False,False,0.0,459,"['DIS', 'CCZ', 'CMCS.A', 'CMCSA', 'WBD', 'CCL', 'NCLH']",CCZ,2024-08-12
Disney Just Made a Game-Changing Move. Here's What You Need to Know.,"Disney is ramping up investment in the UK and Europe to produce movies and TV shows for the big screen and its streaming platform, Disney+. This comes after strong box office performance and Disney+ achieving profitability earlier than expected, suggesting a promising growth trajectory for the company.",2024-08-17 12:17:00+00:00,https://www.fool.com/investing/2024/08/17/disney-just-made-a-game-changing-move/?source=iedfolrf0000001,The Motley Fool,0.10666666666666665,0.44666666666666666,positive,0.10666666666666665,True,False,False,False,False,False,False,False,0.0,373,"['DIS', 'WBD', 'CCZ', 'CMCS.A', 'CMCSA']",CCZ,2024-08-17
3 Dividend Stocks to Double Up On Right Now,"Dividend-paying stocks can provide steady income and portfolio growth, even for those not yet retired. The article highlights Pfizer, Medtronic, and Comcast as potential dividend-focused investments, with varying sentiments based on their business prospects and valuations.",2024-08-17 13:05:00+00:00,https://www.fool.com/investing/2024/08/17/3-dividend-stocks-to-double-up-on-right-now/?source=iedfolrf0000001,The Motley Fool,0.11309523809523808,0.5089285714285714,positive,0.11309523809523808,False,False,False,False,False,True,False,False,0.0,318,"['PFE', 'MDT', 'CCZ', 'CMCS.A', 'CMCSA']",CCZ,2024-08-17
"SIP Trunking Services Market to USD 177.84 Billion by 2032, Driven by the Increasing Demand for Scalable, Cost-effective Communication Solutions | Research by S&S Insider","The SIP trunking services market is expected to grow significantly, driven by the rising adoption of cloud-based solutions that offer businesses flexible, affordable, and scalable communication systems. Key factors driving this expansion include cost-efficiency, digital transformation, and the growing demand for unified communication platforms.",2024-11-15 14:00:00+00:00,https://www.globenewswire.com/news-release/2024/11/15/2982025/0/en/SIP-Trunking-Services-Market-to-USD-177-84-Billion-by-2032-Driven-by-the-Increasing-Demand-for-Scalable-Cost-effective-Communication-Solutions-Research-by-S-S-Insider.html,GlobeNewswire Inc.,0.06875,0.56875,neutral,0.06875,False,False,False,False,False,False,False,False,0.0,518,"['TWLO', 'FIVN', 'RNG', 'BAND', 'EGHT', 'VZ', 'CCZ', 'CMCS.A', 'CMCSA', 'VOD', 'KKPNY']",CCZ,2024-11-15
The Future of Live Sports on Netflix: Lessons Learned From Problems With the Tyson-Paul Event,"Netflix encountered technical issues during its first live sports event, the boxing match between Mike Tyson and Jake Paul. The article discusses the lessons Netflix learned and the challenges it may face in delivering high-quality live sports coverage in the future.",2024-11-17 14:21:00+00:00,https://www.fool.com/investing/2024/11/17/netflixs-sports-future-tyson-paul-event-lessons/?source=iedfolrf0000001,The Motley Fool,0.09415584415584415,0.31190476190476196,neutral,0.09415584415584415,False,False,False,False,False,False,False,False,0.0,362,"['NFLX', 'GOOG', 'GOOGL', 'CCZ', 'CMCS.A', 'CMCSA']",CCZ,2024-11-17
Comcast's Dire Situation Is Getting Worse,"Comcast's broadband business, once seen as a saving grace, is now declining, leading the company to consider spinning off some cable channels. The company's earnings report was a mixed bag, with revenue falling and management facing challenges in regaining its footing.",2024-11-21 14:15:00+00:00,https://www.fool.com/investing/2024/11/21/comcasts-dire-situation/?source=iedfolrf0000001,The Motley Fool,-0.2,0.425,negative,0.2,True,False,False,False,False,False,True,False,0.0,312,"['CCZ', 'CMCS.A', 'CMCSA', 'DIS']",CCZ,2024-11-21
The Stock Market Is Soaring but These 2 Stocks Are Still Dirt Cheap Buys,"AbbVie's stock dropped after a failed drug trial, but the company's diverse business and growth potential make it a good long-term investment. Comcast's stock has underperformed this year, but the upcoming launch of its Epic Universe theme park could be a growth catalyst in 2023.",2024-11-23 14:17:00+00:00,https://www.fool.com/investing/2024/11/23/the-stock-market-is-soaring-but-these-2-stocks-are/?source=iedfolrf0000001,The Motley Fool,0.13999999999999999,0.6,positive,0.13999999999999999,False,True,False,False,True,False,False,False,0.0,354,"['ABBV', 'CCZ', 'CMCS.A', 'CMCSA']",CCZ,2024-11-23
Peacock Pays Up: Macy's Thanksgiving Parade Costs Set To Balloon For Content-Hungry NBC,"NBC is considering a $60-million agreement, triple the current $20 million rate, to secure the rights to air the iconic Macy's Thanksgiving Day Parade for the next decade. This reflects the increasing value of marquee live events as traditional TV struggles to retain audiences.",2024-11-25 22:08:29+00:00,https://www.benzinga.com/general/entertainment/24/11/42177026/peacock-pays-up-macys-thanksgiving-parade-costs-set-to-balloon-for-content-hungry-nbc,Benzinga,0.06704545454545455,0.40208333333333335,neutral,0.06704545454545455,False,False,True,False,False,False,False,False,0.0,367,"['CCZ', 'CMCS.A', 'CMCSA', 'DIS']",CCZ,2024-11-25
Comcast Spins Out Cable Networks,"Comcast and Charter, two major cable providers, lost a significant number of broadband customers in the last quarter, raising questions about where these customers are going. The article discusses the potential reasons behind this trend and the challenges these companies face in the evolving media landscape.",2024-11-28 08:36:00+00:00,https://www.fool.com/investing/2024/11/28/comcast-spins-out-cable-networks/?source=iedfolrf0000001,The Motley Fool,0.007499999999999995,0.6283333333333333,neutral,0.007499999999999995,False,False,False,False,False,False,False,False,0.0,343,"['CCZ', 'CMCS.A', 'CMCSA', 'CHTR']",CCZ,2024-11-28
Rogers Xfinity présente le WiFi prêt pour les tempêtes,"Rogers has launched a new product called 'Rogers Xfinity WiFi Ready for Storms' that provides a backup internet connection through a cellular network during power or network outages, allowing customers to stay connected at home.",2024-12-10 14:00:00+00:00,https://www.globenewswire.com/news-release/2024/12/10/2994609/0/fr/Rogers-Xfinity-pr%C3%A9sente-le-WiFi-pr%C3%AAt-pour-les-temp%C3%AAtes.html,GlobeNewswire Inc.,0.16818181818181818,0.4772727272727273,positive,0.16818181818181818,False,False,False,False,True,False,False,False,0.0,284,"['CCZ', 'CMCSA', 'RCI']",CCZ,2024-12-10
The New Year Is Almost Here and Disney Has an Exciting Present for Shareholders,"Disney stock has gained 16% in the past month, but it remains 42% off its five-year highs. The company's revenue and earnings are improving, with streaming becoming profitable for the first time. Disney has several blockbuster movies lined up, but it still needs to regain the market's confidence for a full rebound.",2024-12-13 22:15:00+00:00,https://www.fool.com/investing/2024/12/13/the-new-year-is-here-and-disney-has-an-exciting-pr/?source=iedfolrf0000001,The Motley Fool,0.15454545454545454,0.40473484848484853,positive,0.15454545454545454,True,False,False,False,False,False,False,False,0.0,397,"['DIS', 'CCZ', 'CMCSA']",CCZ,2024-12-13
Trump Administration Could Ban Amazon's Top-Selling Routers Linked To Chinese Cyberattacks: Report,"The Trump administration is investigating Chinese router manufacturer TP-Link as a potential national security threat due to cyberattacks linked to its popular routers, which hold a 65% market share in the U.S. Authorities may ban TP-Link routers in the U.S. as soon as next year.",2024-12-18 17:20:40+00:00,https://www.benzinga.com/news/global/24/12/42559347/trump-administration-could-ban-amazons-top-selling-routers-linked-to-chinese-cyberattacks-report,Benzinga,0.07916666666666666,0.37916666666666665,neutral,0.07916666666666666,False,False,True,False,False,False,False,False,0.0,380,"['CCZ', 'CMCS.A', 'CMCSA']",CCZ,2024-12-18
