date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,114.0,CDE
2021-01-29,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,104.0,CDE
2021-02-02,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,86.0,CDE
2021-02-12,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,100.0,CDE
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,251.0,CDE
2021-04-29,-0.75,,1,0.75,0.0,0,0,0,0,0,0,0,0,100.0,CDE
2021-04-30,0.0781,0.1105,2,0.0781,0.0,2,1,0,0,0,0,0,0,1621.0,CDE
2021-05-03,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,173.0,CDE
2021-05-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,139.0,CDE
2021-05-17,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,191.0,CDE
2021-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,188.0,CDE
2021-07-05,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,243.0,CDE
2021-07-21,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,249.0,CDE
2021-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,CDE
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,112.0,CDE
2021-09-16,0.4,0.1414,2,0.4,0.0,0,0,0,0,0,0,0,0,138.5,CDE
2021-09-20,-0.002,,1,0.002,0.0,1,1,1,0,1,1,0,0,3522.0,CDE
2021-10-15,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,147.0,CDE
2021-10-20,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,266.0,CDE
2021-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,255.0,CDE
2021-10-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,CDE
2021-10-30,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,245.0,CDE
2021-11-10,-0.0625,,1,0.0625,0.0,1,0,0,0,0,0,0,0,191.0,CDE
2022-01-19,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,166.0,CDE
2022-01-28,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,160.0,CDE
2022-02-09,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,266.0,CDE
2022-02-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,250.0,CDE
2022-02-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,183.0,CDE
2022-03-03,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,216.0,CDE
2022-03-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,176.0,CDE
2022-04-04,-0.1111,,1,0.1111,0.0,0,0,0,0,1,0,0,0,237.0,CDE
2022-04-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,126.0,CDE
2022-04-27,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,266.0,CDE
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,249.0,CDE
2022-05-19,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,142.0,CDE
2022-06-02,0.2083,,1,0.2083,0.0,0,0,0,0,0,1,0,0,197.0,CDE
2022-07-14,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,150.0,CDE
