date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-08-31,-0.0164,,1,0.0164,0.0,0,1,1,0,0,0,0,0,3454.0,CDRE
2022-09-06,-0.0302,,1,0.0302,0.0,0,1,1,0,0,0,0,0,6998.0,CDRE
2022-11-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,314.0,CDRE
2022-11-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,274.0,CDRE
2022-11-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,255.0,CDRE
2022-11-11,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,664.0,CDRE
2022-11-15,0.1132,0.0619,2,0.1132,0.0,2,1,0,0,1,1,0,0,1573.0,CDRE
2022-11-16,0.1583,,1,0.1583,0.0,1,1,0,0,0,1,0,0,3515.0,CDRE
2022-12-16,0.2034,,1,0.2034,0.0,0,1,1,0,0,0,0,0,723.0,CDRE
2023-02-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,CDRE
2023-02-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,223.0,CDRE
2023-03-01,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,266.0,CDRE
2023-03-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,266.0,CDRE
2023-03-16,0.0706,,1,0.0706,0.2,0,0,0,0,1,0,0,0,690.0,CDRE
2023-03-17,-0.0778,,1,0.0778,0.0,0,0,0,0,0,0,1,0,95.0,CDRE
2023-05-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,CDRE
2023-05-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,265.0,CDRE
2023-06-06,0.0094,,1,0.0094,0.0,1,0,0,0,0,0,0,0,751.0,CDRE
2023-08-08,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,264.0,CDRE
2023-08-15,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,141.0,CDRE
2023-08-18,0.0975,,1,0.0975,0.0,1,0,0,0,0,0,0,0,390.0,CDRE
2023-09-05,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,203.0,CDRE
2023-09-12,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,220.0,CDRE
2023-09-29,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,196.0,CDRE
2023-10-16,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,216.0,CDRE
2023-10-18,0.0174,,1,0.0174,0.0,1,1,0,0,0,0,0,0,284.0,CDRE
2023-10-30,-0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,244.0,CDRE
2023-11-01,0.6667,,1,0.6667,0.0,0,1,0,0,0,0,0,0,176.0,CDRE
2023-11-10,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,229.0,CDRE
2023-12-26,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,509.0,CDRE
2024-02-06,0.2083,0.2946,2,0.2083,0.0,2,0,0,0,0,0,0,0,179.5,CDRE
2024-02-07,0.1719,0.2246,4,0.1719,0.0,4,0,2,0,0,0,0,0,180.25,CDRE
2024-02-09,0.2833,0.2021,3,0.2833,0.0,2,0,1,0,2,0,0,1,195.6667,CDRE
2024-02-12,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,193.0,CDRE
2024-02-13,0.33,,1,0.33,0.0,0,0,0,0,0,0,1,0,252.0,CDRE
2024-02-15,0.0287,0.0497,3,0.0287,0.0,3,0,0,0,0,0,0,0,163.3333,CDRE
2024-02-16,0.3222,,1,0.3222,0.2,1,0,0,0,0,0,0,0,270.0,CDRE
2024-02-19,0.198,,1,0.198,0.0,1,0,0,0,0,0,0,0,266.0,CDRE
2024-02-21,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,1,232.0,CDRE
2024-02-26,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,181.0,CDRE
2024-02-27,0.1875,,1,0.1875,0.0,1,0,0,0,0,0,0,0,162.0,CDRE
2024-02-28,0.18,0.0283,2,0.18,0.0,1,0,1,0,0,0,0,0,209.5,CDRE
2024-03-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,265.0,CDRE
2024-03-05,0.0,0.0,3,0.0,0.0,1,2,0,0,2,0,0,0,224.6667,CDRE
2024-03-06,0.0644,0.0268,2,0.0644,0.0,2,1,0,0,0,0,0,0,251.0,CDRE
2024-03-07,0.0912,0.0974,2,0.0912,0.0,1,0,0,0,0,0,0,0,186.0,CDRE
2024-03-08,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,223.0,CDRE
2024-03-11,0.325,0.4596,2,0.325,0.0,0,1,0,0,0,0,0,0,163.5,CDRE
2024-03-12,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,254.0,CDRE
2024-03-13,0.1325,0.046,2,0.1325,0.0,0,0,1,0,2,0,0,0,225.5,CDRE
2024-03-15,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,184.0,CDRE
2024-03-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,165.0,CDRE
2024-03-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,129.0,CDRE
2024-03-26,0.1188,0.1028,4,0.1188,0.0,0,1,1,0,1,0,0,0,210.5,CDRE
2024-03-27,0.0181,0.128,3,0.0847,0.0,1,1,1,0,0,0,0,0,201.6667,CDRE
2024-03-28,0.3,,1,0.3,0.0,0,1,0,0,1,0,0,0,152.0,CDRE
2024-04-01,-0.0583,,1,0.0583,0.0,1,0,0,0,0,0,0,0,170.0,CDRE
2024-04-03,0.25,0.3536,2,0.25,0.0,0,1,0,0,0,0,0,0,140.5,CDRE
2024-04-04,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,144.0,CDRE
2024-04-05,0.2833,,1,0.2833,0.0,1,0,0,0,0,0,0,0,170.0,CDRE
2024-04-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,144.0,CDRE
2024-04-10,0.08,,1,0.08,0.0,0,0,0,0,1,0,0,0,221.0,CDRE
2024-04-12,0.1667,0.2887,3,0.1667,0.0,1,2,0,0,0,0,0,0,192.3333,CDRE
2024-04-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,113.0,CDRE
2024-04-17,0.0583,0.0825,2,0.0583,0.0,0,1,0,0,0,0,0,0,231.0,CDRE
2024-04-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,148.0,CDRE
2024-04-23,0.2083,0.2946,2,0.2083,0.0,2,0,0,0,0,0,0,0,197.0,CDRE
2024-04-24,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,154.0,CDRE
2024-04-25,0.0694,0.1203,3,0.0694,0.0,3,0,0,0,0,0,0,0,186.0,CDRE
2024-04-26,0.3188,0.1856,2,0.3188,0.0,2,0,0,0,0,0,1,0,210.0,CDRE
2024-04-30,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,281.0,CDRE
2024-05-01,0.1429,,1,0.1429,0.0,1,0,1,0,0,0,0,0,243.0,CDRE
2024-05-02,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,265.0,CDRE
2024-05-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,250.0,CDRE
