title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Make the Most of AI Craze With This New ETF (CHAT),"The success of ChatGPT explains the growth for generative AI's potential. Hence, a pure-play ETF on this concept is now available to you.",2023-05-25 18:22:00+00:00,https://www.zacks.com/stock/news/2099899/make-the-most-of-ai-craze-with-this-new-etf-chat,Zacks Investment Research,0.2672727272727273,0.4709090909090909,positive,0.2672727272727273,False,False,False,False,False,False,False,False,0.0,189,"['ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'CHAT']",CHAT,2023-05-25
AI buzz pushes tech stocks higher – but here’s why the ripple effect in stocks may still be ‘narrow’,"The buzz around artificial intelligence may resonate across industries, as investors attempt to identify the stock-market winners as generative AI takes off.",2023-05-27 16:39:00+00:00,https://www.marketwatch.com/story/ai-buzz-pushes-tech-stocks-higher-but-heres-why-the-ripple-effect-in-stocks-may-still-be-narrow-fe906482,MarketWatch,-0.18333333333333335,0.6333333333333333,negative,0.18333333333333335,False,False,False,False,False,False,False,False,0.0,259,"['NVDA', 'CHAT', 'MSFT', 'GOOGL', 'SPRX', 'AMZN', 'NET', 'SNOW', 'DDOG', 'CRWD', 'ZS', 'PANW', 'COMP', 'ARKK', 'TSLA']",CHAT,2023-05-27
"ARK Innovation ETF rises sharply, Cathie Wood views its top holding Tesla as ‘most obvious beneficiary’ of recent AI breakthroughs","Cathie Wood’s ARK Innovation ETF rose sharply Tuesday, as shares of its largest holding Tesla jumped and technology stocks rallied amid ongoing investor enthusiasm over artificial intelligence.",2023-05-30 20:37:00+00:00,https://www.marketwatch.com/story/ark-innovation-etf-rises-sharply-cathie-wood-views-its-top-holding-tesla-as-most-obvious-beneficiary-of-recent-ai-breakthroughs-99819d00,MarketWatch,0.09375000000000001,0.65,neutral,0.09375000000000001,False,False,False,False,True,False,False,False,0.0,325,"['ARKK', 'COMP', 'NVDA', 'TSLA', 'CHAT', 'ZM', 'ROKU', 'COIN', 'PATH']",CHAT,2023-05-30
"Tech-related ETFs post huge 2023 gains with boost from AI hype, but some big ones still are left with outflows",This week’s ETF Wrap takes a look at tech-fund demand and performance while highlighting several AI-themed ETFs that have attracted inflows this year.,2023-06-01 19:31:00+00:00,https://www.marketwatch.com/story/tech-related-etfs-post-huge-2023-gains-with-boost-from-ai-hype-but-some-big-ones-still-are-left-with-outflows-817d8979,MarketWatch,0.10000000000000002,0.25,positive,0.10000000000000002,False,False,False,False,False,False,False,False,0.0,262,"['XLK', 'QQQ', 'SQQQ', 'QQQM', 'NVDA', 'MRVL', 'MSFT', 'RYT', 'CHAT', 'BOTZ', 'IRBO', 'ROBT', 'WTAI', 'THNQ', 'META', 'AAPL', 'AMZN', 'NFLX', 'GOOGL', 'AMD', 'SMH', 'SOXX', 'IGV', 'IYW', 'FTEC', 'UNG', 'OIH', 'USO', 'IEO', 'AMLP', 'SPY']",CHAT,2023-06-01
Capitalizing on $7 Trillion in Generative AI with ETFs,We discuss how investors can benefit from the generative AI gold rush.,2023-06-01 20:05:00+00:00,https://www.zacks.com/stock/news/2102806/capitalizing-on-7-trillion-in-generative-ai-with-etfs,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,126,"['AMD', 'NVDA', 'GOOGL', 'ROBO', 'BOTZ', 'IRBO', 'CHAT']",CHAT,2023-06-01
Will the AI Momentum Continue? ETFs to Buy,The AI hype surrounding the tech sector has boosted stocks this year. The rally is here to stay as the AI valuation is not too stretched.,2023-06-09 18:11:00+00:00,https://www.zacks.com/stock/news/2106597/will-the-ai-momentum-continue-etfs-to-buy,Zacks Investment Research,-0.05,0.0,neutral,0.05,False,True,True,False,False,False,False,False,0.0,181,"['ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'IRBO', 'CHAT']",CHAT,2023-06-09
Baidu Pops on Earnings Strength: ETFs to Benefit,"Baidu (BIDU) stock jumped after the tech giant, Chinese version of Google, breezed past analysts' earnings expectations.",2023-08-24 17:00:00+00:00,https://www.zacks.com/stock/news/2140489/baidu-pops-on-earnings-strength-etfs-to-benefit,Zacks Investment Research,-0.08333333333333333,0.4166666666666667,neutral,0.08333333333333333,True,False,False,False,False,False,False,False,0.0,170,"['BIDU', 'SOCL', 'PGJ', 'EWEB', 'CHAT']",CHAT,2023-08-24
"EXCLUSIVE: Roundhill Launches Dividend Kings ETF With 'The Gold Standard Of Dividend Growers,' Companies With 'Incredible Resilience'","The company behind pure-play ETFs that cover sectors such as cannabis stocks, the metaverse, sports betting and meme stocks is back with a new fund that covers a popular investment strategy.
What Happened: Roundhill Investments launched the Roundhill S&P Dividend Monarchs ETF (NYSE:KNGS) on Thursday. 
The launch followed the company's recent ETF that targeted the artificial intelligence sector.
""The Roundhill S&P Dividend Monarchs ETF is the first-ever U.S. listed ETF to track the performance of Dividend Monarchs, an elite group of U.S. blue chip companies that have grown their dividends for 50+ consecutive years,"" the company said.
The ETF will pay distributions on a quarterly basis, with payout dates in December, March, June and September listed on the website. The S&P Dividend Monarchs Index yields 3.51% as of October 2023.
""These companies, having rewarded shareholders with rising dividends for over half a century, exemplify financial fortitude and long-term vision,"" Roundhill Chief Strategy Officer Dave Mazza said. ""The KNGS ETF offers investors the opportunity to tap into this elite group, providing both the potential for robust yield and the premium quality associated with enduring blue-chip names.""
Related Link: Exclusive: Roundhill Launches Big Bank ETF With 6 Holdings, Highlights Diversified Deposits, Stronger ...Full story available on Benzinga.com",2023-11-02 18:25:38+00:00,https://www.benzinga.com/trading-ideas/dividends/23/11/35572980/exclusive-roundhill-launches-dividend-kings-etf-with-the-gold-standard-of-dividend-grower,Benzinga,0.05704099821746881,0.4041889483065954,neutral,0.05704099821746881,False,False,True,False,True,True,False,False,0.0,1516,"['ABBV', 'CHAT', 'WEED', 'BKH', 'NERD', 'FRT', 'BETZ', 'JNJ', 'KNGS', 'KMB', 'METV', 'KO', 'KVUE', 'LEG', 'BIGB', 'LOW', 'MMM', 'PEP', 'PG', 'SON', 'SWK', 'TGT', 'ABBV']",CHAT,2023-11-02
Top 5 Artificial Intelligence (AI) Stocks You Need To Know For 2024,Artificial intelligence was salvation for Wall Street this year and it could heat up in 2024. Click here for top 5 AI stocks for 2024.,2023-12-17 22:00:00+00:00,https://seekingalpha.com/article/4658125-top-5-artificial-intelligence-ai-stocks-you-need-to-know-for-2024,Seeking Alpha,-0.04999999999999999,0.75,neutral,0.04999999999999999,False,False,False,False,False,False,False,False,0.0,203,"['AMD', 'AMZN', 'BOTZ', 'CHAT', 'INTC', 'ISRG', 'NVDA', 'PATH', 'QQQ', 'ROBO', 'SOUN', 'SOUNW']",CHAT,2023-12-17
Buying These 3 Artificial Intelligence (AI) ETFs Is a Smart Move for 2024,"Choosing individual AI stocks can be intimidating. ETFs can make things a lot easier for AI-minded investors, though.",2023-12-31 12:15:00+00:00,https://www.fool.com/investing/2023/12/31/buying-these-3-artificial-intelligence-ai-etfs-is/,The Motley Fool,-0.12857142857142856,0.6809523809523809,negative,0.12857142857142856,False,True,False,False,False,False,False,False,0.0,192,"['ARKQ', 'IRBO', 'CHAT']",CHAT,2023-12-31
