title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Is a Surprise Coming for Bancolombia (CIB) This Earnings Season?,Bancolombia (CIB) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-08-09 12:50:00+00:00,https://www.zacks.com/stock/news/1776708/is-a-surprise-coming-for-bancolombia-cib-this-earnings-season,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,False,False,False,False,False,False,False,0.0,207,['CIB'],CIB,2021-08-09
What's in the Cards for Scotiabank (BNS) in Q3 Earnings?,Rebound in the economy is likely to have improved credit loss provisioning for Scotiabank's (BNS) International banking segment in fiscal Q3. Yet low interest rates might have marred margins.,2021-08-20 12:21:00+00:00,https://www.zacks.com/stock/news/1784537/whats-in-the-cards-for-scotiabank-bns-in-q3-earnings,Zacks Investment Research,0.0,0.43333333333333335,neutral,0.0,True,False,False,False,False,False,False,False,0.0,249,"['UBS', 'BNS', 'CIB', 'WNEB']",CIB,2021-08-20
Surging Earnings Estimates Signal Good News for Bancolombia (CIB),"Bancolombia (CIB) is seeing positive earnings estimate revisions, suggesting that it could be a solid choice for investors.",2021-09-02 12:06:00+00:00,https://www.zacks.com/stock/news/1790184/surging-earnings-estimates-signal-good-news-for-bancolombia-cib,Zacks Investment Research,0.3090909090909091,0.4151515151515152,positive,0.3090909090909091,True,False,False,False,False,False,False,False,0.0,190,['CIB'],CIB,2021-09-02
3 Foreign Bank Stocks to Consider Amid Industry Challenges,"Despite continued low rates, easing regulations will likely aid the Zacks Foreign Banks industry stocks like UBS, Deutsche Bank (DB) and Bancolombia (CIB).",2021-09-03 14:50:00+00:00,https://www.zacks.com/commentary/1791079/3-foreign-bank-stocks-to-consider-amid-industry-challenges,Zacks Investment Research,-0.0625,0.3875,neutral,0.0625,False,False,True,False,False,False,False,False,0.0,215,"['DB', 'UBS', 'CIB']",CIB,2021-09-03
HSBC's Global Wallet Adds New Currencies to Expanded Platform,"HSBC's U.S. division announces augmented offerings to its expanded Global Wallet platform by adding new currencies and allowing customers to ""receive like a local"" via the same business account.",2021-09-13 12:02:00+00:00,https://www.zacks.com/stock/news/1795400/hsbcs-global-wallet-adds-new-currencies-to-expanded-platform,Zacks Investment Research,0.04545454545454545,0.17234848484848486,neutral,0.04545454545454545,False,False,False,False,False,False,False,False,0.0,257,"['BSBR', 'HSBC', 'CIB']",CIB,2021-09-13
Bancolombia (CIB) Now Trades Above Golden Cross: Time to Buy?,"When a stock experiences a golden cross technical event, good things could be on the horizon. How should investors react?",2021-10-13 14:00:03+00:00,https://www.zacks.com/stock/news/1810036/bancolombia-cib-now-trades-above-golden-cross-time-to-buy,Zacks Investment Research,0.1857142857142857,0.2571428571428572,positive,0.1857142857142857,False,True,False,False,False,False,False,False,0.0,184,['CIB'],CIB,2021-10-13
BanColombia SA (CIB) Q3 2021 Earnings Call Transcript,"CIB earnings call for the period ending September 30, 2021.",2021-11-04 01:00:36+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/03/bancolombia-sa-cib-q3-2021-earnings-call-transcrip/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,114,['CIB'],CIB,2021-11-04
New Strong Buy Stocks for November 10th,"ACI, CIB, HCC, CF, and PCB have been added to the Zacks Rank #1 (Strong Buy) List on November 10th.",2021-11-10 11:21:00+00:00,https://www.zacks.com/commentary/1825908/new-strong-buy-stocks-for-november-10th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,True,False,False,False,False,False,False,0.0,140,"['ACI', 'CF', 'HCC', 'CIB', 'PCB']",CIB,2021-11-10
Why Earnings Season Could Be Great for Bancolombia (CIB),Bancolombia (CIB) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-11-10 13:36:00+00:00,https://www.zacks.com/stock/news/1826488/why-earnings-season-could-be-great-for-bancolombia-cib,Zacks Investment Research,0.5136363636363637,0.6477272727272727,positive,0.5136363636363637,True,False,False,False,False,False,False,False,0.0,199,['CIB'],CIB,2021-11-10
Best Value Stocks to Buy for November 10th,"AAWW, CIB, DFIN, and VSTO made it to the Zacks Rank #1 (Strong Buy) value stocks list on November 10, 2021.",2021-11-10 14:17:00+00:00,https://www.zacks.com/commentary/1826529/best-value-stocks-to-buy-for-november-10th,Zacks Investment Research,0.2111111111111111,0.6444444444444444,positive,0.2111111111111111,False,True,False,False,False,False,False,False,0.0,151,"['AAWW', 'VSTO', 'CIB', 'DFIN']",CIB,2021-11-10
