title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Companhia Energetica de Minas Gerais (CIG) Q2 2021 Earnings Call Transcript,"CIG earnings call for the period ending June 30, 2021.",2021-08-19 06:00:29+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/19/companhia-energetica-de-minas-gerais-cig-q2-2021-e/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,131,['CIG'],CIG,2021-08-19
Companhia Energetica de Minas Gerais (CIG) Q3 2021 Earnings Call Transcript,"CIG earnings call for the period ending September 30, 2021.",2021-11-13 08:00:23+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/13/companhia-energetica-de-minas-gerais-cig-q3-2021-e/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,136,['CIG'],CIG,2021-11-13
Companhia Energetica de Minas Gerais (CIG) Q4 2021 Earnings Call Transcript,"CIG earnings call for the period ending December 31, 2021.",2022-03-31 00:30:28+00:00,https://www.fool.com/earnings/call-transcripts/2022/03/30/companhia-energetica-de-minas-gerais-cig-q4-2021-e/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,135,['CIG'],CIG,2022-03-31
Companhia Energetica de Minas Gerais (CIG) Q1 2022 Earnings Call Transcript,"CIG earnings call for the period ending March 31, 2022.",2022-05-18 07:00:45+00:00,https://www.fool.com/earnings/call-transcripts/2022/05/18/companhia-energetica-de-minas-gerais-cig-q1-2022-e/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,132,['CIG'],CIG,2022-05-18
Companhia Energetica de Minas Gerais (CIG) Q2 2022 Earnings Call Transcript,"CIG earnings call for the period ending June 30, 2022.",2022-08-17 11:30:53+00:00,https://www.fool.com/earnings/call-transcripts/2022/08/17/companhia-energetica-de-minas-gerais-cig-q2-2022-e/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,131,['CIG'],CIG,2022-08-17
Why Amylyx Pharmaceuticals Is Trading Higher By Over 8%; Here Are 22 Stocks Moving Premarket,"Gainers

SAI.TECH Global Corporation (NASDAQ: SAI) rose 42% to $3.21 in pre-market trading after dipping 26% on Thursday. SAI.TECH recently announced the launch of new liquid cooling Bitcoin mining infrastructure products.
SHF Holdings Inc (NASDAQ: SHFS) shares rose 36.2% to $11.90 in pre-market trading after declining 15% on Thursday. Northern Lights Acquisition completed business combination of SHF, Safe Harbor Financial, which offers compliance services to financial institutions that serve the regulated cannabis industry.
Arrival (NASDAQ: ARVL) rose 34% to $1.06 in pre-market trading. Arrival said it has produced the first production verification vehicle from its Bicester Microfactory.
WISeKey International Holding AG (NASDAQ: WKEY) rose 16% to $1.74 in pre-market trading.
Iveda Solutions, Inc. (NASDAQ: IVDA) rose 14.7% to $0.70 in pre-market trading after declining over 6% on Thursday. Iveda Solutions, last month, announced a $5 million private placement.
Companhia Energética de Minas Gerais (NYSE: CIG) rose 10.6% to $2.18 in pre-market trading after dropping around 3% on Thursday.
First Wave BioPharma, Inc. (NASDAQ: FWBI) rose 10.3% to $1.60 ...",2022-09-30 11:30:27+00:00,https://www.benzinga.com/news/22/09/29092536/why-amylyx-pharmaceuticals-is-trading-higher-by-over-8-here-are-22-stocks-moving-premarket,Benzinga,0.2843181818181818,0.4731439393939394,positive,0.2843181818181818,False,True,False,False,True,False,False,False,0.0,1262,"['AMV', 'ASTS', 'AVCT', 'IONQ', 'RCII', 'FWBI', 'CIG', 'BIAF', 'MU', 'GSUN', 'NKE', 'SHFS', 'SAI', 'GGE', 'ALPS', 'IVDA', 'GCT', 'AMLX', 'WKEY', 'SILO', 'ARVL', 'TUEM']",CIG,2022-09-30
"Viasat, Vertiv Holdings And Some Other Big Stocks Moving Higher On Monday","U.S. stocks traded higher, with the Dow Jones gaining more than 500 points on Monday. Here are some big stocks recording gains in today’s session.

Viasat, Inc. (NASDAQ: VSAT) gained 27.3% to $38.47 after the company announced it entered into a definitive agreement to sell its Link 16 Tactical Data Links business to L3Harris Technologies for $1.96 billion.
Companhia de Saneamento Básico do Estado de São Paulo – SABESP (NYSE: SBS) gained 20.2% to $10.95.
InterDigital, Inc. (NASDAQ: IDCC) jumped 13.8% to $46.02 after the company raised its Q3 sales guidance and entered into a patent license agreement with a major technology company.
Vertiv ...",2022-10-03 14:18:08+00:00,https://www.benzinga.com/news/22/10/29119586/viasat-vertiv-holdings-and-some-other-big-stocks-moving-higher-on-monday,Benzinga,0.13392857142857142,0.3678571428571429,positive,0.13392857142857142,False,False,False,False,False,False,False,False,0.0,724,"['IDCC', 'VSAT', 'AA', 'CIG', 'KOS', 'PBR', 'SBS', 'SM', 'UGP', 'X', 'MTDR', 'VRT', 'CSAN']",CIG,2022-10-03
Why Petrobras and Other Brazilian Stocks Are Rocking Today,How much does it matter who wins Brazil's presidential election?,2022-10-03 16:38:00+00:00,https://www.fool.com/investing/2022/10/03/why-petrobras-and-other-brazilian-stocks-are-rocki/,The Motley Fool,0.125,0.2583333333333333,positive,0.125,False,False,False,False,False,False,False,False,0.0,124,"['PBR', 'CIG', 'PBR.A', 'SBS']",CIG,2022-10-03
"Cisco, Bath & Body Works And Some Other Big Stocks Moving Higher In Today's Pre-Market Session","U.S. stock futures traded lower this morning. Here are some big stocks recording gains in today’s pre-market trading session.

Ardelyx Inc (NASDAQ: ARDX) shares jumped 81.2% to $2.21 in pre-market trading as the company said the FDA Advisory Committee voted 9-To-4 that the benefits of XPHOZAH outweigh its risks for the control of serum phosphorus in adult patients with chronic kidney disease on dialysis.
Bath & Body Works, Inc. (NYSE:",2022-11-17 11:14:08+00:00,https://www.benzinga.com/news/22/11/29762394/cisco-bath-body-works-and-some-other-big-stocks-moving-higher-in-todays-pre-market-session,Benzinga,0.045,0.275,neutral,0.045,False,False,True,False,False,False,False,False,0.0,534,"['CSCO', 'GLBL', 'CIG', 'ARDX', 'ATAT', 'BBWI', 'SLGC']",CIG,2022-11-17
Why NetEase Shares Are Trading Lower; Here Are 25 Stocks Moving Premarket,"Gainers

Ardelyx Inc (NASDAQ: ARDX) shares rose 81.2% to $2.21 in pre-market trading as the company said the FDA Advisory Committee voted 9-To-4 that the benefits of XPHOZAH outweigh its risks for the control of serum phosphorus in adult patients with chronic kidney disease on dialysis.
Elevate Credit, Inc. (NYSE: ELVT) shares rose 65.1% to $1.75 in pre-market trading after the company agreed to be acquired by Park Cities Asset Management in an all-cash transaction at an implied value of $67 million.
Cuentas Inc. (NASDAQ: CUEN) rose 29.6% to $0.3239 in pre-market trading after dropping 28% on Wednesday. Cuentas authorized a share repurchase program.
Bath & Body Works, Inc. (NYSE: BBWI) rose 22.3% to $38.09 in pre-market trading after the company reported better-than-expected Q3 results and raised FY22 earnings forecast.
SomaLogic, Inc. (NASDAQ: SLGC) rose 14.5% to $3.08 in pre-market trading. The company recently posted upbeat Q3 results and raised FY22 revenue guidance.
The9 Limited (NASDAQ: NCTY) rose 10.8% to $0.9105 in pre-market trading. The9 is scheduled to hold its annual general meeting on December 19, 2022.
Companhia Energética de Minas Gerais (NYSE: CIG) shares jumped 10.3% to $2.14 in pre-market trading following a ...",2022-11-17 12:49:40+00:00,https://www.benzinga.com/news/22/11/29764245/why-netease-shares-are-trading-lower-here-are-25-stocks-moving-premarket,Benzinga,0.3344155844155844,0.6357142857142858,positive,0.3344155844155844,True,True,True,False,False,False,True,False,0.0,1324,"['CSCO', 'CUEN', 'GLBL', 'SKLZ', 'NCTY', 'VACC', 'NTES', 'BTB', 'PERF', 'ENSC', 'STSA', 'BBWI', 'CIG', 'SLGC', 'FTK', 'BNOX', 'ORA', 'FSRD', 'SBFM', 'BWV', 'ARDX', 'ELVT', 'SRTS', 'GMBL', 'SNES']",CIG,2022-11-17
US Stocks Mixed On Black Friday; Dow Rises Over 100 Points,"U.S. stocks traded mixed this morning, with the Dow Jones gaining more than 100 points on Friday. Equity markets will close early on Black Friday, the day after Thanksgiving.
Following the market opening Friday, the Dow traded up 0.35% to 34,314.96 while the NASDAQ fell 0.55% to 11,223.57. The S&P 500 also fell, dropping, 0.02% to 4,026.64.
Also check this: Citi Turns Bullish On Tesla; Here's A Look At Other Price Target Changes By The Most Accurate Analysts

Leading and Lagging Sectors

Utilities shares rose by 0.7% on Friday. Leading the sector was strength from  Companhia Energética de Minas Gerais (NYSE: CIG) and  Centrais Elétricas Brasileiras S.A. - Eletrobrás (NYSE: EBR).

In trading on Friday, information technology shares fell by 0.5%.

Top Headline
 
LightInTheBox Holding Co Ltd (NYSE: LITB) reported better-than-expected revenue for its third quarter.
The company reported third-quarter FY22 sales growth of 22.6% year-on-year to $121 million, beating the consensus of $78.49 million. Earnings per ADS was $0.00 compared to a $(0.05) loss the prior year.
 
Equities Trading UP
 

EUDA Health Holdings Limited (NASDAQ: EUDA) shares shot up 50% ...",2022-11-25 15:06:54+00:00,https://www.benzinga.com/news/earnings/22/11/29858561/us-stocks-mixed-on-black-friday-dow-rises-over-100-points,Benzinga,0.138015873015873,0.35785714285714293,positive,0.138015873015873,True,False,True,False,False,False,False,False,0.0,1228,"['CIG', 'EBR', 'OMER', 'CCCC', 'LITB', 'CHEK', 'YMM', 'PKBO', 'EUDA']",CIG,2022-11-25
Top 4 Utilities Stocks That Should Keep You Up At Night,"The most overbought stocks in the utilities sector presents an opportunity to go short on these overvalued companies.
The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when prices go down. When compared to a stock's price action, it can give traders a better sense of how a stock may perform in the short term. An asset is typically considered overbought when the  RSI is above 70.
Here’s the latest list of major overbought players in this sector.
Companhia Energética ...",2023-06-13 11:38:56+00:00,https://www.benzinga.com/news/23/06/32832192/top-4-utilities-stocks-that-should-keep-you-up-at-night,Benzinga,0.16729797979797978,0.4080808080808081,positive,0.16729797979797978,False,False,True,False,False,False,False,False,0.0,597,"['CEG', 'CIG', 'EBR', 'ELP']",CIG,2023-06-13
"Benzinga's Top Ratings Upgrades, Downgrades For September 20, 2023","Upgrades
For Regency Centers Corp (NASDAQ:REG), Argus Research upgraded the previous rating of Hold to Buy. In the second quarter, Regency Centers showed an EPS of $1.03, compared to $1.00 from the year-ago quarter. The current stock performance of Regency Centers shows a 52-week-high of $68.56 and a 52-week-low of $52.00. Moreover, at the end of the last trading period, the closing price was at $62.38.   
DA Davidson upgraded the previous rating for Pinterest Inc (NYSE:PINS) from Neutral to Buy. In the second quarter, Pinterest showed an EPS of $0.21, compared to $0.11 from the year-ago quarter. At the moment, the stock has a 52-week-high of $30.86 and a 52-week-low of $20.60. Pinterest closed at $26.21 at the end of the last trading period.   
TD Cowen upgraded the previous rating for Louisiana-Pacific Corp (NYSE:LPX) from Hold to Buy. Louisiana-Pacific earned $0.55 in the second quarter, compared to $4.57 in the year-ago quarter. The stock has a 52-week-high of $79.56 and a 52-week-low of $48.20. At the end of the last trading period, Louisiana-Pacific closed at $57.87.   
According to Citigroup, the prior rating for Pinterest Inc (NYSE:PINS) was changed from Neutral to Buy. In the second quarter, Pinterest showed an EPS of $0.21, compared to $0.11 from the year-ago quarter. At the moment, the stock has a 52-week-high of $30.86 and a 52-week-low of $20.60. Pinterest closed at $26.21 at the end of the last trading period.   
For Wingstop Inc (NASDAQ:WING), Wedbush upgraded the previous rating of Neutral to Outperform. Wingstop earned $0.57 in the second quarter, compared to $0.45 in the year-ago quarter. At the moment, the stock has a 52-week-high of $223.77 and a 52-week-low of $113.20. Wingstop closed at $173.74 at the end of the last trading period.   
Exane BNP Paribas upgraded the previous rating for Western Digital Corp (NASDAQ:WDC) from Neutral to Outperform. Western Digital earned $1.98 in the fourth quarter, compared to $1.78 in the year-ago quarter. The current stock performance of Western Digital shows a 52-week-high of $46.33 and a 52-week-low of $29.74. Moreover, at the end of the last trading period, the closing price was at $43.92.   
According to BMO Capital, the prior rating for Goosehead Insurance Inc (NASDAQ:GSHD) was changed from Market Perform to Outperform. For the second quarter, Goosehead Insurance had an EPS of $0.41, compared to year-ago quarter EPS of $0.16. The stock has a 52-week-high of $76.36 and a 52-week-low of $29.31. At the end of the last trading period, Goosehead Insurance closed at $74.68.   
For Kimco Realty Corp (NYSE:KIM), Wells Fargo upgraded the previous rating of Underweight to Equal-Weight. In the second quarter, Kimco Realty showed an EPS of $0.39, compared to $0.40 from the year-ago quarter. At the moment, the stock has a 52-week-high of $23.27 and a 52-week-low of $17.34. Kimco Realty closed at $18.49 at the end of the last trading period.   
According to Wells Fargo, the prior rating for SITE Centers Corp (NYSE:SITC) was changed from Equal-Weight to Overweight. In the second quarter, SITE Centers showed an EPS of $0.29, compared to $0.31 from the year-ago quarter. The current stock performance of SITE Centers shows a 52-week-high of $14.62 and a 52-week-low of $10.43. Moreover, at the end of the last trading period, the closing price was at $13.35.   
According to BMO Capital, the prior rating for Hudson Pacific Properties Inc (NYSE:HPP) was changed from Market Perform to Outperform. For the second quarter, Hudson Pacific Properties had an EPS of $0.24, compared to year-ago quarter EPS of $0.51. The current stock performance of Hudson Pacific Properties shows a 52-week-high of $12.74 and a 52-week-low of $4.04. Moreover, at the end of the last trading period, the closing price was at $6.74.   
According to Jefferies, the prior rating for Sabra Health Care REIT Inc (NASDAQ:SBRA) was changed from Hold to Buy. Sabra Health Care REIT earned $0.33 in the second quarter, compared to $0.39 in the year-ago quarter. At the moment, the stock has a 52-week-high of $14.31 and a 52-week-low of $10.08. Sabra Health Care REIT closed at $13.36 at the end of the last trading period.   
For Bausch Health Companies Inc (NYSE:BHC), Jefferies upgraded the previous rating of Hold to Buy. For the second quarter, Bausch Health Companies had an EPS of $0.81, compared to year-ago quarter EPS of $0.55. At the moment, the stock has a 52-week-high of $10.23 and a 52-week-low of $5.57. Bausch Health Companies closed at $7.72 at the end of the last trading period.   
For Cia Energetica DE Minas Gerais - Cemig (NYSE:CIG), B of A Securities upgraded the previous rating of Neutral to Buy. The current stock ...Full story available on Benzinga.com",2023-09-20 15:00:37+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/09/34766027/benzingas-top-ratings-upgrades-downgrades-for-september-20-2023,Benzinga,-0.021264367816091954,0.10057471264367819,neutral,0.021264367816091954,False,True,True,False,False,False,False,False,0.0,4818,"['SITC', 'NHI', 'CHWY', 'REG', 'TLK', 'MIRM', 'ATSG', 'VTR', 'NCNO', 'BRKL', 'WDC', 'RVPH', 'CART', 'WPP', 'PECO', 'FCNCA', 'DG', 'ONON', 'LULU', 'HPP', 'SPRY', 'SONO', 'SBRA', 'SWKS', 'ROIC', 'ZBRA', 'PINS', 'BBW', 'CTRE', 'CIG', 'WING', 'IBM', 'AZUL', 'KIM', 'GSHD', 'LPX', 'BHC', 'LTC']",CIG,2023-09-20
