date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-11-05,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,192.0,CIVI
2021-11-08,0.224,,1,0.224,0.0,0,0,0,0,0,0,0,0,216.0,CIVI
2021-11-09,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,183.0,CIVI
2021-12-10,0.18,,1,0.18,0.0,0,0,0,0,0,0,0,0,318.0,CIVI
2022-02-03,0.1611,,1,0.1611,0.0,0,1,0,0,0,0,1,0,223.0,CIVI
2022-02-07,0.2306,0.1645,5,0.2306,0.0,0,3,0,0,0,0,0,0,188.4,CIVI
2022-02-09,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,274.0,CIVI
2022-02-11,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,238.0,CIVI
2022-02-18,0.1577,0.0926,3,0.1577,0.0,0,3,0,0,0,0,0,0,146.0,CIVI
2022-02-22,0.175,,1,0.175,0.0,1,1,0,0,0,0,0,0,192.0,CIVI
2022-02-23,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,215.0,CIVI
2022-02-28,0.2052,0.0545,2,0.2052,0.0,1,1,0,0,0,0,0,0,284.5,CIVI
2022-03-02,0.2042,0.0648,2,0.2042,0.0,1,1,0,0,0,0,0,0,193.5,CIVI
2022-03-03,0.0667,,1,0.0667,0.0,1,0,0,0,0,0,0,0,278.0,CIVI
2022-03-07,0.2107,0.0556,2,0.2107,0.0,2,0,0,0,0,0,0,0,294.5,CIVI
2022-03-08,0.1591,0.225,2,0.1591,0.0,1,0,0,0,0,0,0,0,229.0,CIVI
2022-03-10,0.316,0.2629,3,0.316,0.0,2,0,0,0,0,0,0,0,272.6667,CIVI
2022-03-16,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,317.0,CIVI
2022-03-29,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,302.0,CIVI
2022-04-04,0.0861,,1,0.0861,0.0,1,0,0,0,0,0,0,0,284.0,CIVI
2022-04-25,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,260.0,CIVI
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,CIVI
2022-05-10,0.1309,0.1134,2,0.1309,0.0,0,2,0,0,0,0,0,0,138.5,CIVI
2022-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,168.0,CIVI
2022-05-16,0.0111,0.0,2,0.0111,0.0,0,0,0,0,0,0,0,0,171.5,CIVI
2022-05-18,0.38,,1,0.38,0.0,1,0,0,0,0,0,0,0,248.0,CIVI
2022-05-23,0.0812,,1,0.0812,0.0,1,0,0,0,0,0,0,0,373.0,CIVI
