date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,245.0,CLW
2021-05-05,0.0151,0.0214,2,0.0151,0.0,2,0,1,0,1,0,0,0,6750.5,CLW
2021-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,CLW
2021-05-24,0.0938,,1,0.0938,0.0,0,0,0,0,0,0,0,0,635.0,CLW
2021-05-25,0.0589,,1,0.0589,0.0,0,0,0,0,0,0,0,0,844.0,CLW
2021-06-02,-0.4,,1,0.4,0.0,0,0,0,0,1,0,0,0,206.0,CLW
2021-07-28,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,274.0,CLW
2021-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,CLW
2021-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,123.0,CLW
2021-08-09,0.4467,,1,0.4467,0.0,0,0,0,0,0,0,0,0,314.0,CLW
2021-08-12,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,202.0,CLW
2021-08-25,0.3583,,1,0.3583,0.0,0,0,0,0,0,0,0,0,310.0,CLW
2021-08-30,0.224,,1,0.224,0.0,0,0,0,0,0,0,0,0,206.0,CLW
2021-09-01,0.1812,0.0913,2,0.1812,0.0,2,0,0,0,0,0,0,0,204.0,CLW
2021-09-15,0.3583,,1,0.3583,0.0,0,0,0,0,0,0,0,0,318.0,CLW
2021-10-04,0.1444,,1,0.1444,0.2,0,0,0,0,1,0,0,0,318.0,CLW
2021-10-22,0.0861,,1,0.0861,0.0,1,0,0,0,0,0,0,0,278.0,CLW
2021-10-26,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,274.0,CLW
2021-11-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,263.0,CLW
2021-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,128.0,CLW
2021-11-05,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,146.0,CLW
2022-02-16,0.2976,0.2826,3,0.308,0.0,1,1,0,0,0,0,0,0,1225.3333,CLW
2022-02-18,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,147.0,CLW
2022-02-21,0.2884,,1,0.2884,0.0,1,0,0,0,0,0,0,0,329.0,CLW
2022-03-23,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,321.0,CLW
2022-04-04,0.3333,,1,0.3333,0.0,0,0,0,0,1,0,0,0,127.0,CLW
2022-04-28,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,241.0,CLW
2022-05-03,0.175,0.0825,2,0.175,0.0,2,1,0,0,0,0,0,0,268.5,CLW
2022-05-06,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,173.0,CLW
2022-05-10,0.2083,0.0589,2,0.2083,0.0,0,0,0,0,0,0,0,0,238.0,CLW
2022-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,266.0,CLW
2022-05-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,249.0,CLW
2022-06-10,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,209.0,CLW
2022-06-15,0.1587,,1,0.1587,0.0,0,0,0,0,1,0,0,0,305.0,CLW
2022-06-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,190.0,CLW
2022-07-28,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,258.0,CLW
2022-08-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,CLW
2022-08-03,0.0963,0.0874,3,0.0994,0.0,1,2,2,0,1,0,0,0,2245.3333,CLW
2022-08-04,0.0843,0.0063,2,0.0843,0.0,2,2,2,0,1,0,0,0,2861.5,CLW
2022-08-05,0.0778,0.0752,3,0.0778,0.0,2,2,0,0,0,0,0,0,249.0,CLW
2022-08-08,0.0889,0.154,3,0.0889,0.0,0,0,0,0,0,0,0,0,217.3333,CLW
2022-08-10,-0.0008,0.3654,3,0.2585,0.0,1,0,1,0,0,0,0,0,256.0,CLW
2022-08-11,0.2333,0.33,2,0.2333,0.0,0,0,0,0,0,0,0,0,165.0,CLW
2022-08-15,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,260.0,CLW
2022-08-17,0.2108,,1,0.2108,0.0,0,0,0,0,0,0,0,0,231.0,CLW
2022-08-26,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,188.0,CLW
2022-08-31,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,226.0,CLW
2022-09-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,232.0,CLW
2022-09-08,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,186.0,CLW
2022-09-09,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,180.0,CLW
2022-09-13,-0.0083,,1,0.0083,0.0,0,0,1,0,0,0,0,0,192.0,CLW
2022-09-15,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,193.0,CLW
2022-09-22,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,181.0,CLW
2022-09-23,0.1467,,1,0.1467,0.0,0,0,0,0,0,0,0,0,194.0,CLW
2022-09-28,0.0167,,1,0.0167,0.0,1,0,0,0,0,0,0,0,369.0,CLW
2022-09-29,0.0639,0.0196,2,0.0639,0.0,0,0,1,0,0,0,0,0,186.5,CLW
2022-10-03,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,165.5,CLW
