date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-06-11,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,118.0,CMC
2020-06-19,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,134.0,CMC
2020-06-26,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,92.0,CMC
2020-06-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,CMC
2020-07-28,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,98.0,CMC
2020-07-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,CMC
2020-08-04,0.1482,,1,0.1482,0.0,0,0,0,0,0,0,0,0,90.0,CMC
2020-08-11,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,86.0,CMC
2020-09-01,-0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,92.0,CMC
2020-10-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,96.0,CMC
2020-10-17,0.2273,,1,0.2273,0.0,0,0,0,0,0,0,0,0,116.0,CMC
2020-10-26,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,100.0,CMC
2021-05-05,0.0292,0.1355,2,0.0958,0.0,2,0,0,0,1,1,0,0,232.5,CMC
2021-05-10,0.1439,0.0227,2,0.1439,0.0,0,1,0,0,0,0,1,0,13562.5,CMC
2021-05-11,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,180.0,CMC
2021-05-18,0.2611,0.1964,2,0.2611,0.0,1,0,0,0,0,0,0,0,187.5,CMC
2021-05-26,0.0467,,1,0.0467,0.0,0,0,0,0,0,0,0,0,192.0,CMC
2021-05-27,-0.0312,,1,0.0312,0.0,0,0,0,0,0,0,0,0,144.0,CMC
2021-06-07,0.0389,,1,0.0389,0.0,0,0,0,0,0,0,0,0,186.0,CMC
2021-06-09,0.1892,0.0742,2,0.1892,0.0,0,0,0,0,0,0,0,0,282.0,CMC
2021-06-10,0.0232,,1,0.0232,0.0,1,0,0,0,1,0,0,0,273.0,CMC
2021-06-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,177.0,CMC
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,CMC
2021-06-15,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,141.0,CMC
2021-06-16,0.1859,0.1826,2,0.1859,0.0,1,1,1,0,0,0,0,0,2160.5,CMC
2021-06-17,0.1542,0.218,2,0.1542,0.0,2,0,0,0,0,0,0,0,163.0,CMC
2021-06-18,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,153.0,CMC
2021-06-21,0.1639,,1,0.1639,0.0,1,0,0,0,0,0,0,0,194.0,CMC
2021-06-25,0.2048,,1,0.2048,0.0,0,1,0,0,0,0,0,0,349.0,CMC
2021-06-30,0.0722,0.1021,2,0.0722,0.0,1,0,0,0,0,0,0,0,226.0,CMC
2021-07-01,0.0766,0.179,2,0.1266,0.0,1,0,0,0,0,0,0,0,235.5,CMC
2021-07-09,0.2848,,1,0.2848,0.0,0,1,0,0,0,0,0,0,70.0,CMC
2021-07-14,-0.0208,0.2062,2,0.1458,0.0,0,0,0,0,1,0,0,0,212.0,CMC
2021-07-15,0.4708,0.0412,2,0.4708,0.0,0,2,0,0,1,0,0,0,172.5,CMC
2021-07-16,0.0163,0.078,2,0.0552,0.0,0,0,0,0,1,0,0,0,215.5,CMC
2021-07-19,0.2048,,1,0.2048,0.0,0,1,0,0,0,0,0,0,348.0,CMC
2021-07-22,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,137.0,CMC
2021-07-26,-0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,216.0,CMC
2021-07-30,0.1,,1,0.1,0.0,1,1,0,0,0,0,0,0,229.0,CMC
2021-08-09,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,234.0,CMC
2021-08-11,0.1367,,1,0.1367,0.0,0,0,0,0,0,0,0,0,220.0,CMC
2021-08-13,-0.0095,0.0135,2,0.0095,0.0,1,1,1,0,0,0,0,0,238.5,CMC
2021-08-17,0.32,,1,0.32,0.0,1,0,0,0,1,0,0,0,215.0,CMC
2021-08-18,0.2597,0.1159,2,0.2597,0.0,1,1,0,0,0,0,0,0,237.0,CMC
2021-08-19,0.1517,0.1333,3,0.1517,0.0,0,1,0,0,0,0,0,0,190.0,CMC
2021-08-25,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,322.0,CMC
2021-09-16,0.2312,0.1092,2,0.2312,0.0,2,0,0,0,0,0,0,0,231.5,CMC
2021-09-17,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,148.0,CMC
2021-09-20,0.1028,,1,0.1028,0.0,1,0,0,0,0,0,0,0,204.0,CMC
2021-09-21,0.1952,,1,0.1952,0.0,1,0,0,0,0,0,0,0,230.0,CMC
2021-09-23,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,265.0,CMC
2021-09-24,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,216.0,CMC
2021-09-29,0.0944,,1,0.0944,0.0,0,1,0,0,0,0,0,0,204.0,CMC
2021-09-30,0.014,0.0734,2,0.0519,0.0,0,0,1,0,1,0,0,0,255.0,CMC
2021-10-01,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,238.0,CMC
2021-10-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,228.0,CMC
2021-10-06,0.0071,,1,0.0071,0.0,0,1,0,0,0,0,0,0,893.0,CMC
2021-10-07,0.114,0.1284,2,0.114,0.0,1,1,0,0,1,0,0,0,312.0,CMC
2021-10-08,0.0812,0.0077,2,0.0812,0.0,2,1,0,0,0,0,0,0,202.5,CMC
2021-10-09,0.1136,,1,0.1136,0.0,0,0,0,0,0,0,0,0,110.0,CMC
2021-10-13,0.2,0.1886,2,0.2,0.0,1,0,0,0,0,0,0,0,211.5,CMC
2021-10-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,261.0,CMC
2021-10-15,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,83.5,CMC
2021-10-18,0.0222,0.0314,2,0.0222,0.0,1,1,0,0,0,0,0,0,169.5,CMC
2021-10-19,0.5111,,1,0.5111,0.0,0,0,0,0,0,0,0,0,216.0,CMC
2021-10-20,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,104.0,CMC
2021-10-29,0.2792,,1,0.2792,0.0,0,1,0,0,0,0,0,0,345.0,CMC
2021-11-01,0.2833,,1,0.2833,0.2,0,1,0,0,0,0,0,0,298.0,CMC
2021-11-02,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,270.0,CMC
2021-11-09,0.4333,,1,0.4333,0.0,1,0,0,0,1,0,0,0,180.0,CMC
2021-11-10,-0.0625,,1,0.0625,0.0,1,0,0,0,0,0,0,0,191.0,CMC
2021-11-16,0.2083,0.0589,2,0.2083,0.0,0,0,0,0,0,0,0,0,134.0,CMC
2021-11-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,198.0,CMC
2021-11-22,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,321.0,CMC
2021-11-24,-0.0493,0.0626,2,0.0493,0.0,0,0,1,0,1,0,0,0,219.5,CMC
